segment Vanuatu
-16.273 167.927
-16.27 167.922
-16.267 167.92
-16.263 167.919
-16.259 167.922
-16.254 167.921
-16.245 167.912
-16.227 167.914
-16.218 167.928
-16.218 167.932
-16.222 167.942
-16.221 167.943
-16.219 167.948
-16.213 167.97
-16.21 167.975
-16.202 167.983
-16.2 167.995
-16.201 168.001
-16.199 168.009
-16.201 168.014
-16.199 168.027
-16.199 168.029
-16.195 168.034
-16.199 168.043
-16.199 168.047
-16.195 168.059
-16.183 168.071
-16.183 168.079
-16.178 168.083
-16.174 168.081
-16.171 168.083
-16.171 168.087
-16.164 168.09
-16.16 168.094
-16.159 168.1
-16.156 168.107
-16.145 168.118
-16.138 168.122
-16.113 168.127
-16.108 168.13
-16.102 168.137
-16.102 168.158
segment Vanuatu
-16.517 168.234
-16.515 168.223
-16.51 168.217
-16.503 168.212
-16.467 168.22
-16.457 168.225
-16.45 168.227
-16.439 168.231
-16.436 168.234
-16.438 168.256
-16.441 168.259
-16.448 168.262
-16.466 168.254
-16.495 168.252
-16.507 168.247
-16.512 168.242
-16.517 168.234
segment Vanuatu
-16.491 168.343
-16.495 168.355
-16.502 168.361
-16.526 168.369
-16.531 168.369
-16.535 168.367
-16.536 168.36
-16.54 168.355
-16.542 168.349
-16.541 168.343
-16.537 168.328
-16.533 168.321
-16.529 168.318
-16.513 168.312
-16.507 168.31
-16.503 168.309
-16.499 168.312
-16.498 168.321
-16.493 168.326
-16.492 168.33
-16.491 168.334
-16.491 168.34
-16.491 168.343
segment Vanuatu
-16.499 167.833
-16.502 167.833
-16.503 167.831
-16.504 167.827
-16.512 167.818
-16.51 167.817
-16.512 167.808
-16.509 167.805
-16.505 167.803
-16.503 167.804
-16.502 167.81
-16.491 167.829
-16.494 167.831
-16.499 167.833
segment Vanuatu
-16.528 167.819
-16.522 167.822
-16.523 167.826
-16.529 167.834
-16.538 167.834
-16.541 167.827
-16.534 167.826
-16.533 167.818
-16.528 167.819
segment Vanuatu
-16.544 167.842
-16.542 167.841
-16.537 167.843
-16.534 167.838
-16.532 167.838
-16.53 167.842
-16.531 167.844
-16.538 167.847
-16.542 167.846
-16.544 167.842
segment Vanuatu
-16.559 167.781
-16.556 167.777
-16.549 167.781
-16.549 167.785
-16.554 167.786
-16.557 167.785
-16.559 167.781
segment Vanuatu
-16.577 168.194
-16.586 168.2
-16.588 168.205
-16.596 168.211
-16.598 168.21
-16.603 168.207
-16.607 168.208
-16.61 168.212
-16.613 168.216
-16.622 168.223
-16.636 168.223
-16.641 168.227
-16.646 168.236
-16.65 168.237
-16.665 168.236
-16.671 168.238
-16.686 168.245
-16.69 168.249
-16.691 168.254
-16.69 168.262
-16.683 168.281
-16.683 168.295
-16.685 168.306
-16.688 168.313
-16.694 168.318
-16.701 168.321
-16.716 168.325
-16.723 168.331
-16.735 168.335
-16.739 168.34
-16.74 168.345
-16.739 168.356
-16.742 168.357
-16.751 168.353
-16.754 168.353
-16.765 168.362
-16.774 168.371
-16.78 168.396
-16.782 168.403
-16.782 168.409
-16.779 168.417
-16.766 168.431
-16.763 168.435
-16.764 168.449
-16.768 168.454
-16.778 168.464
-16.791 168.474
-16.797 168.486
-16.799 168.487
-16.801 168.486
-16.802 168.484
-16.8 168.473
-16.801 168.472
-16.805 168.471
-16.812 168.473
-16.82 168.472
-16.823 168.477
-16.828 168.479
-16.845 168.477
-16.846 168.475
-16.84 168.468
-16.841 168.454
-16.839 168.449
-16.819 168.415
-16.817 168.403
-16.815 168.396
-16.81 168.388
-16.804 168.386
-16.801 168.383
-16.8 168.379
-16.8 168.373
-16.798 168.366
-16.789 168.358
-16.787 168.354
-16.786 168.346
-16.79 168.337
-16.79 168.332
-16.787 168.322
-16.787 168.313
-16.798 168.29
-16.804 168.282
-16.808 168.275
-16.812 168.264
-16.817 168.262
-16.823 168.263
-16.823 168.258
-16.82 168.253
-16.824 168.246
-16.824 168.24
-16.823 168.235
-16.816 168.23
-16.815 168.227
-16.816 168.223
-16.813 168.213
-16.813 168.206
-16.81 168.198
-16.808 168.184
-16.804 168.178
-16.791 168.172
-16.784 168.159
-16.78 168.156
-16.764 168.154
-16.762 168.156
-16.752 168.15
-16.747 168.148
-16.739 168.152
-16.732 168.148
-16.725 168.144
-16.721 168.136
-16.717 168.133
-16.696 168.121
-16.693 168.121
-16.688 168.127
-16.683 168.129
-16.664 168.13
-16.645 168.136
-16.64 168.14
-16.635 168.147
-16.626 168.153
-16.62 168.159
-16.618 168.16
-16.607 168.163
-16.601 168.168
-16.595 168.165
-16.591 168.16
-16.583 168.157
-16.58 168.157
-16.577 168.161
-16.576 168.177
-16.572 168.185
-16.577 168.194
segment Vanuatu
-16.608 167.476
-16.608 167.472
-16.597 167.463
-16.592 167.461
-16.589 167.462
-16.589 167.468
-16.593 167.476
-16.606 167.478
-16.608 167.476
segment Vanuatu
-16.939 168.545
-16.937 168.532
-16.935 168.528
-16.931 168.526
-16.901 168.526
-16.887 168.529
-16.883 168.533
-16.883 168.541
-16.88 168.548
-16.871 168.553
-16.867 168.558
-16.867 168.563
-16.875 168.579
-16.876 168.587
-16.886 168.594
-16.902 168.592
-16.906 168.583
-16.914 168.578
-16.92 168.571
-16.932 168.564
-16.932 168.558
-16.938 168.549
-16.939 168.545
segment Vanuatu
-16.968 168.577
-16.964 168.573
-16.956 168.57
-16.954 168.567
-16.952 168.567
-16.952 168.573
-16.96 168.579
-16.965 168.582
-16.968 168.581
-16.968 168.577
segment Vanuatu
-17.02 168.615
-17.02 168.611
-17.014 168.606
-16.999 168.619
-16.997 168.623
-16.997 168.638
-16.999 168.641
-17.01 168.648
-17.012 168.647
-17.012 168.635
-17.015 168.622
-17.02 168.615
segment Vanuatu
-17.033 168.58
-17.03 168.578
