segment Bolivia
-13.784 -60.566
-13.782 -60.545
-13.783 -60.535
-13.786 -60.528
-13.79 -60.529
-13.795 -60.537
-13.798 -60.539
-13.803 -60.535
-13.8 -60.515
-13.796 -60.507
-13.796 -60.502
-13.801 -60.49
-13.803 -60.478
-13.802 -60.475
-13.801 -60.468
-13.806 -60.468
-13.818 -60.462
-13.82 -60.463
-13.822 -60.472
-13.83 -60.477
-13.833 -60.475
-13.834 -60.464
-13.836 -60.462
-13.837 -60.461
-13.845 -60.472
-13.853 -60.477
-13.857 -60.475
-13.856 -60.465
-13.86 -60.454
-13.862 -60.452
-13.865 -60.452
-13.867 -60.455
-13.869 -60.459
-13.872 -60.462
-13.875 -60.463
-13.886 -60.468
-13.889 -60.465
-13.889 -60.462
-13.883 -60.456
-13.88 -60.445
-13.883 -60.443
-13.896 -60.448
-13.901 -60.448
-13.91 -60.443
-13.933 -60.441
-13.935 -60.44
-13.933 -60.432
-13.94 -60.419
-13.945 -60.416
-13.944 -60.41
-13.951 -60.406
-13.955 -60.403
-13.958 -60.399
-13.961 -60.398
-13.963 -60.399
-13.961 -60.41
-13.967 -60.416
-13.966 -60.424
-13.967 -60.426
-13.974 -60.42
-13.983 -60.416
-13.985 -60.412
-13.98 -60.406
-13.982 -60.396
-13.979 -60.39
-13.979 -60.385
-13.982 -60.382
-13.992 -60.378
-13.997 -60.383
-13.995 -60.394
-13.996 -60.397
-14 -60.4
-14.006 -60.397
-14.01 -60.389
-14.014 -60.389
-14.02 -60.392
-14.03 -60.392
-14.032 -60.394
-14.038 -60.406
-14.041 -60.408
-14.07 -60.421
-14.079 -60.432
-14.08 -60.433
-14.092 -60.448
-14.092 -60.453
-14.088 -60.46
-14.092 -60.468
-14.098 -60.471
-14.108 -60.468
-14.115 -60.471
-14.119 -60.47
-14.125 -60.465
-14.128 -60.464
-14.136 -60.468
-14.146 -60.468
-14.156 -60.471
-14.171 -60.477
-14.181 -60.482
-14.188 -60.479
-14.191 -60.475
-14.192 -60.474
-14.194 -60.464
-14.196 -60.46
-14.2 -60.46
-14.21 -60.462
-14.216 -60.46
-14.218 -60.457
-14.221 -60.455
-14.225 -60.457
-14.23 -60.453
-14.235 -60.443
-14.238 -60.442
-14.253 -60.454
-14.258 -60.455
-14.267 -60.452
-14.289 -60.449
-14.307 -60.442
-14.313 -60.439
-14.318 -60.43
-14.324 -60.43
-14.335 -60.424
-14.347 -60.414
-14.358 -60.402
-14.364 -60.392
-14.369 -60.388
-14.385 -60.393
-14.389 -60.394
-14.413 -60.398
-14.42 -60.398
-14.429 -60.393
-14.438 -60.377
-14.44 -60.375
-14.447 -60.376
-14.453 -60.371
-14.46 -60.372
