segment Uruguay
-33.404 -58.376
-33.404 -58.38
-33.414 -58.391
-33.418 -58.4
-33.418 -58.419
-33.416 -58.42
-33.409 -58.417
-33.401 -58.415
-33.395 -58.417
-33.384 -58.411
-33.378 -58.411
-33.374 -58.407
-33.369 -58.403
-33.366 -58.408
-33.362 -58.403
-33.356 -58.393
-33.357 -58.386
-33.353 -58.382
-33.35 -58.381
-33.343 -58.365
-33.332 -58.352
-33.324 -58.347
-33.32 -58.347
-33.302 -58.348
-33.288 -58.346
-33.276 -58.34
-33.272 -58.34
-33.271 -58.345
-33.268 -58.348
-33.256 -58.35
-33.246 -58.351
-33.231 -58.35
-33.216 -58.354
-33.199 -58.354
-33.195 -58.354
-33.173 -58.36
-33.154 -58.36
-33.135 -58.353
-33.133 -58.351
-33.132 -58.345
-33.12 -58.331
-33.115 -58.314
-33.113 -58.311
-33.112 -58.31
-33.112 -58.308
-33.113 -58.307
-33.115 -58.302
-33.115 -58.294
-33.116 -58.292
-33.125 -58.28
-33.124 -58.277
-33.119 -58.275
-33.12 -58.27
-33.115 -58.26
-33.113 -58.251
-33.116 -58.233
-33.12 -58.227
-33.12 -58.222
-33.123 -58.217
-33.123 -58.212
-33.119 -58.208
-33.118 -58.203
-33.12 -58.195
-33.116 -58.185
-33.116 -58.181
-33.119 -58.174
-33.114 -58.167
-33.113 -58.162
-33.112 -58.159
-33.107 -58.159
-33.1 -58.144
-33.096 -58.138
-33.098 -58.135
-33.093 -58.131
-33.074 -58.105
-33.065 -58.102
-33.061 -58.097
-33.053 -58.092
-33.039 -58.072
-33.035 -58.07
-33.029 -58.076
-33.026 -58.079
-33.015 -58.077
-32.99 -58.062
-32.981 -58.059
-32.974 -58.053
-32.967 -58.052
-32.925 -58.035
-32.918 -58.036
-32.912 -58.039
-32.913 -58.046
-32.915 -58.047
-32.917 -58.049
-32.916 -58.051
-32.92 -58.054
-32.924 -58.051
-32.923 -58.057
-32.926 -58.062
-32.934 -58.057
-32.938 -58.057
-32.939 -58.061
-32.936 -58.066
-32.941 -58.072
-32.943 -58.07
-32.951 -58.072
-32.968 -58.068
-32.972 -58.07
-32.969 -58.073
-32.98 -58.075
-32.983 -58.078
-32.984 -58.082
-32.981 -58.085
-32.983 -58.086
-32.989 -58.085
-33.013 -58.094
-33.022 -58.103
-33.023 -58.106
-33.02 -58.11
-33.022 -58.112
-33.025 -58.111
-33.03 -58.117
-33.031 -58.125
-33.027 -58.124
-33.026 -58.134
-33.013 -58.128
-32.97 -58.122
-32.942 -58.115
-32.938 -58.113
-32.93 -58.114
-32.915 -58.121
-32.902 -58.121
-32.884 -58.118
-32.867 -58.119
-32.823 -58.128
-32.817 -58.128
-32.8 -58.136
-32.773 -58.143
-32.754 -58.145
-32.726 -58.148
-32.704 -58.147
-32.675 -58.147
-32.664 -58.149
-32.648 -58.153
-32.633 -58.153
-32.621 -58.155
-32.611 -58.16
-32.608 -58.163
-32.591 -58.172
-32.579 -58.174
-32.568 -58.176
-32.534 -58.187
-32.48 -58.198
-32.462 -58.201
-32.452 -58.201
-32.42 -58.194
-32.398 -58.189
-32.383 -58.182
-32.37 -58.17
-32.363 -58.155
-32.363 -58.15
-32.352 -58.134
-32.342 -58.122
-32.33 -58.115
-32.316 -58.11
-32.308 -58.104
-32.293 -58.099
-32.275 -58.1
-32.257 -58.106
-32.245 -58.115
-32.235 -58.125
-32.228 -58.129
-32.218 -58.13
-32.21 -58.136
-32.193 -58.155
-32.17 -58.175
-32.156 -58.182
-32.145 -58.182
-32.096 -58.17
-32.069 -58.159
-32.063 -58.155
-32.051 -58.143
-32.038 -58.139
-32.023 -58.139
-32 -58.146
-32 -58.176
-31.998 -58.175
-31.991 -58.162
-31.987 -58.158
-31.979 -58.156
-31.967 -58.159
-31.964 -58.159
-31.932 -58.171
-31.921 -58.18
-31.903 -58.201
-31.884 -58.206
-31.871 -58.205
-31.856 -58.2
-31.854 -58.198
-31.85 -58.195
-31.844 -58.186
-31.839 -58.175
-31.83 -58.149
-31.826 -58.129
-31.825 -58.116
-31.826 -58.101
-31.816 -58.083
-31.808 -58.076
-31.802 -58.073
-31.786 -58.065
-31.782 -58.061
-31.704 -58.029
-31.695 -58.022
-31.685 -58.019
-31.669 -58.014
-31.665 -58.01
-31.642 -58.002
-31.628 -57.999
-31.58 -57.981
-31.574 -57.981
-31.566 -57.985
-31.565 -57.986
-31.518 -58.015
-31.503 -58.043
-31.498 -58.051
-31.495 -58.068
-31.492 -58.072
-31.484 -58.08
-31.479 -58.083
-31.477 -58.084
-31.47 -58.086
-31.455 -58.081
-31.435 -58.064
-31.43 -58.057
-31.416 -58.031
-31.406 -58
-31.403 -57.994
-31.397 -57.99
-31.393 -57.987
-31.384 -57.982
-31.378 -57.982
-31.366 -57.989
-31.359 -57.991
-31.349 -57.99
-31.32 -57.981
-31.313 -57.978
-31.286 -57.948
-31.283 -57.945
-31.273 -57.938
-31.212 -57.916
-31.174 -57.906
-31.166 -57.907
-31.149 -57.909
-31.129 -57.913
-31.123 -57.911
-31.115 -57.903
-31.06 -57.869
-31.051 -57.867
-31.033 -57.862
-31.026 -57.864
-30.999 -57.874
-30.971 -57.891
-30.959 -57.894
-30.952 -57.898
-30.942 -57.908
-30.935 -57.91
-30.925 -57.913
-30.914 -57.911
-30.909 -57.904
-30.905 -57.891
-30.906 -57.872
-30.909 -57.868
-30.916 -57.852
-30.917 -57.841
-30.916 -57.834
-30.91 -57.825
-30.899 -57.818
-30.889 -57.815
-30.884 -57.814
-30.861 -57.802
-30.851 -57.799
-30.839 -57.799
-30.826 -57.805
-30.82 -57.806
-30.807 -57.802
-30.785 -57.797
-30.768 -57.801
-30.736 -57.807
-30.699 -57.807
-30.683 -57.813
-30.655 -57.84
-30.652 -57.842
-30.647 -57.846
-30.64 -57.847
-30.628 -57.845
-30.618 -57.846
-30.611 -57.85
-30.586 -57.884
-30.577 -57.888
-30.563 -57.883
-30.542 -57.881
-30.516 -57.878
-30.505 -57.873
-30.497 -57.867
-30.493 -57.862
-30.483 -57.855
-30.474 -57.848
-30.458 -57.825
-30.445 -57.801
-30.44 -57.79
-30.422 -57.774
-30.4 -57.733
-30.398 -57.726
-30.38 -57.698
-30.377 -57.69
-30.374 -57.688
-30.372 -57.685
-30.361 -57.667
-30.359 -57.661
-30.349 -57.647
-30.338 -57.635
-30.329 -57.631
-30.288 -57.62
-30.277 -57.615
-30.27 -57.613
-30.258 -57.611
-30.248 -57.607
-30.242 -57.608
-30.224 -57.622
-30.213 -57.637
-30.202 -57.643
-30.192 -57.645
-30.185 -57.645
-30.18 -57.641
-30.177 -57.634
-30.179 -57.618
-30.184 -57.615
-30.189 -57.604
-30.201 -57.58
-30.203 -57.571
-30.209 -57.562
-30.215 -57.556
-30.225 -57.555
-30.236 -57.557
-30.249 -57.559
-30.258 -57.557
-30.267 -57.551
-30.275 -57.538
-30.28 -57.522
-30.283 -57.506
-30.282 -57.5
-30.277 -57.494
-30.271 -57.486
-30.268 -57.481
-30.266 -57.477
-30.265 -57.471
-30.265 -57.464
-30.269 -57.456
-30.276 -57.446
-30.275 -57.441
-30.274 -57.434
-30.275 -57.426
-30.278 -57.423
-30.283 -57.421
-30.292 -57.42
-30.296 -57.419
-30.298 -57.415
-30.297 -57.409
-30.3 -57.404
-30.302 -57.4
-30.303 -57.396
-30.301 -57.393
-30.296 -57.388
-30.276 -57.378
-30.272 -57.374
-30.272 -57.37
-30.271 -57.365
-30.275 -57.36
-30.281 -57.354
-30.282 -57.351
-30.279 -57.345
-30.277 -57.341
-30.273 -57.334
-30.27 -57.326
-30.263 -57.321
-30.26 -57.313
-30.262 -57.307
-30.267 -57.302
-30.274 -57.301
-30.283 -57.293
-30.289 -57.286
-30.29 -57.276
-30.286 -57.273
-30.281 -57.269
-30.278 -57.266
-30.272 -57.265
-30.268 -57.264
-30.266 -57.261
-30.269 -57.257
-30.275 -57.254
-30.281 -57.251
-30.284 -57.24
-30.286 -57.227
-30.284 -57.217
-30.281 -57.207
-30.273 -57.199
-30.262 -57.194
-30.257 -57.189
-30.251 -57.181
-30.246 -57.175
-30.245 -57.172
-30.239 -57.167
-30.235 -57.16
-30.232 -57.158
-30.223 -57.159
-30.213 -57.161
-30.208 -57.165
-30.202 -57.166
-30.195 -57.163
-30.189 -57.158
-30.184 -57.151
-30.171 -57.144
-30.151 -57.131
-30.143 -57.127
-30.14 -57.121
-30.14 -57.114
-30.139 -57.109
-30.133 -57.108
-30.121 -57.11
-30.119 -57.113
-30.115 -57.11
-30.114 -57.105
-30.112 -57.1
-30.114 -57.095
-30.12 -57.093
-30.122 -57.089
-30.119 -57.086
-30.114 -57.084
-30.111 -57.086
-30.104 -57.088
-30.098 -57.084
-30.091 -57.075
-30.088 -57.068
-30.089 -57.063
-30.092 -57.064
-30.097 -57.063
-30.1 -57.053
-30.102 -57.041
-30.1 -57.034
-30.097 -57.027
-30.092 -57.022
-30.088 -57.016
-30.087 -57.007
-30.083 -57
segment Uruguay
-34.971 -54.963
-34.961 -54.971
-34.961 -54.966
-34.958 -54.964
-34.963 -54.962
-34.97 -54.961
-34.971 -54.963
