segment Kansas
36.999 -96.876
36.999 -96.902
36.999 -96.904
36.999 -96.917
36.999 -96.922
36.999 -96.925
36.999 -96.935
36.999 -96.967
36.999 -96.976
36.999 -97.03
36.999 -97.04
36.999 -97.046
36.999 -97.101
36.999 -97.104
36.999 -97.12
36.999 -97.123
36.999 -97.148
36.999 -97.202
36.999 -97.256
36.999 -97.343
36.999 -97.362
36.999 -97.365
36.999 -97.372
36.999 -97.385
36.999 -97.462
36.999 -97.473
36.999 -97.527
36.999 -97.546
36.999 -97.547
36.999 -97.565
36.999 -97.582
36.999 -97.607
36.999 -97.637
36.999 -97.65
36.999 -97.692
36.999 -97.697
36.999 -97.769
36.999 -97.783
36.999 -97.802
36.998 -97.965
36.998 -98.034
36.998 -98.04
36.998 -98.045
36.998 -98.112
36.998 -98.128
36.998 -98.147
36.998 -98.178
36.998 -98.19
36.998 -98.208
36.998 -98.22
36.998 -98.238
36.998 -98.346
36.998 -98.347
36.998 -98.354
36.999 -98.409
36.999 -98.418
36.999 -98.42
36.999 -98.477
36.999 -98.485
36.999 -98.545
36.999 -98.622
36.999 -98.715
36.999 -98.718
36.999 -98.762
36.999 -98.792
36.999 -98.794
36.999 -98.797
36.999 -98.812
36.999 -98.869
36.999 -98.88
36.999 -98.881
36.999 -98.994
37 -99.001
37 -99.029
36.999 -99.045
36.999 -99.05
36.999 -99.125
36.999 -99.129
37 -99.215
37 -99.221
37 -99.226
37 -99.248
37 -99.278
37 -99.375
37 -99.376
37 -99.397
37 -99.407
36.999 -99.456
37 -99.484
37 -99.5
37 -99.503
37 -99.504
37 -99.509
37 -99.541
37 -99.558
37 -99.625
37 -99.649
37 -99.658
37 -99.675
37 -99.701
37.001 -99.722
37.001 -99.774
37.001 -99.775
37.001 -99.786
37.002 -99.875
37.002 -99.905
37.002 -99.995
37.002 -100.001
37.002 -100.003
37.002 -100.006
37.002 -100.089
37.002 -100.116
37.002 -100.188
37.002 -100.192
37.002 -100.194
37.002 -100.202
37.002 -100.27
37.001 -100.396
37.001 -100.434
37.001 -100.437
37.001 -100.463
37.001 -100.526
37.001 -100.552
37.001 -100.553
37 -100.591
37 -100.63
37 -100.633
37 -100.676
36.999 -100.735
36.999 -100.757
36.999 -100.76
36.999 -100.765
36.999 -100.806
36.999 -100.814
36.999 -100.85
36.999 -100.856
36.999 -100.892
36.999 -100.904
36.999 -100.905
36.998 -100.946
36.998 -100.958
36.998 -100.996
36.998 -101.013
36.998 -101.054
36.998 -101.067
36.998 -101.096
36.997 -101.211
36.997 -101.213
36.997 -101.283
36.996 -101.358
36.996 -101.36
36.996 -101.378
36.996 -101.414
36.996 -101.415
36.996 -101.485
36.996 -101.519
36.995 -101.555
36.995 -101.6
36.995 -101.602
36.995 -101.672
36.995 -101.718
36.994 -101.762
36.994 -101.827
36.994 -101.863
36.994 -101.881
36.994 -101.899
36.994 -101.902
36.994 -101.905
36.994 -101.935
36.993 -102
36.993 -102.028
36.993 -102.042
37.025 -102.042
37.031 -102.042
37.032 -102.042
37.034 -102.042
37.035 -102.042
37.107 -102.042
37.112 -102.042
37.125 -102.042
37.127 -102.042
37.142 -102.042
37.258 -102.042
37.298 -102.042
37.309 -102.042
37.353 -102.042
37.375 -102.042
37.389 -102.042
37.41 -102.042
37.435 -102.042
37.469 -102.042
37.506 -102.042
37.535 -102.042
37.541 -102.042
37.558 -102.042
37.608 -102.042
37.644 -102.042
37.654 -102.042
37.666 -102.042
37.68 -102.042
37.724 -102.042
37.739 -102.042
37.76 -102.042
37.789 -102.043
37.804 -102.043
37.824 -102.043
37.868 -102.043
37.914 -102.044
37.926 -102.044
37.928 -102.044
38.046 -102.045
38.113 -102.044
38.12 -102.044
38.125 -102.045
38.134 -102.044
38.142 -102.044
38.176 -102.044
38.25 -102.044
38.262 -102.045
38.269 -102.045
38.312 -102.045
38.384 -102.045
38.416 -102.044
38.42 -102.045
38.454 -102.045
38.505 -102.045
38.506 -102.045
38.524 -102.045
38.544 -102.045
38.559 -102.045
38.582 -102.045
38.615 -102.045
38.67 -102.045
38.675 -102.045
38.687 -102.045
38.689 -102.045
38.698 -102.045
38.754 -102.045
38.756 -102.045
38.77 -102.045
38.783 -102.045
38.799 -102.045
38.813 -102.045
39.047 -102.047
39.13 -102.047
39.133 -102.047
39.137 -102.047
39.22 -102.048
39.303 -102.048
39.374 -102.049
39.394 -102.049
39.404 -102.049
39.418 -102.049
39.423 -102.049
39.506 -102.05
39.537 -102.05
39.539 -102.05
39.568 -102.05
39.574 -102.05
39.592 -102.05
39.627 -102.05
39.646 -102.05
39.654 -102.05
39.676 -102.051
39.742 -102.051
39.819 -102.051
39.833 -102.051
39.843 -102.051
39.85 -102.052
40.003 -102.052
