segment Montana
46.592 -114.334
46.611 -114.323
46.625 -114.323
46.643 -114.323
46.647 -114.321
46.654 -114.325
46.661 -114.333
46.662 -114.338
46.668 -114.357
46.669 -114.361
46.667 -114.378
46.665 -114.395
46.66 -114.403
46.657 -114.411
46.661 -114.424
46.649 -114.453
46.641 -114.454
46.632 -114.467
46.633 -114.486
46.638 -114.498
46.639 -114.509
46.642 -114.527
46.644 -114.547
46.642 -114.562
46.633 -114.583
46.633 -114.593
46.636 -114.602
46.64 -114.615
46.644 -114.616
46.648 -114.612
46.655 -114.615
46.658 -114.621
46.659 -114.636
46.666 -114.639
46.673 -114.643
46.679 -114.642
46.684 -114.632
46.692 -114.623
46.707 -114.621
46.713 -114.627
46.715 -114.633
46.73 -114.646
46.733 -114.649
46.737 -114.674
46.737 -114.675
46.737 -114.677
46.738 -114.683
46.741 -114.697
46.74 -114.699
46.737 -114.701
46.731 -114.704
46.718 -114.71
46.715 -114.713
46.715 -114.714
46.715 -114.727
46.712 -114.74
46.703 -114.748
46.7 -114.749
46.697 -114.752
46.697 -114.762
46.697 -114.767
46.711 -114.787
46.714 -114.789
46.724 -114.783
46.73 -114.78
46.731 -114.776
46.732 -114.774
46.739 -114.767
46.745 -114.765
46.758 -114.765
46.775 -114.786
46.779 -114.79
46.782 -114.809
46.781 -114.818
46.783 -114.829
46.791 -114.836
46.794 -114.845
46.802 -114.857
46.805 -114.86
46.808 -114.861
46.812 -114.861
46.814 -114.864
46.814 -114.865
46.813 -114.874
46.812 -114.881
46.809 -114.888
46.813 -114.898
46.823 -114.905
46.828 -114.92
46.836 -114.927
46.836 -114.928
46.837 -114.928
46.841 -114.928
46.843 -114.928
46.848 -114.923
46.855 -114.929
46.856 -114.94
46.859 -114.947
46.868 -114.943
46.869 -114.939
46.877 -114.932
46.882 -114.931
46.888 -114.933
46.897 -114.937
46.902 -114.935
46.91 -114.928
46.914 -114.927
46.92 -114.93
46.923 -114.941
46.926 -114.949
46.93 -114.96
46.93 -114.961
46.939 -114.971
46.952 -114.987
46.966 -114.999
46.968 -115.001
46.972 -115.001
46.976 -115.028
46.973 -115.029
46.972 -115.032
46.97 -115.048
46.971 -115.05
46.975 -115.052
46.987 -115.057
46.996 -115.066
47.003 -115.067
47.015 -115.07
47.022 -115.071
47.025 -115.074
47.036 -115.081
47.038 -115.083
47.046 -115.088
47.049 -115.098
47.047 -115.103
47.049 -115.107
47.061 -115.121
47.067 -115.126
47.069 -115.128
47.078 -115.137
47.085 -115.14
47.093 -115.14
47.106 -115.17
47.113 -115.173
47.131 -115.189
47.139 -115.201
47.146 -115.216
47.149 -115.223
47.149 -115.23
47.15 -115.244
47.155 -115.248
47.161 -115.254
47.163 -115.255
47.175 -115.256
47.182 -115.262
47.183 -115.286
47.184 -115.287
47.187 -115.298
47.188 -115.301
47.194 -115.301
47.206 -115.296
47.21 -115.292
47.221 -115.295
47.225 -115.299
47.23 -115.307
47.23 -115.312
47.233 -115.317
47.244 -115.324
47.245 -115.325
47.256 -115.327
47.262 -115.339
47.26 -115.35
47.259 -115.359
47.261 -115.366
47.265 -115.372
47.265 -115.379
47.264 -115.404
47.264 -115.411
47.272 -115.422
47.276 -115.423
47.279 -115.428
47.277 -115.444
47.278 -115.457
47.285 -115.471
47.287 -115.487
47.29 -115.496
47.295 -115.512
47.303 -115.527
47.306 -115.528
47.314 -115.532
47.32 -115.538
47.332 -115.549
47.333 -115.549
47.338 -115.549
47.35 -115.551
47.353 -115.556
47.353 -115.565
47.356 -115.571
47.364 -115.576
47.367 -115.579
47.369 -115.582
47.377 -115.601
47.378 -115.602
47.381 -115.609
47.383 -115.617
47.38 -115.634
47.379 -115.639
47.382 -115.644
47.39 -115.648
47.401 -115.658
47.415 -115.691
47.418 -115.71
47.421 -115.719
47.423 -115.721
47.424 -115.721
47.425 -115.723
47.429 -115.729
47.433 -115.731
47.445 -115.729
47.45 -115.723
47.453 -115.718
47.457 -115.693
47.455 -115.68
47.454 -115.671
47.457 -115.664
47.464 -115.658
47.468 -115.654
47.476 -115.653
47.478 -115.655
47.478 -115.656
47.479 -115.661
47.485 -115.682
47.486 -115.687
47.499 -115.694
47.503 -115.699
47.508 -115.704
