segment Mississippi
30.916 -89.747
30.919 -89.745
30.921 -89.744
30.922 -89.745
30.923 -89.748
30.93 -89.75
30.933 -89.749
30.934 -89.749
30.936 -89.75
30.94 -89.756
30.942 -89.757
30.943 -89.756
30.951 -89.751
30.958 -89.744
30.96 -89.743
30.967 -89.736
30.967 -89.734
30.966 -89.731
30.966 -89.729
30.967 -89.728
30.967 -89.727
30.97 -89.727
30.971 -89.728
30.974 -89.736
30.976 -89.737
30.977 -89.737
30.978 -89.736
30.978 -89.732
30.98 -89.73
30.982 -89.73
30.993 -89.728
30.994 -89.729
30.994 -89.732
30.996 -89.734
31 -89.736
31 -89.73
31.001 -89.728
31.002 -89.728
31.004 -89.73
31.005 -89.733
31.003 -89.742
31.002 -89.745
31 -89.747
31 -89.749
31 -89.751
31 -89.752
31.002 -89.753
31.002 -89.816
31.002 -89.825
31.002 -89.836
31.002 -89.857
31.002 -89.893
31.002 -89.898
31.001 -89.923
31.001 -89.927
31.001 -89.941
31.001 -89.973
31.002 -89.975
31.001 -90.005
31.001 -90.022
31.001 -90.03
31.001 -90.051
31.001 -90.068
31.001 -90.073
31.001 -90.128
31.001 -90.131
31.001 -90.164
31.001 -90.165
31.001 -90.187
31.001 -90.194
31.001 -90.25
31.001 -90.26
31 -90.346
31 -90.347
31 -90.356
31 -90.369
31 -90.372
31 -90.376
31 -90.381
31 -90.422
31 -90.427
31 -90.437
31 -90.442
31 -90.457
31 -90.463
31 -90.474
31 -90.476
31 -90.477
31 -90.48
31 -90.486
31 -90.487
31 -90.548
31 -90.567
31 -90.584
31 -90.587
31 -90.589
30.999 -90.649
31 -90.651
30.999 -90.734
30.999 -90.735
31 -90.753
31 -90.759
30.999 -90.769
30.999 -90.776
30.999 -90.78
30.999 -90.784
30.999 -90.826
30.999 -90.835
30.999 -90.853
31 -90.87
31 -90.879
31 -90.891
31 -90.895
31 -90.927
30.999 -91.06
30.999 -91.068
30.999 -91.081
30.999 -91.108
30.999 -91.176
30.999 -91.224
