segment Alabama
30.715 -87.48
30.713 -87.48
30.707 -87.474
30.705 -87.47
30.702 -87.468
30.701 -87.466
30.698 -87.457
30.7 -87.451
30.699 -87.449
30.695 -87.444
30.693 -87.442
30.69 -87.44
30.689 -87.436
30.689 -87.43
30.683 -87.425
30.68 -87.42
30.678 -87.413
30.675 -87.407
30.674 -87.407
30.672 -87.407
30.667 -87.406
30.657 -87.401
30.657 -87.4
30.654 -87.397
30.65 -87.396
30.648 -87.397
30.644 -87.396
30.631 -87.394
30.627 -87.394
30.625 -87.394
30.623 -87.396
30.618 -87.396
30.617 -87.396
30.616 -87.395
30.615 -87.395
30.609 -87.397
30.606 -87.399
30.604 -87.401
30.603 -87.405
30.6 -87.407
30.584 -87.409
30.577 -87.411
30.574 -87.412
30.573 -87.413
30.573 -87.415
30.572 -87.416
30.57 -87.418
30.57 -87.419
30.568 -87.417
30.566 -87.417
30.562 -87.419
30.561 -87.421
30.56 -87.422
30.561 -87.423
30.56 -87.426
30.554 -87.428
30.55 -87.431
30.55 -87.435
30.549 -87.435
30.527 -87.447
30.52 -87.446
30.515 -87.445
30.514 -87.445
30.514 -87.447
30.513 -87.447
30.512 -87.448
30.51 -87.448
30.507 -87.445
30.507 -87.443
30.507 -87.44
30.505 -87.438
30.496 -87.431
30.491 -87.431
30.485 -87.433
30.482 -87.435
30.48 -87.436
30.479 -87.435
30.478 -87.432
30.477 -87.431
30.471 -87.43
30.466 -87.425
30.457 -87.415
30.456 -87.408
30.453 -87.405
30.451 -87.4
30.451 -87.397
30.452 -87.392
30.45 -87.381
30.447 -87.371
30.445 -87.369
30.44 -87.367
30.437 -87.367
30.433 -87.368
30.43 -87.371
30.423 -87.382
30.42 -87.386
30.418 -87.396
30.415 -87.399
30.411 -87.402
30.41 -87.403
30.409 -87.409
30.409 -87.413
30.41 -87.419
30.41 -87.423
30.41 -87.424
30.409 -87.425
30.409 -87.426
30.409 -87.427
30.407 -87.428
30.406 -87.43
30.405 -87.43
30.405 -87.431
30.404 -87.431
30.403 -87.432
30.397 -87.434
30.396 -87.437
30.391 -87.441
30.389 -87.441
30.388 -87.441
30.387 -87.441
30.386 -87.441
30.382 -87.439
30.381 -87.439
30.376 -87.442
30.37 -87.449
30.367 -87.451
30.365 -87.452
30.363 -87.452
30.361 -87.452
30.36 -87.452
30.346 -87.451
30.344 -87.452
30.336 -87.46
30.334 -87.463
30.333 -87.465
30.332 -87.475
30.331 -87.476
30.331 -87.489
30.331 -87.492
30.329 -87.5
30.327 -87.503
30.324 -87.505
30.319 -87.506
30.315 -87.506
30.312 -87.506
30.311 -87.505
30.309 -87.505
30.308 -87.504
30.307 -87.503
30.307 -87.502
30.307 -87.501
30.305 -87.495
30.305 -87.494
30.305 -87.492
30.305 -87.484
30.306 -87.482
30.307 -87.478
30.308 -87.476
30.308 -87.469
30.308 -87.466
30.308 -87.465
30.308 -87.464
30.308 -87.463
30.308 -87.46
30.31 -87.456
30.311 -87.45
30.3 -87.452
30.288 -87.5
30.287 -87.505
30.284 -87.518
30.283 -87.518
30.28 -87.518
30.278 -87.534
30.276 -87.544
30.276 -87.545
30.274 -87.558
30.269 -87.581
30.269 -87.582
30.255 -87.636
30.255 -87.638
30.25 -87.657
30.248 -87.669
30.246 -87.689
30.241 -87.736
30.229 -87.801
30.227 -87.838
30.229 -87.899
30.23 -87.924
30.23 -87.926
30.23 -87.927
30.23 -87.962
30.226 -88
30.222 -88.015
30.221 -88.028
30.223 -88.029
30.23 -88.024
30.236 -87.967
30.257 -87.949
30.261 -87.936
30.253 -87.918
30.248 -87.914
30.242 -87.9
30.239 -87.893
30.239 -87.879
30.24 -87.86
30.252 -87.825
30.254 -87.818
30.253 -87.802
30.254 -87.788
30.256 -87.784
30.262 -87.767
30.263 -87.766
30.264 -87.765
30.277 -87.755
30.283 -87.755
30.288 -87.755
30.291 -87.756
30.312 -87.773
30.324 -87.797
30.333 -87.809
30.354 -87.83
30.357 -87.831
30.369 -87.837
30.376 -87.843
30.377 -87.845
30.378 -87.854
30.383 -87.865
30.409 -87.906
30.414 -87.909
30.421 -87.91
30.446 -87.914
30.461 -87.918
30.471 -87.92
30.476 -87.924
30.476 -87.925
30.481 -87.932
30.486 -87.933
30.487 -87.933
30.488 -87.933
30.501 -87.926
30.508 -87.922
30.509 -87.921
30.51 -87.92
30.511 -87.92
30.511 -87.919
30.523 -87.913
30.526 -87.911
30.53 -87.909
30.531 -87.908
30.538 -87.905
30.54 -87.905
30.543 -87.904
30.549 -87.902
30.551 -87.902
30.553 -87.902
30.555 -87.902
30.556 -87.903
30.558 -87.903
30.56 -87.903
30.562 -87.903
30.563 -87.904
30.564 -87.904
30.566 -87.904
30.57 -87.906
30.572 -87.907
30.573 -87.908
30.575 -87.91
30.576 -87.911
30.58 -87.913
30.586 -87.915
30.588 -87.915
30.616 -87.913
30.626 -87.916
30.63 -87.917
30.636 -87.919
30.637 -87.92
30.653 -87.931
30.657 -87.937
30.659 -87.956
30.662 -87.96
30.67 -87.973
30.675 -87.981
30.675 -87.982
30.678 -87.99
30.683 -88.003
30.684 -88.006
30.685 -88.008
30.684 -88.01
30.683 -88.012
30.674 -88.022
30.661 -88.027
30.654 -88.035
30.653 -88.044
30.649 -88.052
30.645 -88.062
30.631 -88.061
30.619 -88.06
30.612 -88.054
30.608 -88.056
30.588 -88.065
30.579 -88.075
30.566 -88.083
30.565 -88.084
30.563 -88.085
30.56 -88.085
30.546 -88.082
30.529 -88.083
30.524 -88.09
30.524 -88.091
30.523 -88.091
30.51 -88.101
30.501 -88.104
30.493 -88.103
30.471 -88.097
30.461 -88.101
30.453 -88.106
30.452 -88.106
30.427 -88.104
30.377 -88.107
30.357 -88.115
30.342 -88.125
30.339 -88.128
30.321 -88.136
30.327 -88.156
30.325 -88.172
30.317 -88.192
30.321 -88.196
30.339 -88.198
30.344 -88.196
30.345 -88.189
30.348 -88.189
30.358 -88.197
30.362 -88.2
30.362 -88.204
30.367 -88.219
30.369 -88.222
30.371 -88.23
30.375 -88.24
30.375 -88.241
30.382 -88.261
30.383 -88.271
30.383 -88.272
30.383 -88.276
30.383 -88.283
30.373 -88.289
30.371 -88.291
30.371 -88.292
30.369 -88.312
30.37 -88.317
30.38 -88.32
30.388 -88.332
30.389 -88.341
30.388 -88.364
30.386 -88.375
30.369 -88.395
30.473 -88.4
30.474 -88.4
30.492 -88.401
30.505 -88.402
30.511 -88.402
30.533 -88.404
30.543 -88.404
30.545 -88.404
30.59 -88.406
30.623 -88.407
30.632 -88.407
30.637 -88.408
30.669 -88.41
30.706 -88.411
30.713 -88.412
30.73 -88.412
30.732 -88.412
30.786 -88.415
30.863 -88.418
30.867 -88.419
30.875 -88.42
31 -88.426
31.001 -88.426
31.07 -88.43
31.114 -88.432
31.23 -88.438
31.231 -88.438
31.247 -88.439
31.253 -88.439
31.259 -88.439
31.356 -88.445
31.37 -88.446
31.421 -88.449
31.436 -88.45
31.449 -88.45
31.459 -88.451
31.482 -88.452
31.5 -88.453
31.505 -88.453
31.53 -88.455
31.581 -88.457
31.59 -88.458
31.622 -88.459
31.624 -88.46
31.698 -88.464
31.722 -88.465
31.782 -88.468
31.785 -88.468
31.791 -88.469
31.819 -88.47
31.851 -88.471
31.875 -88.473
31.894 -88.473
31.93 -88.469
31.933 -88.469
32.04 -88.455
32.041 -88.455
32.067 -88.452
32.147 -88.442
32.172 -88.439
32.173 -88.439
32.182 -88.437
32.209 -88.434
32.217 -88.433
32.25 -88.428
32.251 -88.428
32.286 -88.424
32.309 -88.421
32.366 -88.415
32.374 -88.414
32.377 -88.413
32.38 -88.412
32.391 -88.411
32.449 -88.404
32.45 -88.404
32.483 -88.4
32.485 -88.4
32.599 -88.386
32.627 -88.383
32.699 -88.375
32.712 -88.373
32.742 -88.369
32.748 -88.368
32.749 -88.368
32.875 -88.354
32.953 -88.345
32.955 -88.345
32.991 -88.34
33.073 -88.331
33.184 -88.317
33.186 -88.317
33.203 -88.315
33.221 -88.313
33.23 -88.311
33.258 -88.308
33.321 -88.3
33.326 -88.3
33.349 -88.297
33.359 -88.296
33.383 -88.293
33.399 -88.291
33.41 -88.29
33.501 -88.279
33.512 -88.277
33.516 -88.277
33.534 -88.275
33.56 -88.271
33.571 -88.27
33.573 -88.27
33.577 -88.269
33.585 -88.268
33.592 -88.267
33.594 -88.267
33.602 -88.266
33.618 -88.264
33.632 -88.262
33.643 -88.261
33.653 -88.26
33.682 -88.256
33.683 -88.256
33.696 -88.255
33.699 -88.254
33.72 -88.252
33.752 -88.248
33.768 -88.246
33.773 -88.245
33.782 -88.244
33.796 -88.243
33.803 -88.242
33.805 -88.241
33.811 -88.24
33.817 -88.239
33.847 -88.235
33.851 -88.235
33.892 -88.229
33.912 -88.227
33.913 -88.226
33.982 -88.217
34.029 -88.211
34.058 -88.207
34.068 -88.206
34.096 -88.203
34.116 -88.2
34.153 -88.195
34.158 -88.194
34.175 -88.192
34.19 -88.191
34.205 -88.188
34.211 -88.187
34.221 -88.187
34.258 -88.182
34.294 -88.177
34.302 -88.176
34.321 -88.174
34.381 -88.166
34.383 -88.166
34.42 -88.161
34.429 -88.16
34.443 -88.159
34.459 -88.157
34.461 -88.157
34.463 -88.156
34.49 -88.153
34.515 -88.149
34.582 -88.14
34.588 -88.139
34.589 -88.139
34.623 -88.134
34.649 -88.13
34.65 -88.13
34.724 -88.118
34.746 -88.116
34.766 -88.114
34.789 -88.111
34.812 -88.108
34.825 -88.106
34.892 -88.098
34.894 -88.1
34.902 -88.125
34.908 -88.137
34.91 -88.14
34.914 -88.146
34.922 -88.155
34.933 -88.162
34.955 -88.172
34.963 -88.176
34.967 -88.18
