segment Wisconsin
45.282 -87.698
45.277 -87.699
45.274 -87.699
45.272 -87.698
45.272 -87.699
45.269 -87.699
45.267 -87.703
45.26 -87.709
45.258 -87.708
45.255 -87.709
45.249 -87.71
45.249 -87.711
45.245 -87.711
45.243 -87.711
45.24 -87.711
45.239 -87.712
45.239 -87.713
45.239 -87.717
45.238 -87.718
45.233 -87.724
45.232 -87.725
45.231 -87.725
45.23 -87.725
45.228 -87.722
45.227 -87.721
45.223 -87.722
45.219 -87.727
45.216 -87.727
45.213 -87.726
45.209 -87.726
45.208 -87.728
45.205 -87.736
45.202 -87.739
45.2 -87.741
45.199 -87.741
45.198 -87.742
45.197 -87.742
45.178 -87.735
45.173 -87.737
45.172 -87.736
45.172 -87.735
45.171 -87.731
45.17 -87.728
45.167 -87.725
45.165 -87.723
45.161 -87.718
45.159 -87.711
45.156 -87.708
45.155 -87.707
45.152 -87.703
45.151 -87.701
45.151 -87.695
45.15 -87.692
45.147 -87.688
45.144 -87.684
45.144 -87.683
45.135 -87.676
45.134 -87.676
45.132 -87.678
45.131 -87.679
45.131 -87.678
45.13 -87.678
45.121 -87.672
45.12 -87.671
45.118 -87.667
45.113 -87.662
45.113 -87.661
45.109 -87.661
45.108 -87.661
45.108 -87.66
45.108 -87.657
45.109 -87.653
45.106 -87.648
45.106 -87.636
45.106 -87.632
45.106 -87.631
45.105 -87.63
45.104 -87.629
45.103 -87.628
45.103 -87.627
45.103 -87.626
45.102 -87.622
45.102 -87.619
45.1 -87.615
45.095 -87.592
45.095 -87.59
45.089 -87.587
45.085 -87.588
45.084 -87.592
45.085 -87.595
45.082 -87.602
45.08 -87.605
45.077 -87.609
45.076 -87.61
45.069 -87.614
45.045 -87.626
45.014 -87.625
44.977 -87.63
44.974 -87.655
44.973 -87.662
44.974 -87.696
44.966 -87.763
44.965 -87.767
44.96 -87.789
44.954 -87.813
44.951 -87.82
44.933 -87.838
44.932 -87.838
44.932 -87.839
44.931 -87.839
44.925 -87.843
44.924 -87.843
44.919 -87.844
44.912 -87.843
44.907 -87.84
44.906 -87.84
44.902 -87.836
44.897 -87.833
44.894 -87.83
44.892 -87.828
44.891 -87.828
44.89 -87.828
44.881 -87.833
44.878 -87.835
44.874 -87.838
44.871 -87.848
44.87 -87.848
44.87 -87.849
44.865 -87.853
44.86 -87.854
44.858 -87.855
44.856 -87.856
44.848 -87.861
44.84 -87.866
44.84 -87.872
44.84 -87.874
44.839 -87.878
44.835 -87.886
44.827 -87.901
44.825 -87.902
44.821 -87.903
44.819 -87.904
44.819 -87.905
44.806 -87.911
44.793 -87.919
44.779 -87.927
44.756 -87.941
44.756 -87.942
44.753 -87.952
44.75 -87.955
44.75 -87.956
44.744 -87.965
44.743 -87.965
44.742 -87.966
44.734 -87.973
44.72 -87.983
44.72 -87.984
44.718 -87.984
44.691 -87.989
44.687 -87.99
44.678 -87.99
44.67 -87.99
44.668 -87.99
44.664 -88.002
44.658 -88.004
44.646 -88.007
44.637 -88.01
44.632 -88.01
44.63 -88.009
44.613 -88.001
44.611 -87.999
44.609 -87.999
44.604 -88.002
44.602 -88.012
44.592 -88.016
44.588 -88.02
44.585 -88.022
44.579 -88.027
44.577 -88.036
44.573 -88.041
44.572 -88.041
44.567 -88.042
44.563 -88.037
44.551 -88.022
44.548 -88.017
44.539 -88.006
44.539 -88.005
44.539 -88.004
44.538 -88
44.538 -87.999
44.536 -87.992
44.534 -87.985
44.53 -87.971
44.53 -87.944
44.536 -87.929
44.54 -87.925
44.541 -87.924
44.548 -87.917
44.568 -87.902
44.569 -87.901
44.574 -87.899
44.575 -87.899
44.576 -87.9
44.578 -87.901
44.581 -87.904
44.583 -87.902
44.585 -87.901
44.589 -87.892
44.59 -87.89
44.608 -87.867
44.624 -87.831
44.627 -87.824
44.636 -87.809
44.639 -87.775
44.642 -87.766
44.644 -87.763
44.649 -87.756
44.656 -87.751
44.667 -87.748
44.677 -87.736
44.682 -87.73
44.693 -87.72
44.708 -87.718
44.719 -87.722
44.725 -87.721
44.738 -87.706
44.759 -87.688
44.764 -87.683
44.799 -87.646
44.803 -87.644
44.814 -87.637
44.817 -87.633
44.821 -87.629
44.838 -87.61
44.852 -87.581
44.853 -87.573
44.851 -87.55
44.857 -87.531
44.867 -87.519
44.87 -87.515
44.864 -87.502
44.864 -87.478
44.893 -87.437
44.893 -87.433
44.888 -87.42
44.885 -87.419
44.876 -87.42
44.862 -87.41
44.86 -87.406
44.862 -87.397
44.866 -87.385
44.885 -87.384
44.89 -87.385
44.898 -87.393
44.904 -87.406
44.912 -87.405
44.925 -87.399
44.925 -87.398
44.934 -87.393
44.938 -87.389
44.939 -87.387
44.946 -87.383
44.957 -87.375
44.988 -87.36
45.014 -87.336
45.034 -87.322
45.04 -87.316
45.048 -87.307
45.052 -87.303
45.054 -87.301
45.064 -87.284
45.071 -87.276
45.081 -87.265
45.086 -87.263
45.093 -87.261
45.106 -87.261
45.122 -87.257
45.131 -87.25
45.138 -87.24
45.149 -87.243
45.167 -87.238
45.173 -87.231
45.175 -87.222
45.166 -87.214
45.163 -87.195
45.173 -87.175
45.184 -87.167
45.185 -87.163
45.188 -87.155
45.189 -87.153
45.19 -87.151
45.191 -87.148
45.193 -87.133
45.19 -87.124
45.191 -87.12
45.2 -87.12
45.205 -87.119
45.21 -87.122
45.223 -87.123
45.242 -87.116
45.257 -87.109
45.266 -87.078
45.28 -87.071
45.293 -87.058
45.286 -87.052
45.285 -87.044
45.288 -87.034
45.299 -87.017
45.298 -86.994
45.295 -86.983
45.291 -86.978
45.278 -86.97
45.272 -86.975
45.264 -86.984
45.259 -86.985
45.249 -86.983
45.246 -86.977
45.246 -86.973
45.227 -86.979
45.216 -86.986
45.212 -87.003
45.214 -87.005
45.222 -87.008
45.222 -87.033
45.212 -87.041
45.174 -87.046
45.158 -87.045
45.146 -87.029
45.142 -87.033
45.135 -87.046
45.127 -87.05
45.121 -87.054
45.12 -87.054
45.116 -87.051
45.109 -87.049
45.089 -87.048
45.087 -87.057
45.079 -87.063
45.071 -87.08
45.059 -87.082
45.055 -87.092
45.058 -87.121
45.053 -87.125
45.042 -87.125
45.013 -87.139
45.012 -87.141
45.01 -87.152
45.009 -87.154
45.005 -87.164
44.981 -87.182
44.969 -87.189
44.948 -87.188
44.94 -87.175
44.937 -87.174
44.931 -87.172
44.928 -87.175
44.925 -87.187
44.917 -87.204
44.907 -87.216
44.898 -87.217
44.886 -87.206
44.876 -87.205
44.85 -87.261
44.847 -87.267
44.835 -87.275
44.833 -87.276
44.815 -87.283
44.808 -87.296
44.805 -87.305
44.794 -87.314
44.793 -87.314
44.792 -87.315
44.785 -87.32
44.781 -87.32
44.779 -87.32
44.771 -87.319
44.768 -87.321
44.763 -87.324
44.738 -87.338
