segment Tennessee
35.656 -89.851
35.657 -89.851
35.658 -89.851
35.661 -89.853
35.663 -89.854
35.664 -89.854
35.669 -89.859
35.669 -89.86
35.67 -89.86
35.67 -89.861
35.67 -89.865
35.669 -89.869
35.668 -89.872
35.667 -89.875
35.666 -89.877
35.665 -89.879
35.657 -89.883
35.656 -89.884
35.655 -89.885
35.654 -89.887
35.653 -89.889
35.652 -89.891
35.651 -89.899
35.651 -89.906
35.653 -89.914
35.653 -89.915
35.655 -89.923
35.66 -89.931
35.661 -89.932
35.666 -89.937
35.675 -89.943
35.682 -89.95
35.686 -89.953
35.691 -89.956
35.695 -89.957
35.712 -89.957
35.724 -89.959
35.728 -89.959
35.733 -89.956
35.736 -89.954
35.738 -89.95
35.755 -89.915
35.757 -89.913
35.759 -89.91
35.759 -89.906
35.75 -89.888
35.745 -89.884
35.741 -89.877
35.741 -89.873
35.748 -89.864
35.75 -89.858
35.756 -89.846
35.755 -89.833
35.756 -89.825
35.757 -89.821
35.76 -89.814
35.761 -89.813
35.764 -89.809
35.775 -89.799
35.78 -89.797
35.783 -89.797
35.789 -89.799
35.793 -89.796
35.805 -89.782
35.81 -89.765
35.811 -89.765
35.81 -89.758
35.806 -89.743
35.806 -89.734
35.809 -89.723
35.812 -89.72
35.818 -89.706
35.82 -89.704
35.824 -89.702
35.828 -89.701
35.831 -89.701
35.834 -89.703
35.836 -89.704
35.839 -89.709
35.848 -89.73
35.853 -89.749
35.858 -89.764
35.862 -89.769
35.865 -89.772
35.867 -89.773
35.872 -89.774
35.876 -89.773
35.88 -89.772
35.887 -89.769
35.891 -89.766
35.897 -89.756
35.905 -89.734
35.906 -89.715
35.897 -89.688
35.89 -89.682
35.886 -89.677
35.883 -89.67
35.883 -89.666
35.886 -89.658
35.887 -89.655
35.891 -89.651
35.895 -89.647
35.904 -89.645
35.908 -89.647
35.918 -89.65
35.921 -89.652
35.926 -89.656
35.936 -89.671
35.941 -89.677
35.948 -89.687
35.954 -89.7
35.96 -89.71
35.963 -89.715
35.968 -89.719
35.971 -89.72
35.975 -89.72
35.985 -89.719
35.986 -89.719
35.994 -89.728
35.997 -89.731
36.001 -89.733
36.001 -89.707
36.002 -89.707
36.005 -89.706
36.008 -89.704
36.021 -89.692
36.029 -89.689
36.034 -89.687
36.052 -89.684
36.072 -89.682
36.082 -89.68
36.085 -89.679
36.092 -89.672
36.096 -89.667
36.099 -89.658
36.104 -89.643
36.107 -89.628
36.108 -89.625
36.114 -89.615
36.115 -89.613
36.119 -89.602
36.122 -89.599
36.127 -89.594
36.13 -89.593
36.136 -89.592
36.137 -89.592
36.144 -89.592
36.15 -89.592
36.155 -89.594
36.157 -89.596
36.163 -89.6
36.165 -89.601
36.171 -89.607
36.18 -89.618
36.183 -89.624
36.185 -89.629
36.189 -89.637
36.194 -89.645
36.202 -89.655
36.207 -89.664
36.216 -89.68
36.225 -89.693
36.231 -89.7
36.235 -89.704
36.237 -89.705
36.238 -89.706
36.24 -89.705
36.243 -89.704
36.248 -89.7
36.251 -89.699
36.253 -89.695
36.252 -89.691
36.25 -89.686
36.248 -89.678
36.251 -89.653
36.25 -89.644
36.249 -89.642
36.248 -89.637
36.243 -89.624
36.239 -89.611
36.239 -89.61
36.239 -89.609
36.238 -89.607
36.238 -89.602
36.239 -89.589
36.239 -89.587
36.242 -89.578
36.243 -89.576
36.244 -89.574
36.25 -89.565
36.251 -89.562
36.251 -89.558
36.25 -89.554
36.249 -89.55
36.248 -89.549
36.248 -89.547
36.248 -89.545
36.247 -89.545
36.248 -89.542
36.249 -89.539
36.251 -89.536
36.253 -89.535
36.262 -89.535
36.271 -89.536
36.274 -89.537
36.275 -89.537
36.275 -89.538
36.277 -89.539
36.28 -89.544
36.28 -89.545
36.28 -89.547
36.279 -89.549
36.278 -89.554
36.288 -89.578
36.293 -89.584
36.297 -89.59
36.309 -89.612
36.321 -89.619
36.323 -89.62
36.33 -89.62
36.336 -89.616
36.34 -89.611
36.342 -89.606
36.343 -89.601
36.342 -89.582
36.338 -89.56
36.337 -89.545
36.337 -89.538
36.339 -89.532
36.342 -89.527
36.345 -89.523
36.349 -89.519
36.354 -89.516
36.36 -89.513
36.367 -89.511
36.374 -89.51
36.375 -89.51
36.378 -89.51
36.385 -89.514
36.4 -89.525
36.42 -89.542
36.424 -89.544
36.427 -89.545
36.431 -89.546
36.435 -89.545
36.439 -89.543
36.442 -89.541
36.452 -89.527
36.454 -89.525
36.457 -89.523
36.462 -89.521
36.467 -89.52
36.475 -89.52
36.479 -89.521
36.481 -89.523
36.491 -89.535
36.498 -89.539
36.498 -89.498
36.498 -89.493
36.498 -89.485
36.495 -89.487
36.479 -89.493
36.476 -89.494
36.473 -89.494
36.47 -89.493
36.466 -89.491
36.462 -89.486
36.458 -89.477
36.457 -89.472
36.457 -89.464
36.458 -89.46
36.461 -89.453
36.464 -89.448
36.474 -89.437
36.482 -89.429
36.489 -89.423
36.494 -89.42
36.499 -89.417
36.499 -89.404
36.499 -89.391
36.5 -89.382
36.5 -89.38
36.502 -89.357
36.503 -89.346
36.507 -89.3
36.507 -89.282
36.507 -89.279
36.506 -89.235
36.506 -89.216
36.506 -89.215
36.506 -89.211
36.505 -89.163
36.504 -89.16
36.504 -89.12
36.504 -89.118
36.503 -89.09
36.503 -89.072
36.503 -89.059
36.503 -89.035
36.503 -89.01
36.503 -89.007
36.503 -89
36.502 -88.964
36.502 -88.92
36.502 -88.918
36.502 -88.9
36.502 -88.885
36.502 -88.876
36.502 -88.875
36.502 -88.872
36.502 -88.87
36.503 -88.855
36.503 -88.835
36.503 -88.827
36.503 -88.8
36.503 -88.748
36.503 -88.715
36.502 -88.661
36.502 -88.624
36.502 -88.577
36.502 -88.545
36.501 -88.516
36.502 -88.512
36.501 -88.512
36.501 -88.489
36.501 -88.473
36.501 -88.453
36.501 -88.45
36.501 -88.416
36.501 -88.331
36.5 -88.326
36.5 -88.321
36.5 -88.259
36.499 -88.176
36.499 -88.138
36.499 -88.137
36.499 -88.127
36.497 -88.053
36.5 -88.05
36.504 -88.045
36.51 -88.039
36.514 -88.038
36.518 -88.037
36.521 -88.038
36.524 -88.037
36.526 -88.036
36.531 -88.034
36.541 -88.032
36.552 -88.034
36.562 -88.036
36.573 -88.04
36.584 -88.041
36.603 -88.045
36.63 -88.056
36.636 -88.056
36.641 -88.057
36.643 -88.059
36.651 -88.064
36.66 -88.068
36.678 -88.071
36.678 -88.045
36.677 -88.012
36.669 -87.912
36.665 -87.872
36.664 -87.85
36.633 -87.853
36.635 -87.797
36.636 -87.745
36.637 -87.698
36.638 -87.641
36.639 -87.565
36.639 -87.563
36.64 -87.476
36.641 -87.437
36.641 -87.426
36.641 -87.425
36.641 -87.414
36.641 -87.357
36.641 -87.348
36.642 -87.344
36.642 -87.339
36.642 -87.312
36.642 -87.286
36.642 -87.282
36.642 -87.278
36.642 -87.248
36.642 -87.231
36.642 -87.204
36.642 -87.115
36.644 -87.041
36.644 -87.012
36.644 -87
36.644 -86.987
36.646 -86.92
36.646 -86.907
36.646 -86.906
36.647 -86.854
36.647 -86.844
36.647 -86.833
36.648 -86.818
36.648 -86.816
36.648 -86.813
36.648 -86.788
36.649 -86.759
36.649 -86.714
36.65 -86.699
36.65 -86.679
36.652 -86.606
36.652 -86.605
