segment Nebraska
42.501 -96.519
42.497 -96.518
42.494 -96.516
42.487 -96.509
42.485 -96.507
42.485 -96.506
42.483 -96.501
42.48 -96.489
42.48 -96.479
42.48 -96.476
42.483 -96.466
42.486 -96.46
42.489 -96.443
42.489 -96.428
42.489 -96.424
42.489 -96.422
42.488 -96.413
42.488 -96.409
42.484 -96.396
42.474 -96.386
42.473 -96.385
42.462 -96.381
42.451 -96.38
42.446 -96.381
42.437 -96.384
42.432 -96.388
42.422 -96.399
42.411 -96.412
42.408 -96.414
42.4 -96.416
42.393 -96.415
42.384 -96.41
42.381 -96.409
42.38 -96.409
42.379 -96.409
42.377 -96.409
42.376 -96.408
42.376 -96.409
42.369 -96.412
42.366 -96.414
42.364 -96.415
42.361 -96.417
42.359 -96.418
42.355 -96.418
42.351 -96.418
42.343 -96.414
42.341 -96.412
42.337 -96.408
42.334 -96.403
42.331 -96.396
42.326 -96.384
42.318 -96.375
42.314 -96.372
42.311 -96.37
42.308 -96.369
42.304 -96.369
42.292 -96.368
42.286 -96.366
42.28 -96.361
42.276 -96.356
42.269 -96.341
42.265 -96.336
42.259 -96.331
42.255 -96.329
42.25 -96.328
42.243 -96.329
42.242 -96.329
42.241 -96.329
42.24 -96.33
42.236 -96.325
42.234 -96.323
42.231 -96.323
42.23 -96.324
42.223 -96.331
42.222 -96.332
42.221 -96.332
42.219 -96.336
42.218 -96.339
42.218 -96.342
42.217 -96.345
42.215 -96.357
42.214 -96.358
42.211 -96.36
42.208 -96.359
42.207 -96.358
42.2 -96.352
42.2 -96.351
42.198 -96.35
42.197 -96.349
42.196 -96.348
42.195 -96.348
42.193 -96.348
42.191 -96.348
42.189 -96.347
42.187 -96.347
42.186 -96.347
42.181 -96.349
42.178 -96.35
42.177 -96.35
42.172 -96.35
42.167 -96.348
42.161 -96.343
42.16 -96.342
42.157 -96.338
42.152 -96.327
42.151 -96.326
42.15 -96.324
42.147 -96.32
42.143 -96.317
42.136 -96.314
42.133 -96.31
42.131 -96.307
42.13 -96.306
42.128 -96.301
42.126 -96.286
42.123 -96.279
42.121 -96.275
42.118 -96.272
42.115 -96.27
42.114 -96.269
42.11 -96.267
42.104 -96.267
42.103 -96.267
42.096 -96.268
42.089 -96.272
42.086 -96.274
42.085 -96.275
42.083 -96.276
42.081 -96.277
42.074 -96.279
42.07 -96.279
42.068 -96.279
42.06 -96.278
42.052 -96.276
42.047 -96.273
42.045 -96.271
42.042 -96.269
42.04 -96.264
42.039 -96.261
42.039 -96.26
42.038 -96.256
42.039 -96.255
42.042 -96.247
42.041 -96.238
42.039 -96.232
42.035 -96.226
42.033 -96.224
42.03 -96.222
42.026 -96.222
42.023 -96.223
42.023 -96.224
42.019 -96.228
42.013 -96.237
42.012 -96.239
42.007 -96.242
42.003 -96.242
42.001 -96.242
41.999 -96.241
41.996 -96.236
41.995 -96.231
41.995 -96.23
41.994 -96.23
41.994 -96.229
41.995 -96.226
41.995 -96.225
41.995 -96.224
