segment Indiana
37.932 -86.965
37.933 -86.969
37.93 -86.979
37.922 -87.003
37.92 -87.01
37.915 -87.018
37.914 -87.02
37.907 -87.033
37.905 -87.035
37.904 -87.036
37.902 -87.038
37.898 -87.042
37.898 -87.043
37.895 -87.044
37.894 -87.045
37.893 -87.045
37.891 -87.046
37.89 -87.046
37.889 -87.046
37.888 -87.046
37.887 -87.045
37.884 -87.044
37.88 -87.043
37.876 -87.043
37.875 -87.043
37.871 -87.044
37.86 -87.049
37.854 -87.051
37.835 -87.055
37.827 -87.058
37.81 -87.065
37.806 -87.068
37.805 -87.068
37.803 -87.07
37.802 -87.071
37.801 -87.072
37.796 -87.077
37.788 -87.091
37.785 -87.1
37.783 -87.11
37.783 -87.111
37.783 -87.119
37.785 -87.128
37.787 -87.13
37.792 -87.133
37.807 -87.138
37.816 -87.142
37.83 -87.152
37.831 -87.153
37.832 -87.153
37.833 -87.154
37.838 -87.159
37.84 -87.162
37.841 -87.165
37.842 -87.171
37.841 -87.18
37.844 -87.202
37.846 -87.212
37.849 -87.221
37.867 -87.255
37.873 -87.263
37.874 -87.264
37.878 -87.268
37.879 -87.269
37.88 -87.27
37.881 -87.272
37.883 -87.274
37.883 -87.275
37.898 -87.302
37.905 -87.317
37.906 -87.32
37.908 -87.332
37.908 -87.334
37.908 -87.335
37.91 -87.342
37.911 -87.345
37.912 -87.346
37.916 -87.353
37.917 -87.354
37.918 -87.355
37.921 -87.358
37.921 -87.362
37.922 -87.364
37.93 -87.372
37.931 -87.373
37.932 -87.372
37.932 -87.373
37.936 -87.38
37.937 -87.387
37.939 -87.391
37.939 -87.392
37.941 -87.401
37.942 -87.403
37.943 -87.405
37.943 -87.406
37.944 -87.412
37.944 -87.414
37.944 -87.416
37.945 -87.419
37.945 -87.423
37.945 -87.428
37.945 -87.429
37.944 -87.437
37.942 -87.448
37.941 -87.45
37.941 -87.451
37.94 -87.454
37.934 -87.465
37.934 -87.466
37.931 -87.469
37.923 -87.482
37.923 -87.483
37.92 -87.486
37.918 -87.488
37.917 -87.49
37.909 -87.501
37.907 -87.507
37.906 -87.511
37.913 -87.52
37.916 -87.53
37.916 -87.532
37.923 -87.546
37.924 -87.549
37.925 -87.551
37.928 -87.554
37.93 -87.558
37.931 -87.559
37.934 -87.562
37.938 -87.566
37.941 -87.568
37.947 -87.572
37.955 -87.574
37.957 -87.574
37.963 -87.573
37.968 -87.575
37.972 -87.578
37.973 -87.581
37.975 -87.586
37.976 -87.587
37.976 -87.588
37.976 -87.59
37.976 -87.593
37.975 -87.597
37.973 -87.601
37.969 -87.604
37.967 -87.605
37.966 -87.605
37.965 -87.605
37.961 -87.605
37.959 -87.604
37.95 -87.606
37.945 -87.611
37.939 -87.619
37.933 -87.626
37.927 -87.629
37.925 -87.629
37.921 -87.628
37.916 -87.626
37.911 -87.623
37.91 -87.623
37.907 -87.62
37.906 -87.619
37.899 -87.608
37.896 -87.602
37.895 -87.601
37.892 -87.597
37.887 -87.592
37.876 -87.59
37.869 -87.588
37.861 -87.589
37.857 -87.592
37.839 -87.607
37.834 -87.612
37.833 -87.613
37.832 -87.615
37.832 -87.617
37.829 -87.625
37.827 -87.634
37.827 -87.636
37.826 -87.646
37.826 -87.647
37.826 -87.651
37.826 -87.655
37.826 -87.657
37.826 -87.659
37.827 -87.667
37.828 -87.669
37.829 -87.672
37.83 -87.674
37.831 -87.675
37.832 -87.676
37.833 -87.676
37.836 -87.679
37.841 -87.681
37.846 -87.682
37.856 -87.682
37.866 -87.675
37.868 -87.673
37.871 -87.669
37.874 -87.666
37.877 -87.664
37.881 -87.663
37.886 -87.663
37.894 -87.665
37.896 -87.666
37.899 -87.671
37.902 -87.676
37.903 -87.679
37.903 -87.68
