segment Idaho
44.569 -111.503
44.583 -111.519
44.596 -111.524
44.598 -111.525
44.605 -111.526
44.613 -111.522
44.633 -111.507
44.636 -111.505
44.644 -111.496
44.649 -111.491
44.655 -111.484
44.665 -111.473
44.667 -111.473
44.678 -111.469
44.679 -111.469
44.682 -111.478
44.688 -111.485
44.699 -111.49
44.7 -111.49
44.705 -111.489
44.708 -111.486
44.713 -111.467
44.717 -111.453
44.719 -111.444
44.72 -111.439
44.721 -111.439
44.721 -111.438
44.72 -111.43
44.714 -111.424
44.711 -111.414
44.723 -111.399
44.729 -111.397
44.745 -111.394
44.747 -111.398
44.753 -111.394
44.755 -111.385
44.75 -111.375
44.742 -111.366
44.738 -111.367
44.728 -111.356
44.725 -111.348
44.729 -111.341
44.724 -111.324
44.702 -111.296
44.683 -111.281
44.678 -111.277
44.669 -111.27
44.668 -111.269
44.656 -111.277
44.65 -111.263
44.651 -111.253
44.644 -111.245
44.623 -111.224
44.618 -111.226
44.607 -111.231
44.587 -111.23
44.581 -111.225
44.576 -111.201
44.571 -111.19
44.567 -111.183
44.562 -111.18
44.552 -111.176
44.547 -111.167
44.546 -111.16
44.536 -111.144
44.535 -111.144
44.517 -111.139
44.5 -111.131
44.494 -111.123
44.49 -111.111
44.487 -111.101
44.486 -111.096
44.485 -111.093
44.483 -111.088
44.476 -111.063
44.475 -111.056
44.474 -111.049
44.438 -111.049
44.436 -111.049
44.375 -111.049
44.354 -111.05
44.25 -111.049
44.132 -111.049
44.125 -111.049
44.12 -111.049
44.115 -111.048
44.106 -111.048
44.063 -111.049
44.061 -111.049
44.06 -111.049
44.02 -111.049
44 -111.047
43.983 -111.047
43.982 -111.047
43.975 -111.047
43.908 -111.047
43.861 -111.047
43.816 -111.047
43.783 -111.047
43.777 -111.047
43.727 -111.046
43.722 -111.046
43.688 -111.046
43.686 -111.046
43.685 -111.046
43.681 -111.046
43.679 -111.046
43.659 -111.046
43.642 -111.046
43.622 -111.046
43.501 -111.045
43.316 -111.045
43.196 -111.044
43.189 -111.044
43.184 -111.044
43.177 -111.044
43.144 -111.044
43.072 -111.044
43.068 -111.044
43.066 -111.044
43.06 -111.044
43.055 -111.044
43.046 -111.044
43.045 -111.044
43.041 -111.044
43.029 -111.044
43.026 -111.044
43.025 -111.044
43.023 -111.044
43.02 -111.044
43.019 -111.044
42.975 -111.044
42.969 -111.044
42.964 -111.044
42.875 -111.044
42.723 -111.044
42.61 -111.046
42.583 -111.046
42.513 -111.047
