segment Maryland
38.773 -76.335
38.776 -76.33
38.779 -76.324
38.797 -76.31
38.813 -76.309
38.817 -76.307
38.823 -76.303
38.826 -76.301
38.828 -76.298
38.827 -76.288
38.829 -76.285
38.831 -76.277
38.835 -76.278
38.845 -76.274
38.852 -76.272
38.852 -76.267
38.852 -76.264
38.848 -76.266
38.843 -76.263
38.836 -76.257
38.834 -76.256
38.832 -76.255
38.825 -76.25
38.823 -76.247
38.822 -76.246
38.819 -76.238
38.812 -76.219
38.813 -76.209
38.814 -76.198
38.815 -76.198
38.822 -76.193
38.83 -76.191
38.834 -76.193
38.843 -76.197
38.844 -76.198
38.851 -76.2
38.855 -76.201
38.863 -76.203
38.883 -76.2
38.893 -76.205
38.905 -76.205
38.916 -76.204
38.928 -76.204
38.929 -76.204
38.932 -76.207
38.932 -76.208
38.937 -76.214
38.941 -76.228
38.943 -76.232
38.942 -76.235
38.942 -76.236
38.939 -76.25
38.928 -76.251
38.924 -76.248
38.923 -76.248
38.921 -76.25
38.919 -76.256
38.919 -76.259
38.92 -76.262
38.925 -76.265
38.93 -76.265
38.942 -76.273
38.94 -76.276
38.935 -76.284
38.934 -76.287
38.931 -76.291
38.931 -76.292
38.929 -76.296
38.923 -76.298
38.919 -76.299
38.918 -76.299
38.91 -76.294
38.903 -76.293
38.899 -76.306
38.899 -76.308
38.898 -76.308
38.906 -76.314
38.911 -76.318
38.911 -76.324
38.906 -76.336
38.899 -76.337
38.896 -76.338
38.895 -76.338
38.893 -76.338
38.892 -76.339
38.892 -76.338
38.888 -76.336
38.887 -76.336
38.886 -76.335
38.878 -76.334
38.873 -76.333
38.864 -76.331
38.86 -76.334
38.856 -76.341
38.856 -76.342
38.857 -76.35
38.856 -76.352
38.854 -76.356
38.852 -76.361
38.851 -76.361
38.843 -76.365
38.839 -76.367
38.838 -76.367
38.836 -76.368
38.837 -76.37
38.839 -76.375
38.843 -76.375
38.85 -76.376
38.858 -76.373
38.873 -76.365
38.874 -76.365
38.891 -76.365
38.898 -76.365
38.907 -76.366
38.909 -76.365
38.912 -76.365
38.936 -76.362
38.939 -76.362
38.954 -76.355
38.957 -76.354
38.961 -76.351
38.972 -76.343
38.982 -76.335
38.999 -76.323
39 -76.323
39.001 -76.323
39.006 -76.322
39.009 -76.324
39.022 -76.32
39.023 -76.32
39.027 -76.318
39.033 -76.313
39.035 -76.312
39.035 -76.311
39.04 -76.302
39.036 -76.301
39.032 -76.301
39.026 -76.303
39.024 -76.302
39.012 -76.297
39.004 -76.294
38.998 -76.289
38.994 -76.287
38.99 -76.283
38.982 -76.277
38.983 -76.276
38.984 -76.259
38.983 -76.256
38.981 -76.247
38.981 -76.246
38.981 -76.244
38.98 -76.241
38.978 -76.23
38.978 -76.229
38.977 -76.229
38.973 -76.222
38.971 -76.219
38.973 -76.204
38.973 -76.203
38.973 -76.202
38.98 -76.192
38.984 -76.186
38.997 -76.168
39 -76.164
39.002 -76.164
39.009 -76.164
39.01 -76.164
39.018 -76.168
39.025 -76.173
39.028 -76.175
39.032 -76.178
39.046 -76.184
39.053 -76.18
39.059 -76.175
39.063 -76.169
39.064 -76.164
39.065 -76.159
39.069 -76.157
39.072 -76.155
39.076 -76.152
39.079 -76.151
39.084 -76.149
39.092 -76.145
39.093 -76.145
39.094 -76.158
39.095 -76.167
39.095 -76.17
39.095 -76.175
39.096 -76.184
39.095 -76.186
39.09 -76.195
39.086 -76.203
39.085 -76.203
39.072 -76.208
39.064 -76.21
39.063 -76.21
39.055 -76.211
39.049 -76.212
39.042 -76.213
39.041 -76.213
39.037 -76.212
39.032 -76.21
39.03 -76.21
39.028 -76.209
39.025 -76.209
39.019 -76.204
39.015 -76.201
39.013 -76.204
39.01 -76.209
39.019 -76.232
39.026 -76.24
39.029 -76.243
39.04 -76.241
39.046 -76.237
39.061 -76.231
39.062 -76.231
39.083 -76.232
39.091 -76.233
39.101 -76.238
39.121 -76.247
39.126 -76.249
39.133 -76.253
39.134 -76.253
39.143 -76.261
39.144 -76.262
39.144 -76.264
39.144 -76.268
39.146 -76.278
39.146 -76.279
39.147 -76.278
39.165 -76.275
39.179 -76.268
39.18 -76.267
39.181 -76.267
39.181 -76.266
39.192 -76.256
39.199 -76.251
39.233 -76.232
39.246 -76.226
39.262 -76.219
39.27 -76.211
39.27 -76.203
39.279 -76.193
39.283 -76.188
39.285 -76.186
39.292 -76.182
39.292 -76.181
39.296 -76.179
39.299 -76.178
39.306 -76.177
39.31 -76.179
39.31 -76.18
39.312 -76.186
39.315 -76.187
39.319 -76.186
39.332 -76.17
39.336 -76.16
39.334 -76.146
39.336 -76.143
39.34 -76.134
39.34 -76.133
39.344 -76.137
39.345 -76.137
39.351 -76.135
39.354 -76.129
39.361 -76.116
39.372 -76.111
39.372 -76.11
39.372 -76.104
39.371 -76.08
39.371 -76.073
39.371 -76.072
39.371 -76.069
39.371 -76.053
39.371 -76.05
39.368 -76.034
39.367 -76.033
39.366 -76.031
39.363 -76.025
39.362 -76.023
39.362 -76.022
39.366 -76.006
39.367 -76.002
39.368 -76.002
39.376 -76.002
39.385 -76.003
39.386 -76.019
39.386 -76.034
39.386 -76.036
39.388 -76.04
39.394 -76.041
39.402 -76.035
39.408 -76.017
39.415 -76.007
39.415 -76.006
39.42 -76.003
39.429 -75.998
39.43 -75.997
39.433 -75.989
39.435 -75.983
39.445 -75.977
39.448 -75.977
39.453 -75.983
39.459 -75.99
39.457 -75.998
39.45 -76.003
39.449 -76.009
39.449 -76.01
39.453 -76.012
39.456 -76.011
39.47 -76.003
39.477 -75.997
39.483 -75.995
39.489 -75.994
39.491 -75.993
39.51 -75.986
39.513 -75.985
39.521 -75.981
39.53 -75.976
39.531 -75.975
39.536 -75.97
39.539 -75.967
39.545 -75.967
39.549 -75.967
39.55 -75.967
39.552 -75.968
39.556 -75.97
39.557 -75.97
39.558 -75.97
39.559 -75.978
39.563 -75.993
39.56 -76
39.55 -76.006
39.549 -76.029
39.548 -76.044
39.548 -76.047
39.547 -76.064
39.543 -76.076
39.541 -76.083
39.54 -76.085
39.538 -76.094
39.537 -76.096
39.533 -76.098
39.531 -76.099
39.529 -76.1
39.528 -76.101
39.527 -76.101
39.524 -76.103
39.507 -76.112
39.496 -76.117
39.489 -76.115
39.487 -76.114
39.486 -76.113
39.482 -76.108
39.48 -76.106
39.479 -76.105
39.476 -76.098
39.478 -76.083
39.475 -76.073
39.475 -76.072
39.471 -76.07
39.453 -76.061
39.452 -76.061
39.451 -76.061
39.448 -76.061
39.437 -76.081
39.438 -76.083
39.436 -76.102
39.43 -76.112
39.428 -76.117
39.421 -76.122
39.405 -76.146
39.406 -76.159
39.392 -76.171
39.378 -76.18
39.368 -76.196
39.366 -76.199
39.35 -76.227
39.352 -76.234
39.361 -76.24
39.362 -76.243
39.361 -76.25
39.36 -76.252
39.353 -76.266
39.35 -76.265
39.346 -76.258
39.337 -76.254
39.334 -76.264
39.332 -76.266
39.331 -76.267
39.323 -76.276
39.317 -76.279
39.312 -76.281
39.308 -76.281
39.302 -76.282
39.302 -76.298
39.318 -76.291
39.329 -76.299
39.34 -76.299
39.347 -76.295
39.35 -76.296
39.352 -76.301
39.356 -76.312
39.357 -76.324
39.356 -76.33
39.354 -76.341
39.338 -76.336
39.334 -76.334
39.332 -76.335
39.325 -76.34
39.314 -76.328
39.306 -76.338
39.303 -76.341
39.311 -76.353
39.312 -76.355
39.312 -76.36
39.312 -76.364
39.299 -76.381
39.294 -76.382
39.286 -76.383
39.276 -76.385
39.273 -76.39
39.269 -76.395
39.258 -76.402
39.251 -76.389
39.249 -76.387
39.25 -76.381
39.247 -76.382
39.243 -76.384
39.235 -76.389
39.231 -76.394
39.23 -76.398
39.22 -76.418
39.206 -76.425
39.195 -76.442
39.198 -76.448
39.199 -76.45
39.205 -76.461
39.206 -76.463
39.205 -76.48
39.204 -76.482
39.203 -76.485
39.202 -76.489
39.205 -76.498
39.209 -76.501
39.22 -76.516
39.224 -76.521
39.217 -76.529
39.217 -76.53
39.213 -76.534
39.211 -76.536
39.208 -76.533
39.204 -76.535
39.191 -76.534
39.178 -76.526
39.177 -76.523
39.173 -76.515
39.172 -76.513
39.17 -76.51
39.169 -76.508
39.161 -76.501
39.162 -76.495
39.164 -76.484
39.161 -76.476
39.16 -76.475
39.155 -76.471
39.153 -76.469
39.144 -76.453
39.137 -76.44
39.136 -76.437
39.133 -76.431
39.132 -76.429
39.127 -76.432
39.113 -76.433
39.096 -76.427
39.087 -76.424
39.084 -76.423
39.083 -76.422
39.081 -76.422
39.074 -76.423
39.06 -76.433
39.056 -76.436
39.053 -76.439
39.048 -76.43
39.041 -76.419
39.033 -76.405
39.023 -76.398
39.011 -76.394
39.005 -76.402
38.996 -76.413
38.995 -76.415
38.989 -76.422
38.988 -76.427
38.986 -76.437
38.985 -76.44
38.983 -76.449
38.978 -76.45
38.975 -76.455
38.974 -76.465
38.973 -76.466
38.973 -76.472
38.973 -76.474
38.971 -76.474
38.967 -76.475
38.965 -76.474
38.964 -76.474
38.962 -76.473
38.957 -76.471
38.949 -76.463
38.949 -76.462
38.949 -76.461
38.948 -76.458
38.941 -76.45
38.927 -76.46
38.924 -76.462
38.914 -76.458
38.907 -76.459
38.908 -76.469
38.912 -76.469
38.914 -76.476
38.911 -76.49
38.91 -76.494
38.904 -76.494
38.9 -76.494
38.896 -76.493
38.895 -76.491
38.887 -76.489
38.886 -76.49
38.885 -76.491
38.884 -76.492
38.875 -76.504
38.869 -76.511
38.869 -76.512
38.863 -76.519
38.858 -76.518
38.851 -76.517
38.849 -76.511
38.848 -76.509
38.852 -76.499
38.853 -76.497
38.843 -76.49
38.839 -76.49
38.83 -76.493
38.819 -76.498
38.818 -76.499
38.812 -76.503
38.804 -76.508
38.801 -76.51
38.795 -76.525
38.793 -76.526
38.792 -76.527
38.788 -76.527
38.787 -76.527
38.786 -76.528
38.781 -76.533
38.779 -76.535
38.778 -76.535
38.778 -76.536
38.777 -76.537
38.777 -76.538
38.775 -76.543
38.773 -76.547
38.77 -76.555
38.769 -76.557
38.767 -76.56
38.758 -76.559
38.745 -76.558
38.737 -76.553
38.735 -76.553
38.734 -76.552
38.728 -76.545
38.728 -76.544
38.728 -76.532
38.728 -76.53
38.728 -76.529
38.727 -76.527
38.724 -76.527
38.714 -76.529
38.707 -76.531
38.706 -76.531
38.705 -76.531
38.704 -76.532
38.703 -76.532
38.7 -76.533
38.691 -76.532
38.68 -76.532
38.678 -76.532
38.672 -76.531
38.655 -76.527
38.648 -76.525
38.646 -76.525
38.646 -76.524
38.641 -76.522
38.635 -76.519
38.629 -76.516
38.616 -76.511
38.615 -76.511
38.61 -76.512
38.591 -76.516
38.59 -76.516
38.577 -76.516
38.567 -76.516
38.556 -76.515
38.54 -76.517
38.539 -76.518
38.538 -76.517
38.537 -76.517
38.529 -76.516
38.505 -76.506
38.502 -76.505
38.499 -76.503
38.483 -76.493
38.469 -76.477
38.462 -76.469
38.452 -76.457
38.451 -76.456
38.45 -76.456
38.448 -76.456
38.447 -76.455
38.446 -76.455
38.445 -76.453
38.442 -76.451
38.442 -76.45
38.435 -76.439
38.433 -76.436
38.415 -76.415
38.396 -76.403
38.389 -76.393
38.388 -76.388
38.382 -76.386
38.361 -76.387
38.341 -76.405
38.326 -76.409
38.325 -76.409
38.318 -76.406
38.311 -76.403
38.303 -76.381
38.299 -76.375
38.297 -76.375
38.296 -76.374
38.294 -76.377
38.29 -76.382
38.279 -76.394
38.278 -76.394
38.277 -76.395
