segment Washington
48.164 -124.733
48.17 -124.732
48.176 -124.72
48.182 -124.709
48.184 -124.704
48.199 -124.696
48.213 -124.691
48.22 -124.69
48.225 -124.694
48.23 -124.698
48.236 -124.703
48.239 -124.705
48.24 -124.706
48.246 -124.7
48.247 -124.698
48.255 -124.685
48.265 -124.681
48.275 -124.679
48.295 -124.676
48.296 -124.67
48.296 -124.669
48.297 -124.668
48.299 -124.666
48.3 -124.666
48.31 -124.662
48.324 -124.66
48.327 -124.66
48.331 -124.659
48.341 -124.67
48.343 -124.675
48.344 -124.679
48.35 -124.697
48.366 -124.714
48.37 -124.724
48.371 -124.727
48.375 -124.73
48.376 -124.731
48.381 -124.732
48.383 -124.729
48.386 -124.726
48.389 -124.718
48.39 -124.717
48.389 -124.695
48.39 -124.673
48.39 -124.659
48.391 -124.653
48.389 -124.649
48.386 -124.639
48.378 -124.633
48.378 -124.632
48.377 -124.631
48.378 -124.612
48.381 -124.599
48.382 -124.597
48.378 -124.595
48.375 -124.592
48.374 -124.591
48.373 -124.589
48.372 -124.586
48.366 -124.573
48.368 -124.565
48.361 -124.556
48.355 -124.548
48.354 -124.547
48.354 -124.546
48.351 -124.542
48.351 -124.541
48.35 -124.539
48.35 -124.538
48.349 -124.527
48.349 -124.526
48.349 -124.525
48.347 -124.521
48.343 -124.511
48.332 -124.484
48.327 -124.473
48.319 -124.454
48.315 -124.446
48.301 -124.414
48.289 -124.396
48.288 -124.392
48.285 -124.381
48.288 -124.362
48.288 -124.361
48.278 -124.342
48.272 -124.315
48.268 -124.3
48.268 -124.299
48.263 -124.296
48.262 -124.297
48.261 -124.298
48.259 -124.296
48.258 -124.29
48.256 -124.279
48.255 -124.273
48.254 -124.272
48.255 -124.269
48.255 -124.266
48.255 -124.265
48.259 -124.255
48.261 -124.252
48.263 -124.252
48.265 -124.251
48.262 -124.239
48.253 -124.218
48.246 -124.193
48.243 -124.182
48.234 -124.159
48.227 -124.141
48.221 -124.111
48.22 -124.11
48.218 -124.104
48.217 -124.102
48.2 -124.107
48.196 -124.091
48.19 -124.072
48.184 -124.062
48.178 -124.051
48.173 -124.026
48.165 -123.981
48.165 -123.98
48.165 -123.955
48.163 -123.945
48.162 -123.939
48.161 -123.937
48.161 -123.935
48.159 -123.917
48.159 -123.916
48.16 -123.898
48.16 -123.891
48.161 -123.88
48.16 -123.879
48.155 -123.867
48.155 -123.865
48.154 -123.86
48.154 -123.859
48.154 -123.858
48.158 -123.832
48.157 -123.819
48.155 -123.778
48.157 -123.772
48.161 -123.756
48.161 -123.751
48.163 -123.729
48.161 -123.728
48.159 -123.725
48.159 -123.718
48.163 -123.706
48.166 -123.706
48.167 -123.703
48.167 -123.702
48.163 -123.672
48.158 -123.655
48.157 -123.651
48.156 -123.65
48.15 -123.637
48.146 -123.641
48.139 -123.629
48.135 -123.591
48.141 -123.574
48.146 -123.567
48.148 -123.564
48.151 -123.561
48.151 -123.559
48.151 -123.558
48.151 -123.556
48.151 -123.551
48.15 -123.547
48.146 -123.535
48.137 -123.524
48.136 -123.522
48.135 -123.522
48.135 -123.521
48.132 -123.507
48.133 -123.494
48.134 -123.477
48.134 -123.476
48.134 -123.473
48.135 -123.472
48.138 -123.462
48.14 -123.455
48.142 -123.44
48.141 -123.439
48.124 -123.442
48.123 -123.438
48.12 -123.43
48.118 -123.425
48.117 -123.416
48.116 -123.411
48.116 -123.406
48.115 -123.4
48.114 -123.395
48.115 -123.389
48.115 -123.38
48.116 -123.366
48.116 -123.361
48.115 -123.352
48.114 -123.344
48.114 -123.339
48.113 -123.333
48.113 -123.321
48.114 -123.32
48.114 -123.315
48.12 -123.29
48.121 -123.29
48.121 -123.288
48.119 -123.284
48.119 -123.283
48.118 -123.282
48.117 -123.28
48.117 -123.279
48.117 -123.276
48.116 -123.269
48.116 -123.249
48.116 -123.248
48.117 -123.243
48.118 -123.239
48.119 -123.237
48.124 -123.225
48.126 -123.221
48.127 -123.217
48.144 -123.192
48.144 -123.191
48.145 -123.19
48.147 -123.188
48.148 -123.187
48.166 -123.164
48.171 -123.155
48.173 -123.15
48.176 -123.145
48.176 -123.144
48.176 -123.142
48.177 -123.133
48.176 -123.133
48.175 -123.132
48.166 -123.139
48.157 -123.143
48.155 -123.138
48.153 -123.131
48.153 -123.125
48.15 -123.116
48.145 -123.109
48.127 -123.085
48.126 -123.082
48.124 -123.075
48.121 -123.066
48.12 -123.066
48.103 -123.05
48.086 -123.041
48.083 -123.04
48.082 -123.039
48.081 -123.039
48.085 -123.017
48.088 -123.011
48.091 -123.004
48.096 -122.979
48.099 -122.946
48.097 -122.935
48.096 -122.93
48.096 -122.929
48.092 -122.918
48.088 -122.921
48.076 -122.926
48.074 -122.927
48.073 -122.927
48.067 -122.928
48.065 -122.927
48.064 -122.926
48.058 -122.919
48.053 -122.898
48.047 -122.878
48.05 -122.865
48.054 -122.849
48.055 -122.85
48.065 -122.857
48.066 -122.858
48.076 -122.878
48.089 -122.88
48.101 -122.882
48.111 -122.876
48.112 -122.874
48.122 -122.856
48.126 -122.848
48.134 -122.833
48.136 -122.822
48.137 -122.816
48.141 -122.793
48.142 -122.791
48.143 -122.784
48.143 -122.776
48.143 -122.766
48.143 -122.761
48.143 -122.76
48.14 -122.759
48.126 -122.753
48.118 -122.749
48.117 -122.749
48.115 -122.754
48.112 -122.76
48.112 -122.762
48.107 -122.773
48.106 -122.778
48.105 -122.78
48.104 -122.782
48.1 -122.788
48.1 -122.789
48.097 -122.793
48.092 -122.798
48.092 -122.799
48.088 -122.801
48.084 -122.799
48.074 -122.789
48.069 -122.785
48.069 -122.784
48.053 -122.771
48.048 -122.77
48.044 -122.767
48.046 -122.758
48.049 -122.742
48.052 -122.741
48.054 -122.74
48.059 -122.74
48.069 -122.739
48.071 -122.741
48.071 -122.747
48.072 -122.748
48.073 -122.747
48.088 -122.736
48.091 -122.734
48.091 -122.733
48.092 -122.732
48.098 -122.719
48.103 -122.698
48.102 -122.687
48.097 -122.692
48.087 -122.692
48.051 -122.684
48.043 -122.682
48.036 -122.677
48.032 -122.669
48.027 -122.669
48.017 -122.67
48.008 -122.687
48.008 -122.69
48.009 -122.691
48.012 -122.694
48.014 -122.696
48.015 -122.697
