segment Kentucky
36.64 -86.205
36.641 -86.216
36.641 -86.219
36.641 -86.222
36.645 -86.293
36.646 -86.296
36.649 -86.333
36.65 -86.359
36.65 -86.374
36.65 -86.375
36.651 -86.411
36.652 -86.468
36.652 -86.472
36.652 -86.473
36.652 -86.508
36.641 -86.544
36.644 -86.543
36.645 -86.55
36.638 -86.551
36.633 -86.564
36.639 -86.572
36.652 -86.59
36.652 -86.605
36.652 -86.606
36.651 -86.653
36.649 -86.714
36.649 -86.759
36.649 -86.763
36.648 -86.813
36.648 -86.816
36.648 -86.818
36.647 -86.833
36.647 -86.854
36.646 -86.906
36.646 -86.907
36.646 -86.92
36.645 -86.959
36.644 -87.012
36.643 -87.051
36.643 -87.061
36.642 -87.115
36.642 -87.151
36.642 -87.174
36.642 -87.198
36.642 -87.231
36.642 -87.248
36.642 -87.278
36.642 -87.282
36.642 -87.336
36.642 -87.339
36.642 -87.344
36.641 -87.348
36.641 -87.396
36.641 -87.414
36.641 -87.425
36.641 -87.436
36.641 -87.437
36.64 -87.476
36.639 -87.563
36.639 -87.565
36.638 -87.641
36.637 -87.694
36.637 -87.698
36.636 -87.745
36.635 -87.797
36.633 -87.853
36.664 -87.85
36.665 -87.872
36.669 -87.912
36.677 -88.012
36.678 -88.045
36.678 -88.071
36.66 -88.068
36.651 -88.064
36.643 -88.059
36.641 -88.057
36.638 -88.056
36.636 -88.056
36.63 -88.056
36.603 -88.045
36.584 -88.041
36.573 -88.04
36.562 -88.036
36.552 -88.034
36.541 -88.032
36.531 -88.034
36.526 -88.036
36.524 -88.037
36.521 -88.038
36.518 -88.037
36.514 -88.038
36.51 -88.039
36.504 -88.045
36.5 -88.05
36.497 -88.053
36.498 -88.088
36.499 -88.127
36.5 -88.309
36.5 -88.321
36.5 -88.326
36.501 -88.331
36.501 -88.416
36.501 -88.431
36.501 -88.45
36.501 -88.453
36.501 -88.473
36.501 -88.489
36.501 -88.512
36.502 -88.512
36.501 -88.516
36.502 -88.545
36.502 -88.577
36.502 -88.661
36.502 -88.662
36.503 -88.715
36.503 -88.748
36.503 -88.8
36.503 -88.816
36.503 -88.827
36.503 -88.835
36.503 -88.859
36.502 -88.87
36.502 -88.872
36.502 -88.875
36.502 -88.882
36.502 -88.884
36.502 -88.885
36.502 -88.887
36.502 -88.889
36.502 -88.895
36.502 -88.9
36.502 -88.964
36.503 -89
36.503 -89.007
36.503 -89.01
36.503 -89.035
36.503 -89.059
36.503 -89.072
36.503 -89.09
36.504 -89.118
36.504 -89.12
36.505 -89.163
36.506 -89.211
36.507 -89.279
36.507 -89.282
36.507 -89.3
36.503 -89.346
36.502 -89.357
36.5 -89.38
36.5 -89.382
36.499 -89.391
36.499 -89.404
36.499 -89.417
36.528 -89.406
36.542 -89.399
36.552 -89.397
36.556 -89.397
36.56 -89.396
36.584 -89.383
36.591 -89.381
36.608 -89.378
36.613 -89.376
36.614 -89.376
36.616 -89.375
36.621 -89.371
36.625 -89.366
36.625 -89.365
36.628 -89.357
36.631 -89.344
36.632 -89.334
36.632 -89.327
36.625 -89.318
36.62 -89.313
36.604 -89.302
36.594 -89.295
36.578 -89.279
36.576 -89.277
36.572 -89.273
36.571 -89.272
36.569 -89.268
36.566 -89.261
36.565 -89.26
36.565 -89.258
36.567 -89.237
36.569 -89.227
36.574 -89.22
36.576 -89.217
36.58 -89.214
36.602 -89.203
36.618 -89.201
36.626 -89.199
36.629 -89.198
36.636 -89.193
36.641 -89.188
36.645 -89.183
36.65 -89.175
36.66 -89.165
36.666 -89.159
36.672 -89.169
36.673 -89.172
36.675 -89.169
36.678 -89.168
36.686 -89.168
36.689 -89.17
36.694 -89.175
36.701 -89.184
36.712 -89.196
36.716 -89.199
36.72 -89.201
36.726 -89.201
36.734 -89.2
36.739 -89.198
36.747 -89.192
36.754 -89.185
36.756 -89.18
36.759 -89.169
36.76 -89.167
36.756 -89.157
36.756 -89.152
36.755 -89.142
36.752 -89.136
36.752 -89.13
36.752 -89.126
36.755 -89.122
36.76 -89.119
36.768 -89.117
36.772 -89.116
36.776 -89.117
36.782 -89.12
36.785 -89.124
36.788 -89.129
36.788 -89.133
36.788 -89.144
36.789 -89.156
36.791 -89.161
36.796 -89.168
36.798 -89.171
36.807 -89.177
36.81 -89.179
36.813 -89.179
36.817 -89.179
36.831 -89.179
36.835 -89.178
36.836 -89.177
36.84 -89.173
36.842 -89.17
36.843 -89.167
36.843 -89.159
36.843 -89.157
36.847 -89.154
36.847 -89.148
36.847 -89.138
36.857 -89.132
36.872 -89.127
36.883 -89.12
36.887 -89.118
36.92 -89.109
36.939 -89.102
36.944 -89.101
36.958 -89.099
36.961 -89.099
36.963 -89.099
36.965 -89.1
36.966 -89.101
36.968 -89.102
36.97 -89.103
36.972 -89.105
36.977 -89.109
36.98 -89.115
36.982 -89.118
36.983 -89.125
36.983 -89.129
36.982 -89.133
36.985 -89.138
36.992 -89.148
37 -89.161
37.003 -89.166
37.008 -89.171
37.011 -89.174
37.02 -89.178
37.021 -89.179
37.023 -89.18
37.026 -89.181
37.027 -89.181
37.037 -89.183
37.037 -89.182
37.046 -89.181
37.053 -89.179
37.055 -89.179
37.062 -89.176
37.074 -89.168
37.089 -89.155
37.09 -89.151
37.09 -89.15
37.091 -89.147
37.094 -89.141
37.097 -89.138
37.102 -89.136
37.103 -89.135
37.109 -89.125
37.111 -89.122
37.113 -89.12
37.116 -89.116
37.119 -89.111
37.132 -89.104
37.141 -89.099
37.145 -89.097
37.146 -89.097
37.15 -89.096
37.156 -89.093
37.166 -89.087
37.175 -89.076
37.189 -89.058
37.203 -89.041
37.204 -89.038
37.211 -89.03
37.216 -89.014
37.221 -89.006
37.221 -89.009
37.224 -89.001
37.229 -88.983
37.23 -88.967
37.229 -88.942
37.228 -88.935
37.228 -88.932
37.225 -88.921
37.224 -88.917
37.219 -88.903
37.21 -88.87
37.196 -88.835
37.192 -88.821
37.189 -88.806
37.185 -88.797
37.179 -88.787
37.172 -88.779
37.169 -88.776
37.163 -88.766
37.163 -88.765
37.16 -88.761
37.157 -88.757
37.155 -88.753
37.152 -88.747
37.152 -88.746
37.151 -88.746
37.147 -88.738
37.146 -88.737
37.145 -88.735
37.144 -88.732
37.144 -88.731
37.143 -88.729
37.141 -88.723
37.141 -88.721
37.141 -88.72
37.143 -88.703
37.141 -88.694
37.139 -88.688
37.139 -88.687
37.139 -88.686
37.123 -88.645
37.121 -88.638
37.121 -88.631
37.12 -88.627
37.119 -88.626
37.118 -88.622
37.113 -88.612
37.113 -88.611
37.112 -88.61
37.109 -88.605
37.107 -88.601
37.102 -88.594
37.1 -88.589
37.094 -88.585
37.093 -88.584
37.091 -88.582
37.086 -88.577
37.083 -88.571
37.082 -88.569
37.08 -88.566
37.076 -88.56
37.07 -88.545
37.067 -88.532
37.066 -88.521
37.065 -88.519
37.065 -88.517
37.065 -88.514
37.065 -88.504
37.067 -88.496
37.068 -88.49
37.067 -88.483
37.068 -88.476
37.074 -88.459
37.085 -88.452
37.099 -88.445
37.108 -88.443
37.109 -88.444
37.125 -88.436
37.126 -88.435
37.15 -88.425
37.151 -88.425
37.152 -88.424
37.158 -88.428
37.159 -88.43
37.16 -88.431
37.164 -88.434
37.166 -88.433
37.18 -88.438
37.182 -88.44
37.189 -88.442
37.204 -88.448
37.207 -88.451
37.214 -88.459
37.217 -88.467
37.22 -88.472
37.227 -88.478
37.23 -88.48
37.241 -88.485
37.244 -88.487
37.248 -88.492
37.254 -88.501
37.26 -88.508
37.262 -88.509
37.267 -88.507
37.273 -88.51
37.284 -88.516
37.291 -88.515
37.299 -88.511
37.303 -88.509
37.308 -88.505
37.318 -88.501
37.328 -88.494
37.335 -88.49
37.34 -88.487
37.346 -88.484
37.355 -88.483
37.365 -88.482
37.371 -88.48
37.375 -88.479
37.387 -88.477
37.396 -88.47
37.401 -88.466
37.408 -88.456
37.412 -88.45
37.416 -88.439
37.418 -88.433
37.419 -88.426
37.422 -88.419
37.424 -88.414
37.424 -88.413
37.425 -88.412
37.425 -88.409
37.424 -88.404
37.422 -88.397
37.416 -88.388
37.41 -88.378
37.404 -88.373
37.403 -88.371
37.402 -88.365
37.403 -88.362
37.405 -88.358
37.411 -88.348
37.427 -88.333
37.429 -88.331
37.435 -88.321
37.436 -88.318
37.441 -88.313
37.447 -88.298
37.453 -88.282
37.457 -88.255
37.457 -88.238
37.457 -88.225
37.46 -88.207
37.462 -88.189
37.464 -88.175
37.466 -88.172
37.467 -88.157
37.472 -88.135
37.472 -88.133
37.471 -88.128
37.472 -88.109
37.473 -88.096
37.473 -88.091
37.472 -88.091
37.471 -88.09
37.471 -88.088
37.473 -88.084
37.477 -88.081
37.48 -88.078
37.484 -88.072
37.482 -88.069
37.482 -88.068
37.485 -88.064
37.487 -88.063
37.488 -88.062
37.489 -88.062
37.489 -88.063
37.492 -88.064
37.496 -88.063
37.505 -88.061
37.508 -88.063
37.514 -88.063
37.515 -88.063
37.516 -88.063
37.525 -88.069
37.526 -88.07
37.529 -88.072
37.531 -88.077
37.532 -88.078
37.534 -88.085
37.534 -88.086
37.535 -88.088
37.536 -88.088
37.54 -88.093
37.551 -88.101
37.556 -88.106
37.562 -88.114
37.568 -88.122
37.573 -88.132
37.574 -88.133
37.58 -88.136
37.586 -88.14
37.591 -88.141
37.595 -88.14
37.599 -88.141
37.604 -88.142
37.623 -88.153
37.633 -88.157
37.634 -88.157
37.64 -88.158
37.649 -88.159
37.654 -88.16
37.656 -88.16
37.657 -88.16
37.658 -88.16
37.659 -88.16
37.661 -88.16
37.662 -88.159
37.665 -88.158
37.675 -88.152
37.682 -88.146
37.683 -88.145
37.691 -88.134
