segment Minnesota
45.983 -92.517
45.984 -92.519
45.984 -92.522
45.984 -92.525
45.983 -92.527
45.982 -92.531
45.978 -92.538
45.97 -92.546
45.969 -92.548
45.968 -92.55
45.961 -92.551
45.957 -92.55
45.952 -92.551
45.952 -92.552
45.951 -92.561
45.948 -92.57
45.948 -92.575
45.946 -92.581
45.942 -92.59
45.941 -92.602
45.938 -92.608
45.935 -92.614
45.935 -92.623
45.933 -92.628
45.932 -92.629
45.935 -92.636
45.934 -92.639
45.934 -92.64
45.932 -92.64
45.926 -92.638
45.925 -92.639
45.924 -92.656
45.923 -92.66
45.916 -92.67
45.912 -92.676
45.911 -92.677
45.907 -92.676
45.906 -92.677
45.904 -92.683
45.904 -92.684
45.903 -92.686
45.9 -92.691
45.896 -92.699
45.896 -92.703
45.895 -92.708
45.892 -92.713
45.891 -92.713
45.884 -92.721
45.868 -92.734
45.863 -92.736
45.859 -92.736
45.857 -92.737
45.848 -92.739
45.846 -92.74
45.841 -92.746
45.841 -92.749
45.837 -92.756
45.835 -92.759
45.834 -92.762
45.83 -92.765
45.827 -92.766
45.825 -92.765
45.824 -92.765
45.818 -92.762
45.816 -92.76
45.815 -92.76
45.811 -92.758
45.807 -92.758
45.804 -92.759
45.801 -92.762
45.798 -92.768
45.795 -92.772
45.79 -92.776
45.788 -92.777
45.783 -92.78
45.773 -92.781
45.764 -92.785
45.754 -92.799
45.752 -92.803
45.75 -92.804
45.748 -92.805
45.747 -92.805
45.746 -92.808
45.745 -92.809
45.744 -92.81
45.743 -92.813
45.742 -92.817
45.737 -92.826
45.734 -92.829
45.733 -92.831
45.733 -92.836
45.73 -92.841
45.729 -92.843
45.729 -92.849
45.728 -92.85
45.724 -92.851
45.723 -92.853
45.722 -92.863
45.721 -92.866
45.718 -92.869
45.715 -92.87
45.712 -92.869
45.7 -92.872
45.697 -92.87
45.689 -92.875
45.675 -92.877
45.666 -92.879
45.659 -92.882
45.655 -92.884
45.646 -92.886
45.644 -92.887
45.642 -92.887
45.639 -92.888
45.637 -92.887
45.636 -92.887
45.635 -92.887
45.633 -92.887
45.628 -92.888
45.625 -92.888
45.62 -92.887
45.614 -92.883
45.61 -92.883
45.605 -92.885
45.599 -92.886
45.595 -92.886
45.59 -92.883
45.579 -92.885
45.575 -92.884
45.573 -92.881
45.568 -92.871
45.567 -92.846
45.566 -92.844
45.563 -92.834
45.561 -92.823
45.561 -92.817
45.561 -92.812
45.563 -92.802
45.567 -92.79
45.568 -92.786
45.568 -92.777
45.568 -92.776
45.568 -92.773
45.567 -92.77
45.564 -92.765
45.557 -92.757
45.553 -92.746
45.541 -92.726
45.539 -92.725
45.538 -92.725
45.537 -92.725
45.526 -92.728
45.519 -92.728
45.514 -92.727
45.512 -92.724
45.507 -92.716
45.503 -92.712
45.493 -92.702
45.487 -92.698
45.483 -92.695
45.478 -92.693
45.476 -92.692
45.476 -92.691
45.474 -92.689
45.472 -92.687
45.47 -92.685
45.468 -92.683
45.464 -92.68
45.463 -92.677
45.458 -92.661
45.455 -92.654
45.455 -92.653
45.444 -92.648
45.443 -92.647
45.442 -92.647
45.441 -92.647
45.438 -92.647
45.43 -92.649
