segment Vermont
43.683 -72.306
43.681 -72.304
43.678 -72.303
43.674 -72.303
43.67 -72.304
43.667 -72.306
43.662 -72.309
43.66 -72.311
43.659 -72.312
43.658 -72.313
43.657 -72.314
43.656 -72.314
43.655 -72.314
43.649 -72.315
43.647 -72.314
43.643 -72.314
43.641 -72.315
43.639 -72.323
43.637 -72.326
43.637 -72.327
43.636 -72.328
43.636 -72.329
43.635 -72.33
43.633 -72.329
43.631 -72.327
43.627 -72.329
43.625 -72.332
43.619 -72.334
43.615 -72.335
43.61 -72.333
43.608 -72.33
43.608 -72.329
43.607 -72.328
43.606 -72.328
43.603 -72.328
43.601 -72.329
43.6 -72.33
43.599 -72.332
43.588 -72.35
43.584 -72.364
43.58 -72.372
43.579 -72.373
43.579 -72.374
43.574 -72.379
43.571 -72.38
43.564 -72.383
43.562 -72.383
43.555 -72.381
43.541 -72.38
43.536 -72.383
43.535 -72.383
43.534 -72.384
43.53 -72.388
43.528 -72.389
43.528 -72.39
43.527 -72.391
43.527 -72.394
43.524 -72.396
43.521 -72.396
43.52 -72.396
43.513 -72.399
43.511 -72.398
43.508 -72.396
43.504 -72.39
43.5 -72.385
43.493 -72.381
43.492 -72.38
43.49 -72.38
43.489 -72.38
43.48 -72.382
43.479 -72.382
43.478 -72.382
43.476 -72.383
43.474 -72.384
43.474 -72.385
43.469 -72.392
43.467 -72.393
43.465 -72.393
43.451 -72.391
43.449 -72.391
43.445 -72.394
43.442 -72.395
43.439 -72.396
43.438 -72.396
43.434 -72.396
43.431 -72.396
43.429 -72.396
43.415 -72.4
43.411 -72.4
43.404 -72.402
43.392 -72.404
43.39 -72.405
43.384 -72.413
43.38 -72.415
43.377 -72.416
43.366 -72.415
43.364 -72.415
43.363 -72.413
43.358 -72.404
43.358 -72.401
43.358 -72.4
43.358 -72.395
43.358 -72.392
43.358 -72.391
43.357 -72.39
43.355 -72.391
43.35 -72.395
43.348 -72.399
43.346 -72.401
43.338 -72.407
43.334 -72.409
43.332 -72.41
43.33 -72.41
43.328 -72.409
43.32 -72.403
43.317 -72.398
43.317 -72.397
43.316 -72.397
43.315 -72.396
43.314 -72.396
43.313 -72.395
43.313 -72.396
43.303 -72.402
43.283 -72.408
43.271 -72.415
43.264 -72.421
43.263 -72.422
43.261 -72.427
43.261 -72.43
43.258 -72.435
43.257 -72.436
43.253 -72.439
43.244 -72.439
43.238 -72.437
43.235 -72.434
43.233 -72.434
43.23 -72.434
43.225 -72.438
43.219 -72.44
43.215 -72.441
43.209 -72.439
43.203 -72.438
43.202 -72.438
43.201 -72.439
43.197 -72.444
43.195 -72.447
43.192 -72.45
43.189 -72.449
43.183 -72.444
43.182 -72.444
43.18 -72.443
43.178 -72.445
43.174 -72.451
43.172 -72.453
43.17 -72.452
43.161 -72.452
43.155 -72.452
43.154 -72.452
43.153 -72.452
43.152 -72.453
43.151 -72.454
43.15 -72.457
43.149 -72.457
43.148 -72.457
43.147 -72.457
43.146 -72.457
43.139 -72.452
43.137 -72.448
43.137 -72.444
43.137 -72.442
43.136 -72.441
43.132 -72.441
43.131 -72.441
43.131 -72.443
43.13 -72.443
43.128 -72.441
43.125 -72.438
43.124 -72.437
43.123 -72.436
43.121 -72.434
43.12 -72.433
43.114 -72.433
43.113 -72.433
43.11 -72.435
43.106 -72.44
43.106 -72.441
43.105 -72.441
43.104 -72.442
43.101 -72.443
43.095 -72.439
43.087 -72.435
43.084 -72.435
43.082 -72.436
43.077 -72.44
43.071 -72.445
43.066 -72.451
43.063 -72.455
43.059 -72.461
43.057 -72.464
43.056 -72.465
43.055 -72.466
43.055 -72.467
43.053 -72.467
43.049 -72.467
43.048 -72.466
43.044 -72.462
43.041 -72.46
43.036 -72.461
43.032 -72.462
43.029 -72.463
43.028 -72.463
43.026 -72.463
43.026 -72.462
43.021 -72.46
43.019 -72.459
43.017 -72.457
43.016 -72.453
43.011 -72.445
43.009 -72.444
43.008 -72.444
43.007 -72.444
43.006 -72.444
43.004 -72.445
43.001 -72.449
43.001 -72.452
43.001 -72.457
43 -72.46
42.997 -72.463
42.994 -72.465
42.99 -72.465
42.986 -72.464
42.984 -72.462
42.983 -72.462
42.98 -72.465
42.978 -72.466
42.973 -72.472
42.972 -72.474
42.972 -72.477
42.974 -72.479
42.974 -72.482
42.972 -72.487
42.968 -72.493
42.966 -72.504
42.964 -72.508
42.963 -72.518
42.962 -72.521
42.955 -72.532
42.952 -72.534
42.95 -72.535
42.949 -72.534
42.947 -72.532
42.946 -72.53
42.945 -72.529
42.943 -72.527
42.94 -72.527
42.936 -72.526
42.929 -72.527
42.918 -72.524
42.916 -72.524
42.915 -72.525
42.914 -72.525
42.914 -72.526
42.913 -72.529
42.912 -72.53
42.911 -72.53
42.909 -72.531
42.907 -72.532
42.906 -72.532
42.898 -72.531
42.896 -72.533
42.892 -72.537
42.889 -72.541
42.887 -72.546
42.886 -72.552
42.885 -72.553
42.875 -72.555
42.871 -72.555
42.867 -72.556
42.866 -72.556
42.866 -72.555
42.86 -72.554
42.855 -72.556
42.853 -72.557
42.852 -72.557
42.851 -72.556
42.847 -72.553
42.842 -72.549
42.838 -72.547
42.833 -72.547
42.824 -72.546
42.809 -72.543
42.808 -72.543
42.805 -72.54
42.791 -72.518
42.789 -72.516
42.787 -72.515
42.786 -72.514
42.784 -72.512
42.783 -72.511
42.781 -72.509
42.78 -72.509
42.777 -72.508
42.775 -72.508
42.773 -72.51
42.771 -72.515
42.769 -72.517
42.766 -72.516
42.764 -72.513
42.764 -72.511
42.764 -72.508
42.768 -72.501
42.769 -72.499
42.772 -72.499
42.773 -72.498
42.773 -72.495
42.772 -72.491
42.769 -72.488
42.767 -72.486
42.766 -72.485
42.763 -72.479
42.761 -72.478
42.758 -72.476
42.751 -72.475
42.746 -72.473
42.741 -72.468
42.733 -72.461
42.729 -72.458
42.727 -72.459
42.73 -72.566
42.731 -72.616
42.733 -72.686
42.737 -72.809
42.739 -72.93
42.741 -73.019
42.741 -73.023
42.743 -73.11
42.744 -73.142
42.746 -73.265
42.746 -73.276
42.802 -73.291
42.808 -73.286
42.81 -73.285
42.814 -73.284
42.82 -73.287
42.834 -73.285
42.835 -73.284
42.833 -73.279
42.838 -73.278
42.897 -73.276
42.934 -73.275
42.94 -73.274
42.942 -73.274
42.944 -73.274
42.963 -73.273
43.02 -73.271
43.031 -73.27
43.036 -73.27
43.05 -73.269
43.096 -73.266
43.114 -73.265
43.123 -73.264
43.217 -73.259
43.23 -73.259
43.259 -73.256
43.315 -73.255
43.355 -73.253
43.363 -73.253
43.37 -73.253
43.371 -73.253
43.409 -73.251
43.462 -73.249
43.47 -73.248
43.515 -73.247
43.519 -73.247
43.519 -73.248
43.523 -73.248
43.526 -73.247
43.528 -73.243
43.529 -73.242
43.532 -73.241
43.535 -73.242
43.54 -73.246
43.542 -73.247
43.543 -73.248
43.543 -73.25
43.55 -73.25
43.553 -73.248
43.554 -73.249
43.557 -73.253
43.565 -73.259
43.567 -73.261
43.569 -73.264
43.572 -73.269
43.574 -73.28
43.575 -73.281
43.578 -73.281
43.579 -73.285
43.579 -73.294
43.579 -73.295
43.58 -73.295
43.582 -73.294
43.585 -73.292
43.587 -73.297
43.593 -73.293
43.594 -73.293
43.596 -73.292
43.598 -73.292
43.603 -73.292
43.605 -73.294
43.61 -73.298
43.611 -73.3
43.616 -73.301
43.624 -73.302
43.626 -73.303
43.627 -73.304
43.628 -73.306
43.627 -73.308
43.624 -73.311
43.625 -73.313
43.627 -73.318
43.628 -73.324
43.626 -73.328
43.626 -73.342
43.623 -73.348
43.625 -73.359
43.623 -73.366
43.624 -73.367
43.625 -73.369
43.625 -73.37
43.625 -73.372
43.624 -73.372
43.623 -73.372
43.62 -73.37
43.619 -73.37
43.615 -73.375
43.613 -73.376
43.606 -73.372
43.605 -73.372
43.603 -73.373
43.6 -73.378
43.597 -73.383
43.585 -73.383
43.579 -73.383
43.577 -73.383
43.576 -73.384
43.57 -73.392
43.568 -73.396
43.568 -73.398
43.569 -73.4
43.571 -73.406
43.578 -73.417
43.581 -73.42
43.583 -73.427
43.584 -73.429
43.587 -73.431
43.588 -73.431
43.591 -73.43
43.599 -73.425
43.603 -73.422
43.607 -73.422
43.611 -73.424
43.612 -73.424
43.621 -73.418
43.622 -73.418
43.623 -73.418
43.634 -73.428
43.637 -73.429
43.643 -73.426
43.644 -73.425
43.646 -73.424
43.648 -73.419
43.652 -73.416
43.658 -73.415
43.669 -73.408
43.673 -73.408
43.673 -73.407
43.681 -73.404
43.684 -73.404
43.685 -73.403
43.685 -73.404
43.688 -73.405
43.69 -73.405
43.693 -73.402
43.695 -73.398
43.697 -73.396
43.699 -73.394
43.703 -73.392
43.711 -73.386
43.714 -73.383
43.718 -73.378
43.725 -73.371
43.729 -73.37
43.736 -73.371
43.742 -73.37
43.744 -73.37
43.746 -73.369
43.751 -73.364
43.753 -73.363
43.764 -73.355
43.77 -73.351
43.771 -73.351
43.772 -73.351
43.777 -73.355
43.778 -73.356
43.786 -73.358
43.79 -73.363
43.793 -73.368
43.799 -73.376
43.801 -73.377
43.806 -73.378
43.808 -73.379
43.811 -73.381
43.813 -73.383
43.817 -73.39
43.821 -73.392
43.822 -73.393
43.829 -73.39
43.832 -73.388
43.837 -73.382
43.839 -73.377
43.843 -73.374
43.845 -73.372
43.846 -73.372
43.847 -73.373
43.848 -73.374
43.853 -73.381
43.855 -73.382
43.859 -73.382
43.865 -73.379
43.874 -73.374
43.876 -73.374
43.88 -73.376
43.891 -73.383
43.903 -73.396
43.906 -73.397
43.917 -73.401
43.93 -73.408
43.933 -73.409
43.949 -73.406
43.967 -73.407
43.976 -73.411
43.98 -73.413
43.983 -73.413
43.986 -73.411
43.995 -73.409
44.011 -73.406
44.016 -73.406
44.02 -73.407
44.021 -73.407
44.021 -73.408
44.023 -73.409
44.026 -73.41
44.027 -73.411
44.028 -73.412
44.029 -73.414
44.03 -73.414
44.03 -73.416
44.031 -73.418
44.032 -73.42
44.033 -73.423
44.038 -73.428
44.039 -73.431
44.043 -73.437
44.045 -73.438
44.063 -73.432
44.072 -73.43
44.079 -73.429
44.099 -73.416
44.108 -73.413
44.113 -73.411
44.118 -73.412
44.121 -73.412
44.126 -73.414
44.132 -73.416
44.133 -73.416
44.138 -73.412
44.139 -73.408
44.144 -73.403
44.146 -73.402
44.152 -73.401
44.155 -73.4
44.162 -73.399
44.166 -73.396
44.167 -73.395
44.169 -73.397
44.172 -73.397
44.174 -73.397
44.176 -73.396
44.179 -73.39
44.181 -73.39
44.189 -73.391
44.191 -73.391
44.192 -73.388
44.193 -73.385
44.193 -73.384
44.197 -73.382
44.199 -73.378
44.2 -73.375
44.202 -73.372
44.205 -73.371
44.209 -73.362
44.21 -73.361
44.216 -73.358
44.22 -73.355
44.223 -73.355
44.224 -73.355
44.226 -73.351
44.23 -73.35
44.235 -73.342
44.238 -73.343
44.24 -73.337
44.241 -73.334
44.244 -73.33
44.245 -73.329
44.244 -73.325
44.244 -73.324
44.25 -73.32
44.258 -73.317
44.264 -73.313
44.265 -73.313
44.274 -73.311
44.28 -73.312
44.288 -73.317
44.302 -73.322
44.31 -73.324
44.319 -73.325
44.325 -73.324
44.334 -73.324
44.339 -73.325
44.343 -73.327
44.344 -73.327
44.346 -73.328
44.357 -73.335
44.364 -73.335
44.372 -73.334
44.376 -73.33
44.383 -73.321
44.386 -73.317
44.389 -73.315
44.395 -73.312
44.403 -73.31
44.428 -73.296
44.438 -73.294
44.439 -73.294
44.441 -73.294
44.446 -73.295
44.455 -73.3
44.464 -73.299
44.471 -73.299
44.477 -73.3
44.486 -73.304
44.492 -73.305
44.5 -73.307
44.507 -73.313
44.512 -73.319
44.514 -73.321
44.516 -73.321
44.518 -73.321
44.52 -73.321
44.525 -73.322
44.527 -73.324
44.527 -73.325
44.528 -73.329
44.529 -73.329
44.531 -73.331
44.532 -73.331
44.534 -73.331
44.536 -73.332
44.539 -73.335
44.543 -73.339
44.544 -73.339
44.547 -73.339
44.548 -73.339
44.552 -73.343
44.555 -73.35
44.557 -73.355
44.557 -73.356
44.558 -73.357
44.56 -73.358
44.56 -73.359
44.563 -73.36
44.563 -73.361
44.564 -73.362
44.568 -73.367
44.575 -73.374
44.582 -73.376
44.585 -73.378
44.589 -73.382
44.591 -73.382
44.594 -73.378
44.595 -73.377
44.597 -73.376
44.6 -73.377
44.605 -73.381
44.612 -73.383
44.617 -73.39
44.618 -73.39
44.62 -73.39
44.624 -73.387
44.627 -73.386
44.631 -73.386
44.636 -73.387
44.64 -73.38
44.641 -73.379
44.646 -73.383
44.653 -73.378
44.654 -73.378
44.655 -73.379
44.657 -73.379
44.662 -73.374
44.663 -73.373
44.663 -73.371
44.663 -73.37
44.666 -73.37
44.669 -73.373
44.675 -73.372
44.677 -73.372
44.677 -73.371
44.678 -73.371
44.679 -73.367
44.681 -73.367
44.684 -73.37
44.685 -73.37
44.688 -73.365
44.695 -73.361
44.7 -73.366
44.726 -73.365
44.729 -73.365
44.738 -73.365
44.741 -73.366
44.742 -73.366
44.745 -73.364
44.751 -73.358
44.755 -73.354
44.761 -73.352
44.768 -73.349
44.773 -73.347
44.776 -73.344
44.782 -73.336
44.785 -73.334
44.788 -73.333
44.789 -73.333
44.799 -73.334
44.802 -73.334
44.803 -73.335
44.804 -73.335
44.805 -73.335
44.809 -73.341
44.81 -73.343
44.816 -73.35
44.82 -73.353
44.822 -73.355
44.823 -73.358
44.826 -73.366
44.829 -73.369
44.829 -73.37
44.831 -73.371
44.836 -73.375
44.837 -73.379
44.838 -73.379
44.845 -73.381
44.849 -73.381
44.857 -73.38
44.861 -73.376
44.862 -73.372
44.867 -73.369
44.875 -73.366
44.891 -73.362
44.897 -73.36
44.901 -73.358
44.904 -73.356
44.907 -73.354
44.911 -73.348
44.914 -73.343
44.915 -73.341
44.917 -73.339
44.918 -73.339
44.924 -73.338
44.943 -73.34
44.961 -73.338
44.965 -73.338
44.966 -73.339
44.97 -73.345
44.976 -73.35
44.981 -73.353
44.984 -73.354
44.987 -73.355
44.99 -73.353
44.994 -73.35
45.011 -73.343
