segment Iowa
41.43 -90.967
41.434 -90.975
41.434 -90.977
41.434 -90.978
41.434 -90.98
41.434 -90.985
41.432 -90.989
41.426 -91.006
41.425 -91.01
41.425 -91.012
41.424 -91.021
41.424 -91.028
41.421 -91.035
41.42 -91.036
41.42 -91.037
41.419 -91.04
41.416 -91.044
41.415 -91.045
41.414 -91.046
41.411 -91.048
41.405 -91.049
41.4 -91.05
41.392 -91.051
41.388 -91.051
41.385 -91.052
41.38 -91.056
41.373 -91.062
41.369 -91.065
41.368 -91.065
41.367 -91.066
41.365 -91.067
41.359 -91.068
41.34 -91.072
41.334 -91.072
41.313 -91.073
41.306 -91.075
41.302 -91.078
41.294 -91.087
41.288 -91.091
41.287 -91.092
41.285 -91.093
41.267 -91.101
41.262 -91.104
41.256 -91.11
41.25 -91.114
41.241 -91.114
41.239 -91.112
41.237 -91.11
41.236 -91.109
41.231 -91.101
41.223 -91.093
41.214 -91.081
41.207 -91.073
41.2 -91.066
41.189 -91.058
41.186 -91.055
41.166 -91.042
41.164 -91.03
41.163 -91.027
41.166 -91.013
41.166 -91.011
41.166 -91.01
41.166 -91.009
41.166 -91.008
41.166 -91.007
41.163 -90.998
41.161 -90.995
41.156 -90.99
41.143 -90.981
41.13 -90.971
41.12 -90.966
41.111 -90.957
41.097 -90.947
41.095 -90.946
41.084 -90.948
41.073 -90.949
41.071 -90.949
41.062 -90.946
41.052 -90.945
41.049 -90.944
41.038 -90.942
41.035 -90.942
41.019 -90.945
41.012 -90.945
41.006 -90.946
40.995 -90.95
40.987 -90.955
40.986 -90.955
40.98 -90.958
40.977 -90.958
40.97 -90.955
40.962 -90.953
40.958 -90.952
40.954 -90.952
40.936 -90.96
40.925 -90.963
40.922 -90.965
40.919 -90.969
40.916 -90.979
40.912 -90.985
40.908 -90.998
40.908 -90.999
40.906 -91.003
40.905 -91.004
40.903 -91.006
40.901 -91.01
40.899 -91.011
40.898 -91.012
40.897 -91.013
40.894 -91.015
40.884 -91.022
40.879 -91.027
40.879 -91.028
40.875 -91.037
40.874 -91.039
40.872 -91.041
