segment California
32.821 -117.279
32.822 -117.281
32.826 -117.281
32.831 -117.282
32.837 -117.282
32.84 -117.282
32.843 -117.281
32.844 -117.28
32.846 -117.279
32.846 -117.278
32.848 -117.277
32.849 -117.276
32.851 -117.274
32.851 -117.273
32.85 -117.27
32.85 -117.268
32.849 -117.265
32.853 -117.261
32.855 -117.259
32.859 -117.256
32.862 -117.255
32.863 -117.255
32.873 -117.252
32.874 -117.252
32.875 -117.252
32.878 -117.252
32.9 -117.254
32.931 -117.26
32.935 -117.262
32.94 -117.263
32.948 -117.265
32.967 -117.269
32.978 -117.272
32.981 -117.273
32.991 -117.275
33.002 -117.278
33.012 -117.281
33.015 -117.282
33.031 -117.291
33.035 -117.293
33.042 -117.296
33.048 -117.299
33.052 -117.301
33.065 -117.306
33.075 -117.31
33.076 -117.31
33.082 -117.312
33.088 -117.314
33.089 -117.314
33.094 -117.315
33.122 -117.328
33.137 -117.339
33.145 -117.345
33.165 -117.36
33.166 -117.361
33.168 -117.363
33.17 -117.364
33.173 -117.366
33.177 -117.37
33.179 -117.371
33.193 -117.383
33.194 -117.384
33.203 -117.391
33.209 -117.397
33.209 -117.398
33.214 -117.402
33.215 -117.403
33.218 -117.406
33.269 -117.446
33.296 -117.47
33.334 -117.506
33.354 -117.533
33.359 -117.539
33.365 -117.547
33.365 -117.548
33.379 -117.572
33.387 -117.596
33.405 -117.607
33.406 -117.608
33.419 -117.621
33.431 -117.632
33.441 -117.646
33.462 -117.685
33.46 -117.689
33.457 -117.692
33.454 -117.691
33.46 -117.712
33.461 -117.715
33.481 -117.725
33.482 -117.726
33.483 -117.726
33.489 -117.732
33.502 -117.746
33.51 -117.755
33.516 -117.761
33.519 -117.763
33.53 -117.774
33.535 -117.779
33.542 -117.785
33.544 -117.793
33.544 -117.794
33.546 -117.799
33.546 -117.801
33.548 -117.805
33.549 -117.807
33.552 -117.814
33.553 -117.816
33.556 -117.819
33.565 -117.829
33.574 -117.84
33.574 -117.841
33.584 -117.861
33.587 -117.866
33.592 -117.877
33.593 -117.879
33.6 -117.9
33.606 -117.927
33.62 -117.941
33.629 -117.957
33.63 -117.957
33.63 -117.958
33.634 -117.965
33.637 -117.971
33.647 -117.988
33.654 -118.001
33.658 -118.005
33.66 -118.008
33.66 -118.009
33.667 -118.018
33.676 -118.03
33.678 -118.031
33.702 -118.055
33.711 -118.065
33.722 -118.079
33.722 -118.08
33.73 -118.089
33.732 -118.096
33.734 -118.101
33.744 -118.117
33.753 -118.133
33.757 -118.147
33.76 -118.157
33.762 -118.167
33.764 -118.175
33.763 -118.178
33.763 -118.181
33.761 -118.182
33.758 -118.183
33.752 -118.186
33.749 -118.188
33.736 -118.184
33.717 -118.181
33.717 -118.207
33.71 -118.233
33.704 -118.259
33.706 -118.273
33.707 -118.277
33.708 -118.285
33.708 -118.286
33.708 -118.288
33.708 -118.293
33.708 -118.296
33.708 -118.297
33.712 -118.312
33.713 -118.317
33.716 -118.323
33.721 -118.333
33.722 -118.334
33.732 -118.355
33.737 -118.361
33.74 -118.377
33.741 -118.385
33.736 -118.397
33.738 -118.403
33.74 -118.407
33.741 -118.409
33.742 -118.411
33.745 -118.413
33.748 -118.414
33.762 -118.422
33.763 -118.423
33.765 -118.423
33.767 -118.424
33.772 -118.427
33.775 -118.428
33.782 -118.423
33.785 -118.42
33.794 -118.412
33.796 -118.409
33.8 -118.405
33.804 -118.394
33.815 -118.392
33.829 -118.392
33.839 -118.392
33.841 -118.392
33.852 -118.398
33.856 -118.399
33.859 -118.401
33.862 -118.402
33.877 -118.409
33.884 -118.413
33.902 -118.422
33.905 -118.424
33.916 -118.43
33.94 -118.442
33.951 -118.449
33.962 -118.456
33.963 -118.456
33.969 -118.461
33.979 -118.468
33.984 -118.473
33.985 -118.474
33.988 -118.476
33.996 -118.483
33.998 -118.484
34 -118.487
34.002 -118.489
34.006 -118.493
34.016 -118.503
34.02 -118.51
34.025 -118.517
34.028 -118.52
34.035 -118.536
34.039 -118.543
34.04 -118.555
34.041 -118.562
34.041 -118.564
34.041 -118.567
34.042 -118.569
34.041 -118.573
34.041 -118.579
34.04 -118.586
34.04 -118.593
34.039 -118.604
34.036 -118.61
34.037 -118.632
34.038 -118.636
34.039 -118.668
34.037 -118.675
34.033 -118.679
34.031 -118.697
34.029 -118.706
34.031 -118.716
34.031 -118.719
34.032 -118.728
34.033 -118.732
34.033 -118.733
34.032 -118.745
34.03 -118.751
34.029 -118.755
34.022 -118.783
34.021 -118.784
34.02 -118.787
34.006 -118.8
34.001 -118.805
34.014 -118.822
34.025 -118.837
34.028 -118.84
34.028 -118.842
34.034 -118.854
34.034 -118.855
34.039 -118.896
34.042 -118.909
34.044 -118.921
34.045 -118.924
34.046 -118.928
34.043 -118.938
34.045 -118.945
34.047 -118.95
34.048 -118.955
34.052 -118.962
34.06 -118.977
34.06 -118.978
34.066 -118.997
34.066 -119.005
34.083 -119.037
34.089 -119.064
34.09 -119.07
34.098 -119.089
34.099 -119.098
34.095 -119.11
34.1 -119.13
34.12 -119.16
34.139 -119.189
34.144 -119.203
34.145 -119.203
34.145 -119.211
34.146 -119.216
