segment Oman
23.567 55.482
23.584 55.488
23.592 55.49
23.601 55.492
23.611 55.493
23.623 55.495
23.645 55.495
23.662 55.5
23.673 55.505
23.689 55.512
23.701 55.52
23.712 55.529
23.725 55.542
23.74 55.555
23.75 55.563
23.759 55.568
23.769 55.572
23.779 55.572
23.787 55.571
23.795 55.569
23.803 55.568
23.811 55.567
23.822 55.565
23.836 55.566
23.855 55.568
23.872 55.569
23.883 55.566
23.891 55.561
23.896 55.551
23.902 55.543
23.907 55.528
23.914 55.515
23.922 55.503
23.927 55.494
23.933 55.486
23.946 55.483
23.965 55.481
23.968 55.493
23.969 55.504
23.97 55.518
23.971 55.53
23.975 55.544
23.981 55.552
23.984 55.564
23.992 55.583
24 55.602
24 55.6
24 55.588
24.003 55.594
24.009 55.601
24.015 55.609
24.02 55.617
24.025 55.63
24.029 55.642
24.028 55.659
24.028 55.678
24.026 55.711
24.022 55.725
24.021 55.735
24.023 55.747
24.026 55.757
24.031 55.768
24.035 55.778
24.034 55.788
24.026 55.793
24.017 55.808
24.01 55.817
24.009 55.827
24.013 55.837
24.017 55.845
24.027 55.868
24.043 55.901
24.059 55.969
24.069 56.008
24.072 56.018
24.076 56.024
24.084 56.023
24.089 56.021
24.097 56.016
24.102 56.012
24.112 56.007
24.117 56.004
24.127 55.998
24.139 55.987
24.15 55.978
24.16 55.977
24.169 55.976
24.181 55.974
24.189 55.973
24.196 55.972
24.201 55.965
24.206 55.961
24.21 55.96
24.216 55.958
24.226 55.959
24.23 55.956
24.236 55.95
24.235 55.939
24.235 55.924
24.234 55.913
24.23 55.904
24.225 55.894
24.22 55.882
24.214 55.872
24.212 55.865
24.213 55.858
24.217 55.849
24.221 55.843
24.224 55.835
24.227 55.828
24.225 55.812
24.225 55.797
24.227 55.789
24.23 55.783
24.234 55.78
24.24 55.78
24.252 55.784
24.263 55.787
24.274 55.791
24.287 55.801
24.298 55.808
24.307 55.814
24.312 55.818
24.321 55.826
24.328 55.829
24.334 55.835
24.343 55.835
24.353 55.837
24.36 55.837
24.369 55.836
24.378 55.836
24.389 55.835
24.401 55.833
24.407 55.828
24.413 55.822
24.422 55.812
24.428 55.804
24.432 55.797
24.44 55.795
24.448 55.795
24.455 55.796
24.463 55.798
24.477 55.797
24.494 55.797
24.514 55.797
24.529 55.79
24.54 55.79
24.556 55.785
24.564 55.786
24.57 55.788
24.575 55.794
24.577 55.799
24.581 55.808
24.585 55.814
24.59 55.816
24.594 55.816
24.6 55.814
24.611 55.813
24.618 55.813
24.623 55.813
24.629 55.82
24.633 55.826
24.64 55.834
24.646 55.839
24.651 55.842
24.657 55.843
24.661 55.841
24.668 55.839
24.674 55.836
24.681 55.832
24.691 55.828
24.7 55.823
24.715 55.82
24.724 55.817
24.735 55.819
24.742 55.82
24.753 55.824
24.761 55.824
24.768 55.824
24.776 55.822
24.784 55.818
24.794 55.816
24.803 55.814
24.813 55.813
24.823 55.81
24.835 55.808
24.847 55.806
24.859 55.807
24.867 55.808
24.876 55.811
24.884 55.816
24.892 55.823
24.9 55.829
24.907 55.836
24.917 55.843
24.925 55.851
24.93 55.854
24.938 55.861
24.944 55.866
24.949 55.874
24.956 55.884
24.961 55.895
24.966 55.904
24.971 55.915
24.976 55.925
24.98 55.935
24.981 55.948
24.983 55.958
24.98 55.976
24.979 55.995
24.97 56.017
24.964 56.027
24.953 56.033
24.943 56.038
24.934 56.04
24.922 56.042
24.909 56.043
24.893 56.043
24.879 56.048
24.872 56.053
24.868 56.055
24.865 56.053
24.869 56.046
24.873 56.04
24.879 56.032
24.884 56.027
24.89 56.015
24.892 56.006
24.892 55.999
24.888 55.988
24.884 55.984
24.879 55.982
24.873 55.984
24.867 55.987
24.859 55.992
24.852 55.998
24.847 56.004
24.842 56.011
24.836 56.018
24.831 56.025
24.828 56.027
24.821 56.027
24.814 56.027
24.809 56.026
24.803 56.028
24.796 56.031
24.79 56.035
24.782 56.039
24.774 56.046
24.77 56.052
24.767 56.054
24.762 56.051
24.761 56.053
24.752 56.054
24.747 56.061
24.741 56.067
24.74 56.076
24.738 56.083
24.736 56.089
24.737 56.098
24.736 56.107
24.734 56.12
24.737 56.13
24.739 56.136
24.742 56.144
24.745 56.15
24.754 56.152
24.762 56.154
24.768 56.156
24.771 56.158
24.773 56.163
24.775 56.17
24.777 56.18
24.781 56.182
24.786 56.184
24.794 56.186
24.805 56.186
24.816 56.189
24.825 56.194
24.83 56.2
24.834 56.205
24.835 56.211
24.835 56.22
24.835 56.224
24.834 56.229
24.836 56.237
24.838 56.246
24.843 56.259
24.846 56.269
24.848 56.276
24.852 56.28
24.859 56.286
24.863 56.289
24.868 56.293
24.876 56.295
24.881 56.297
24.882 56.306
24.884 56.313
24.886 56.319
24.888 56.328
24.892 56.336
24.899 56.341
24.906 56.342
24.914 56.341
24.926 56.34
24.944 56.337
24.957 56.336
24.965 56.338
24.972 56.343
24.976 56.354
24.977 56.362
24.978 56.372
24.978 56.375
24.977 56.375
24.941 56.38
24.919 56.389
24.893 56.4
24.864 56.413
24.857 56.415
24.842 56.42
24.804 56.443
24.797 56.447
24.7 56.484
24.686 56.492
24.619 56.528
24.606 56.532
24.589 56.546
24.574 56.554
24.549 56.574
24.51 56.6
24.49 56.615
24.45 56.658
24.436 56.673
24.428 56.685
24.418 56.703
24.408 56.715
24.36 56.751
24.345 56.762
24.264 56.827
24.257 56.832
24.221 56.858
24.205 56.875
24.171 56.892
24.154 56.909
24.144 56.918
24.118 56.938
24.089 56.972
24.065 57.005
24.028 57.056
24 57.095
23.994 57.101
23.981 57.118
23.972 57.124
23.962 57.135
23.95 57.151
23.943 57.168
23.935 57.177
23.929 57.192
23.926 57.194
23.923 57.21
23.908 57.245
23.905 57.251
23.901 57.269
23.891 57.292
23.872 57.359
23.866 57.376
23.858 57.407
23.855 57.42
23.85 57.43
23.849 57.441
23.847 57.446
23.841 57.462
23.837 57.483
23.831 57.494
23.823 57.513
23.822 57.522
23.814 57.536
23.81 57.549
23.805 57.562
23.794 57.588
23.785 57.622
23.781 57.628
23.784 57.631
23.776 57.646
23.775 57.655
23.771 57.667
23.766 57.703
23.766 57.712
23.765 57.718
23.766 57.72
23.765 57.762
23.775 57.786
