segment Aleutian180
51.48 179.042
51.489 179.031
51.49 179.025
51.502 179.018
51.505 179.003
51.509 178.997
51.518 178.976
51.52 178.973
51.527 178.975
51.529 178.976
51.534 178.965
51.541 178.959
51.547 178.933
51.542 178.923
51.555 178.905
51.559 178.904
51.561 178.888
51.567 178.892
51.567 178.885
51.562 178.873
51.563 178.863
51.565 178.858
51.571 178.86
51.576 178.854
51.58 178.841
51.579 178.84
51.576 178.837
51.577 178.818
51.576 178.807
51.572 178.798
51.572 178.793
51.58 178.773
51.589 178.77
51.585 178.75
51.592 178.726
51.59 178.715
51.59 178.707
51.594 178.706
51.599 178.71
51.602 178.697
51.609 178.689
51.609 178.687
51.609 178.683
51.619 178.67
51.617 178.662
51.622 178.637
51.63 178.641
51.634 178.637
51.636 178.63
51.639 178.628
51.643 178.648
51.647 178.653
51.657 178.656
51.659 178.66
51.662 178.674
