segment Afghanistan
31.778 68.632
31.821 68.582
31.826 68.576
31.828 68.57
31.82 68.555
31.811 68.538
31.801 68.521
31.781 68.478
31.774 68.466
31.771 68.451
31.765 68.437
31.763 68.433
31.758 68.448
31.752 68.458
31.748 68.464
31.75 68.479
31.754 68.498
31.755 68.539
31.753 68.564
31.752 68.576
31.75 68.582
31.735 68.575
31.72 68.564
31.714 68.556
31.714 68.537
31.734 68.51
31.738 68.501
31.74 68.49
31.739 68.479
31.741 68.457
31.742 68.453
31.743 68.445
31.747 68.436
31.755 68.423
31.757 68.422
31.756 68.42
31.757 68.41
31.758 68.372
31.757 68.321
31.757 68.287
31.76 68.278
31.782 68.254
31.785 68.251
31.802 68.259
31.806 68.241
31.814 68.177
31.822 68.172
31.828 68.171
31.834 68.169
31.831 68.165
31.817 68.154
31.801 68.144
31.798 68.14
31.759 68.117
31.748 68.101
31.736 68.091
31.729 68.084
31.716 68.067
31.71 68.068
31.699 68.064
31.693 68.058
31.686 68.047
31.679 68.031
31.674 68.023
31.649 67.988
31.64 67.97
31.633 67.95
31.632 67.925
31.63 67.917
31.626 67.904
31.626 67.894
31.629 67.887
31.63 67.874
31.629 67.869
31.617 67.843
31.596 67.815
31.582 67.804
31.572 67.79
31.566 67.778
31.557 67.767
31.534 67.742
31.525 67.726
31.521 67.713
31.519 67.7
31.521 67.678
31.521 67.662
31.519 67.654
31.518 67.648
31.528 67.636
31.53 67.628
31.531 67.622
31.531 67.61
31.534 67.585
31.535 67.57
31.532 67.559
31.529 67.554
31.522 67.555
31.505 67.576
31.48 67.591
31.471 67.595
31.46 67.599
31.454 67.599
31.434 67.595
31.427 67.598
31.419 67.605
31.415 67.623
31.413 67.628
31.401 67.634
31.397 67.644
31.397 67.66
31.404 67.689
31.412 67.726
31.415 67.741
31.414 67.75
31.407 67.76
31.403 67.764
31.4 67.771
31.391 67.778
31.375 67.786
31.357 67.79
31.344 67.785
31.333 67.774
31.328 67.763
31.326 67.756
31.325 67.738
31.323 67.731
31.323 67.718
31.32 67.707
31.315 67.695
31.314 67.692
31.307 67.683
31.292 67.658
31.276 67.62
31.275 67.612
31.273 67.603
31.274 67.591
31.273 67.575
31.271 67.571
31.264 67.539
31.26 67.531
31.25 67.51
31.242 67.491
31.238 67.464
31.233 67.444
31.228 67.431
31.22 67.406
31.217 67.391
31.219 67.366
31.22 67.345
31.214 67.327
31.215 67.315
31.212 67.305
31.213 67.292
31.206 67.272
31.207 67.262
31.215 67.246
31.219 67.227
31.221 67.196
31.225 67.183
31.24 67.171
31.243 67.166
31.241 67.118
31.239 67.11
31.232 67.094
31.23 67.069
31.231 67.056
31.234 67.05
31.235 67.04
31.24 67.031
31.247 67.026
31.255 67.022
31.261 67.025
31.269 67.04
31.275 67.048
31.286 67.051
