segment Ukraine
45.317 28.875
45.329 28.85
45.336 28.827
45.337 28.814
45.334 28.795
45.331 28.794
45.322 28.794
45.318 28.802
45.314 28.808
45.308 28.809
45.298 28.8
45.293 28.786
45.29 28.773
45.283 28.767
45.274 28.77
45.266 28.779
45.258 28.79
45.254 28.795
45.247 28.795
45.243 28.783
45.239 28.766
45.233 28.747
45.23 28.737
45.229 28.719
45.236 28.685
45.245 28.657
45.251 28.639
45.251 28.624
45.254 28.588
45.255 28.573
45.258 28.565
45.262 28.556
45.266 28.545
45.271 28.527
45.28 28.495
45.283 28.489
45.287 28.478
45.292 28.457
45.297 28.443
45.302 28.421
45.307 28.404
45.312 28.387
45.318 28.371
45.324 28.354
45.331 28.342
45.343 28.331
45.363 28.316
45.376 28.306
45.393 28.293
45.408 28.286
45.417 28.286
45.43 28.29
45.441 28.289
45.451 28.282
45.454 28.282
45.455 28.279
45.458 28.268
45.461 28.26
45.461 28.252
45.462 28.245
45.464 28.237
45.468 28.22
45.469 28.216
45.493 28.229
45.512 28.248
45.531 28.269
45.54 28.29
45.546 28.31
45.543 28.331
45.538 28.352
45.53 28.369
45.522 28.393
45.52 28.406
45.514 28.413
45.507 28.419
45.495 28.423
45.489 28.429
45.488 28.436
45.489 28.453
45.493 28.477
45.496 28.497
45.5 28.509
45.505 28.516
45.518 28.517
45.531 28.515
45.547 28.509
45.561 28.503
45.568 28.501
45.571 28.503
45.574 28.509
45.577 28.534
45.58 28.544
45.584 28.548
45.597 28.547
45.616 28.541
45.643 28.534
45.656 28.53
45.665 28.528
45.67 28.524
45.671 28.517
45.668 28.506
45.668 28.501
45.671 28.497
45.675 28.496
45.682 28.502
45.693 28.51
45.704 28.518
45.715 28.524
45.722 28.529
45.733 28.542
45.737 28.548
45.739 28.561
45.739 28.567
45.736 28.575
45.734 28.593
45.736 28.6
45.743 28.603
45.751 28.601
45.763 28.603
45.769 28.606
45.769 28.612
45.768 28.617
45.771 28.629
45.774 28.641
45.778 28.657
45.78 28.673
45.783 28.694
45.787 28.708
45.792 28.718
45.796 28.718
45.806 28.713
45.813 28.712
45.819 28.712
45.824 28.717
45.827 28.727
45.828 28.746
45.832 28.761
45.837 28.78
45.842 28.787
45.846 28.79
45.852 28.788
45.866 28.782
45.878 28.779
45.894 28.776
45.907 28.772
45.915 28.767
45.922 28.765
45.933 28.767
45.937 28.77
45.945 28.769
45.95 28.766
45.957 28.769
45.961 28.775
45.966 28.784
45.972 28.791
45.977 28.794
45.979 28.805
45.98 28.822
45.985 28.834
45.988 28.85
45.989 28.864
45.992 28.879
45.996 28.897
46 28.926
46.005 28.954
46.013 28.978
46.027 28.992
46.054 29.007
46.065 29.01
46.072 29.007
46.079 28.995
46.09 28.984
46.102 28.966
46.107 28.958
46.116 28.962
46.125 28.974
46.136 28.989
46.157 29.012
46.172 29.028
46.187 29.046
46.2 29.058
46.206 29.056
46.221 29.03
46.255 28.982
46.271 28.959
46.28 28.947
46.286 28.951
46.314 28.979
46.325 28.988
46.331 28.993
46.336 28.992
46.351 28.986
46.362 28.981
46.378 28.974
46.414 28.955
46.431 28.947
46.446 28.94
46.456 28.937
46.462 28.937
46.463 28.952
46.466 28.975
46.468 28.993
46.469 28.997
46.487 29.001
46.492 29.02
46.5 29.047
46.505 29.05
46.517 29.054
46.521 29.062
46.52 29.083
46.519 29.167
46.522 29.175
46.53 29.181
46.538 29.178
46.545 29.173
46.55 29.171
46.553 29.174
46.551 29.184
46.549 29.195
46.552 29.204
46.555 29.216
46.562 29.237
46.563 29.242
46.552 29.244
46.539 29.241
46.525 29.237
46.516 29.237
46.509 29.239
46.507 29.248
46.51 29.25
46.51 29.255
46.504 29.259
46.492 29.263
46.486 29.259
46.481 29.25
46.478 29.244
46.476 29.242
46.468 29.247
46.462 29.248
46.457 29.245
46.45 29.236
46.442 29.235
46.426 29.234
46.409 29.223
46.403 29.217
46.397 29.217
46.39 29.226
46.385 29.242
46.383 29.252
46.384 29.258
46.39 29.26
46.412 29.268
46.417 29.274
46.419 29.286
46.421 29.3
46.418 29.306
46.411 29.312
46.414 29.319
46.418 29.323
46.425 29.321
46.431 29.319
46.436 29.322
46.438 29.319
46.443 29.315
46.445 29.308
46.449 29.31
46.454 29.316
46.456 29.319
46.458 29.319
46.464 29.319
46.467 29.317
46.471 29.314
46.475 29.321
46.474 29.331
46.476 29.334
