segment Bangladesh
23.228 91.32
23.191 91.322
23.158 91.325
23.149 91.326
23.135 91.333
23.114 91.342
23.094 91.347
23.085 91.35
23.064 91.371
23.058 91.384
23.059 91.385
23.054 91.393
23.054 91.4
23.055 91.404
23.068 91.408
23.077 91.408
23.085 91.402
23.148 91.383
23.163 91.382
23.175 91.38
23.189 91.383
23.198 91.382
23.218 91.384
23.225 91.386
23.235 91.392
23.247 91.397
23.258 91.392
23.259 91.414
23.259 91.428
23.254 91.436
23.244 91.447
23.231 91.461
23.226 91.462
23.22 91.454
23.217 91.453
23.214 91.457
23.215 91.463
23.218 91.469
23.213 91.476
23.204 91.48
23.199 91.477
23.192 91.47
23.19 91.478
23.189 91.491
23.187 91.497
23.182 91.495
23.174 91.489
23.168 91.495
23.163 91.494
23.16 91.492
23.151 91.501
23.142 91.501
23.141 91.509
23.131 91.509
23.125 91.505
23.1 91.518
23.094 91.52
23.092 91.526
23.088 91.529
23.076 91.526
23.071 91.529
23.064 91.527
23.056 91.522
23.051 91.522
23.043 91.534
23.036 91.542
23.031 91.542
23.022 91.538
23.015 91.543
23.001 91.543
22.993 91.545
22.992 91.552
22.977 91.557
22.963 91.575
22.97 91.582
22.97 91.586
22.969 91.591
22.97 91.597
22.971 91.599
22.967 91.605
22.958 91.612
22.955 91.608
22.954 91.601
22.953 91.599
22.951 91.601
22.95 91.606
22.948 91.608
22.947 91.614
22.938 91.617
22.93 91.614
22.929 91.62
22.932 91.623
22.937 91.624
22.945 91.623
22.95 91.625
22.955 91.624
22.955 91.63
22.96 91.633
22.968 91.636
22.975 91.642
22.977 91.645
22.976 91.648
22.972 91.653
22.971 91.659
22.974 91.666
22.974 91.678
22.976 91.685
22.983 91.693
22.984 91.698
22.982 91.706
22.983 91.712
22.986 91.718
22.993 91.724
23.005 91.737
23.012 91.746
23.024 91.758
23.026 91.763
23.027 91.772
23.026 91.773
23.025 91.775
23.03 91.779
23.039 91.781
23.047 91.78
23.06 91.774
23.064 91.776
23.068 91.78
23.069 91.786
23.068 91.789
23.061 91.797
23.062 91.803
23.065 91.81
23.068 91.813
23.074 91.815
23.077 91.816
23.082 91.821
23.091 91.828
23.094 91.828
23.097 91.822
23.098 91.815
23.101 91.814
23.108 91.816
23.12 91.812
23.126 91.81
23.137 91.808
23.143 91.809
23.159 91.804
23.167 91.805
23.197 91.792
23.2 91.788
23.207 91.789
23.24 91.78
23.242 91.773
23.246 91.772
23.257 91.776
23.263 91.773
23.268 91.77
23.272 91.774
23.29 91.778
23.308 91.786
23.311 91.79
23.319 91.797
23.338 91.803
23.343 91.807
23.35 91.814
23.364 91.828
23.4 91.842
23.403 91.847
23.404 91.856
23.412 91.868
23.425 91.883
23.432 91.895
23.435 91.902
23.436 91.916
23.431 91.926
23.43 91.936
23.435 91.939
23.443 91.939
23.463 91.942
23.469 91.951
23.478 91.961
23.487 91.967
23.504 91.966
23.512 91.961
23.54 91.96
23.555 91.96
23.578 91.953
23.592 91.951
23.595 91.949
23.6 91.948
23.654 91.939
23.68 91.938
23.686 91.941
23.692 91.946
23.705 91.948
23.719 91.949
23.726 91.954
23.728 91.964
23.726 91.974
23.722 91.98
23.701 91.985
23.694 91.989
23.676 92.004
23.661 92.016
23.645 92.022
23.641 92.027
23.639 92.03
23.642 92.039
23.64 92.059
23.645 92.074
23.651 92.077
23.674 92.085
23.677 92.088
23.678 92.098
23.684 92.102
23.688 92.109
23.693 92.115
23.704 92.123
23.715 92.132
23.717 92.136
23.727 92.144
23.73 92.155
23.734 92.16
23.735 92.169
23.732 92.178
23.725 92.189
23.72 92.193
23.711 92.196
23.703 92.2
23.696 92.211
23.69 92.21
23.684 92.211
23.671 92.209
23.654 92.209
23.65 92.213
23.652 92.221
23.659 92.226
23.67 92.231
23.678 92.23
23.693 92.237
23.713 92.24
23.718 92.243
23.721 92.246
23.723 92.255
23.718 92.267
23.713 92.274
23.698 92.288
23.694 92.29
23.692 92.289
23.688 92.288
23.675 92.287
23.662 92.283
23.655 92.278
23.641 92.273
23.635 92.275
23.631 92.276
23.627 92.273
23.625 92.275
23.626 92.285
23.62 92.289
23.609 92.282
23.601 92.282
23.595 92.282
23.591 92.284
23.59 92.288
23.59 92.291
23.585 92.295
23.584 92.3
23.58 92.302
23.561 92.307
23.53 92.31
23.518 92.316
23.51 92.316
23.501 92.316
23.466 92.321
23.45 92.329
23.448 92.327
23.44 92.326
23.431 92.328
23.423 92.327
23.424 92.332
23.426 92.336
23.427 92.339
23.425 92.341
23.413 92.344
23.405 92.352
23.397 92.35
23.389 92.353
23.385 92.355
23.379 92.353
23.378 92.354
23.376 92.359
23.369 92.359
23.367 92.361
23.367 92.367
23.364 92.37
23.348 92.377
23.339 92.374
23.33 92.369
23.326 92.367
23.323 92.367
23.32 92.37
23.317 92.375
23.305 92.381
23.3 92.381
23.288 92.379
23.283 92.382
23.276 92.386
23.271 92.386
23.265 92.386
23.266 92.377
23.263 92.369
23.256 92.368
23.252 92.363
23.246 92.364
23.242 92.362
23.24 92.352
23.238 92.35
23.234 92.348
23.218 92.354
23.202 92.353
23.191 92.35
23.183 92.352
23.179 92.356
23.163 92.358
23.149 92.359
23.137 92.356
23.131 92.357
23.125 92.363
23.12 92.364
23.11 92.361
23.105 92.359
23.104 92.358
23.098 92.362
23.086 92.374
23.073 92.383
23.051 92.388
23.046 92.389
23.038 92.387
23.029 92.382
23.01 92.379
22.993 92.382
22.976 92.378
22.967 92.374
22.94 92.372
22.929 92.375
22.927 92.376
22.927 92.377
22.926 92.384
22.925 92.393
22.921 92.397
22.916 92.395
22.912 92.397
22.912 92.403
22.912 92.409
22.909 92.416
22.893 92.427
22.888 92.433
22.887 92.441
22.883 92.444
22.876 92.446
22.871 92.451
22.86 92.453
22.856 92.459
22.853 92.46
22.845 92.461
22.841 92.459
22.838 92.451
22.834 92.45
22.831 92.451
22.826 92.456
22.819 92.456
22.811 92.46
22.803 92.463
22.776 92.47
22.76 92.474
22.745 92.475
22.744 92.477
22.741 92.484
22.736 92.492
22.735 92.504
22.73 92.509
22.722 92.511
22.716 92.516
22.708 92.517
22.689 92.52
22.667 92.526
22.655 92.528
22.649 92.529
22.646 92.525
22.635 92.526
22.632 92.528
22.63 92.531
22.627 92.531
22.618 92.524
22.609 92.53
22.603 92.531
22.595 92.533
22.584 92.536
22.582 92.535
22.575 92.537
22.569 92.536
22.567 92.53
22.565 92.528
22.558 92.525
22.554 92.525
22.541 92.533
22.525 92.542
22.517 92.546
22.501 92.549
22.491 92.545
22.483 92.544
22.465 92.545
22.452 92.55
22.439 92.554
22.427 92.553
22.416 92.555
22.385 92.56
22.377 92.562
22.366 92.565
22.345 92.572
22.327 92.578
22.313 92.58
22.305 92.58
22.298 92.581
22.294 92.581
22.289 92.577
22.287 92.576
22.279 92.579
22.271 92.577
22.267 92.578
22.258 92.585
22.251 92.589
22.243 92.59
22.224 92.589
22.216 92.59
22.195 92.593
22.177 92.599
22.17 92.599
22.168 92.605
22.164 92.609
22.132 92.606
22.126 92.604
22.123 92.597
22.127 92.59
22.137 92.584
22.133 92.567
22.129 92.564
22.124 92.568
22.118 92.569
22.101 92.579
22.081 92.587
22.058 92.596
22.049 92.596
22.041 92.592
22.032 92.595
22.021 92.6
22.015 92.6
22.008 92.604
21.992 92.607
21.983 92.609
21.976 92.609
21.969 92.609
21.962 92.612
21.94 92.612
21.908 92.622
21.885 92.627
21.87 92.626
21.849 92.614
21.837 92.612
21.825 92.618
21.82 92.617
21.817 92.613
21.806 92.609
21.786 92.609
21.762 92.608
21.747 92.607
21.743 92.604
21.729 92.603
21.714 92.603
21.699 92.601
21.68 92.604
21.659 92.603
21.64 92.606
21.59 92.609
21.546 92.615
21.53 92.618
21.496 92.619
21.449 92.628
21.411 92.64
21.398 92.642
21.358 92.648
21.32 92.659
21.314 92.661
21.302 92.672
21.291 92.674
21.284 92.669
21.279 92.662
21.272 92.642
21.264 92.63
21.25 92.619
21.242 92.614
21.242 92.601
21.245 92.594
21.256 92.587
21.279 92.584
21.3 92.576
21.316 92.572
21.33 92.569
21.345 92.564
21.368 92.561
21.376 92.555
21.377 92.551
21.376 92.544
21.367 92.528
21.368 92.519
21.369 92.515
21.366 92.508
21.353 92.504
21.35 92.495
21.352 92.489
21.349 92.475
21.353 92.469
21.356 92.467
21.36 92.457
21.361 92.446
21.363 92.438
21.37 92.43
21.379 92.424
21.389 92.424
21.403 92.427
21.417 92.426
21.428 92.422
21.436 92.415
21.442 92.407
21.452 92.402
21.47 92.389
21.473 92.38
21.474 92.378
21.472 92.367
21.467 92.357
21.458 92.349
21.454 92.342
21.437 92.333
21.429 92.33
21.417 92.32
21.416 92.314
21.413 92.31
21.413 92.304
21.416 92.301
21.417 92.294
21.424 92.285
21.423 92.27
21.419 92.266
21.399 92.264
21.394 92.268
21.388 92.255
21.371 92.254
21.363 92.254
21.358 92.256
21.354 92.25
21.35 92.234
21.344 92.221
21.339 92.214
21.323 92.199
21.317 92.197
21.29 92.204
21.268 92.215
21.26 92.218
21.254 92.218
21.251 92.217
21.244 92.212
21.231 92.213
21.223 92.212
21.212 92.205
21.2 92.203
21.19 92.197
21.183 92.191
21.177 92.189
21.155 92.198
21.127 92.195
21.125 92.196
21.12 92.198
21.115 92.203
21.101 92.214
21.094 92.227
21.087 92.235
