segment Yemen
12.396 54.206
12.39 54.191
12.385 54.186
12.376 54.18
12.37 54.167
12.354 54.144
12.349 54.134
12.349 54.123
12.353 54.115
12.355 54.097
12.355 54.094
12.354 54.073
12.35 54.032
12.343 54.018
12.332 54.013
12.328 53.999
12.334 53.969
12.334 53.955
12.334 53.952
12.332 53.946
12.332 53.934
12.329 53.921
12.328 53.902
12.323 53.88
12.309 53.829
12.311 53.815
12.307 53.795
12.303 53.777
12.3 53.752
12.301 53.727
12.303 53.712
12.305 53.669
12.305 53.668
12.311 53.639
12.322 53.609
12.33 53.594
12.339 53.558
12.341 53.546
12.341 53.545
12.343 53.542
12.348 53.541
12.357 53.544
12.361 53.542
12.379 53.524
12.396 53.51
12.419 53.48
12.437 53.47
12.438 53.47
12.442 53.465
12.46 53.419
12.478 53.393
12.481 53.385
12.496 53.363
12.498 53.359
12.531 53.306
12.537 53.303
12.544 53.308
12.547 53.313
12.547 53.319
12.539 53.329
12.539 53.337
12.543 53.346
12.545 53.354
12.549 53.371
12.553 53.381
12.56 53.389
12.572 53.396
12.58 53.397
12.605 53.396
12.613 53.398
12.623 53.403
12.63 53.399
12.635 53.399
12.642 53.401
12.643 53.4
12.65 53.395
12.656 53.396
12.667 53.414
12.672 53.432
12.671 53.458
12.673 53.463
12.678 53.468
12.688 53.474
12.689 53.479
12.692 53.478
12.699 53.482
12.702 53.486
12.703 53.501
12.711 53.512
12.713 53.516
12.714 53.541
12.714 53.547
12.713 53.552
12.705 53.562
12.701 53.57
12.703 53.585
12.699 53.6
12.7 53.61
12.703 53.625
12.703 53.636
12.705 53.642
12.704 53.646
12.692 53.66
12.68 53.676
12.638 53.74
12.619 53.765
12.616 53.77
12.611 53.768
12.608 53.768
12.608 53.771
12.614 53.777
12.613 53.781
12.603 53.804
12.599 53.823
12.6 53.835
12.604 53.846
12.606 53.848
12.624 53.865
12.634 53.868
12.637 53.872
12.645 53.875
12.649 53.89
12.654 53.905
12.654 53.909
12.641 53.933
12.642 53.945
12.64 53.951
12.645 53.961
12.647 53.967
12.651 53.971
12.65 53.997
12.653 54.007
12.654 54.009
12.663 54.03
12.674 54.066
12.681 54.077
12.685 54.08
12.699 54.082
12.702 54.086
12.702 54.104
12.698 54.115
12.697 54.116
12.681 54.135
12.669 54.155
12.667 54.16
12.671 54.186
12.676 54.193
12.664 54.198
12.662 54.203
12.656 54.205
12.65 54.214
12.647 54.216
12.642 54.22
segment Yemen
12.157 52.286
12.163 52.274
12.166 52.241
12.168 52.237
12.174 52.231
12.186 52.226
12.19 52.222
12.188 52.204
12.192 52.193
12.192 52.181
12.194 52.177
12.193 52.163
12.195 52.155
12.197 52.151
12.207 52.145
12.212 52.133
12.21 52.123
12.214 52.1
12.222 52.088
12.231 52.066
12.235 52.063
12.239 52.067
12.242 52.063
12.244 52.064
12.249 52.076
12.25 52.085
12.246 52.098
12.249 52.11
12.247 52.115
12.247 52.129
12.236 52.154
12.226 52.167
12.225 52.168
12.225 52.178
12.217 52.189
12.212 52.201
12.211 52.218
12.212 52.248
12.21 52.264
12.213 52.276
12.209 52.29
12.209 52.292
12.2 52.311
12.198 52.322
12.201 52.331
12.197 52.365
12.199 52.375
12.205 52.386
12.206 52.391
12.204 52.392
12.202 52.391
12.194 52.376
12.192 52.372
12.186 52.367
12.18 52.365
12.176 52.366
12.169 52.373
12.166 52.374
12.162 52.371
12.166 52.357
12.166 52.353
12.16 52.336
12.159 52.326
12.16 52.31
12.158 52.302
12.157 52.286
segment Yemen
12.129 53.065
12.133 53.059
12.134 53.057
12.136 53.053
12.141 53.029
12.154 53.008
12.156 52.993
12.16 52.982
12.163 52.98
12.166 52.982
12.166 52.99
12.17 53.002
12.177 53.018
12.177 53.021
12.177 53.027
12.18 53.041
12.177 53.053
12.179 53.068
12.17 53.082
12.164 53.088
12.16 53.091
12.155 53.09
12.143 53.092
12.138 53.091
12.136 53.088
12.13 53.069
12.129 53.065
segment Yemen
12.131 53.274
12.128 53.283
12.122 53.289
12.121 53.292
12.121 53.297
12.121 53.299
12.117 53.3
12.113 53.298
12.111 53.294
12.112 53.289
12.114 53.278
12.114 53.275
12.113 53.271
12.113 53.259
12.115 53.256
12.118 53.255
12.12 53.25
12.121 53.248
12.122 53.247
12.125 53.248
12.127 53.251
12.126 53.254
12.127 53.257
12.129 53.261
12.13 53.265
12.131 53.267
12.131 53.274
segment Yemen
17.445 48
17.471 48.024
17.561 48.107
17.564 48.108
17.566 48.11
17.579 48.123
17.66 48.198
17.697 48.231
17.7 48.233
17.7 48.235
17.731 48.263
17.734 48.264
17.735 48.267
17.754 48.284
17.801 48.327
17.848 48.372
17.942 48.46
18.019 48.533
18.036 48.549
18.13 48.637
18.224 48.725
18.249 48.748
18.269 48.765
18.286 48.834
18.288 48.841
18.315 48.962
18.318 48.974
18.337 49.047
18.336 49.047
18.34 49.065
18.342 49.071
18.346 49.089
18.361 49.158
18.363 49.161
18.367 49.181
18.369 49.184
18.37 49.194
18.374 49.207
18.376 49.217
18.388 49.274
18.391 49.278
18.406 49.346
18.426 49.434
18.428 49.44
18.436 49.474
18.453 49.55
18.455 49.554
18.458 49.572
18.46 49.575
18.463 49.594
18.465 49.603
18.495 49.731
18.526 49.86
18.531 49.882
18.554 49.989
18.557 50
18.559 50.009
18.569 50.053
18.572 50.06
18.574 50.076
18.584 50.117
18.603 50.198
18.614 50.246
18.643 50.375
18.673 50.504
18.702 50.633
18.73 50.762
18.734 50.777
18.733 50.78
18.748 50.838
18.76 50.891
18.789 51.02
18.817 51.149
18.834 51.225
18.846 51.279
18.866 51.376
18.873 51.408
18.901 51.538
18.93 51.667
18.958 51.797
18.986 51.926
19.001 51.996
19.001 51.997
19.002 52.001
18.579 51.882
17.335 52.748
17.08 52.713
16.646 53.078
16.644 53.072
16.64 53.058
16.638 53.047
16.636 53.039
16.633 53.024
16.618 52.952
16.615 52.945
16.605 52.934
16.602 52.928
16.602 52.924
16.6 52.912
16.599 52.91
16.594 52.901
16.593 52.892
16.581 52.86
16.571 52.838
16.565 52.832
16.56 52.821
16.557 52.811
16.554 52.797
16.543 52.768
16.537 52.748
16.523 52.718
16.516 52.703
16.512 52.692
16.484 52.602
16.472 52.572
16.451 52.516
16.423 52.458
16.422 52.452
16.361 52.374
16.342 52.355
16.336 52.35
16.324 52.337
16.322 52.336
16.301 52.317
16.294 52.313
16.281 52.303
16.278 52.299
16.274 52.295
16.271 52.292
16.258 52.278
16.232 52.26
16.209 52.241
16.205 52.238
16.201 52.235
16.198 52.234
16.162 52.219
16.15 52.211
16.133 52.204
16.12 52.201
16.096 52.201
16.081 52.197
16.057 52.182
16.048 52.176
16.044 52.176
16.017 52.164
16.014 52.162
16.006 52.158
16 52.162
15.988 52.156
15.965 52.149
15.951 52.147
15.935 52.151
15.932 52.153
15.93 52.159
15.923 52.161
15.921 52.162
15.921 52.168
15.915 52.17
15.912 52.17
15.901 52.164
15.897 52.163
15.889 52.164
15.869 52.16
15.853 52.162
15.848 52.164
15.843 52.168
15.838 52.177
15.837 52.185
15.835 52.189
15.815 52.203
15.813 52.201
15.813 52.2
15.814 52.195
15.811 52.194
15.797 52.2
15.788 52.197
15.784 52.198
15.78 52.203
15.778 52.203
15.775 52.196
15.769 52.191
15.76 52.19
15.706 52.202
15.705 52.202
15.661 52.215
15.655 52.218
15.641 52.222
15.635 52.227
15.628 52.225
15.623 52.216
15.603 52.199
15.601 52.195
15.601 52.193
15.602 52.184
15.601 52.178
15.587 52.139
15.586 52.133
15.585 52.129
15.578 52.108
15.568 52.085
15.555 52.048
15.551 52.03
15.542 52.011
15.54 52.008
15.537 51.994
15.532 51.982
15.529 51.967
15.523 51.954
15.513 51.94
15.511 51.927
15.494 51.892
15.491 51.888
15.483 51.868
15.475 51.865
15.475 51.86
15.468 51.851
15.463 51.849
15.461 51.85
15.458 51.858
15.451 51.852
15.447 51.852
15.443 51.854
15.442 51.86
15.44 51.862
15.437 51.851
15.438 51.844
15.449 51.833
15.452 51.829
15.453 51.824
15.437 51.762
15.417 51.711
15.416 51.708
15.402 51.677
15.393 51.664
15.385 51.649
15.378 51.644
15.368 51.638
15.362 51.638
15.354 51.64
15.349 51.644
15.345 51.65
15.343 51.659
15.335 51.667
15.331 51.66
15.328 51.638
15.325 51.633
15.325 51.626
15.326 51.62
15.324 51.611
15.329 51.601
15.329 51.593
15.323 51.579
15.322 51.568
15.314 51.548
15.312 51.53
15.303 51.508
15.297 51.494
15.295 51.48
15.288 51.473
15.281 51.47
15.277 51.459
15.27 51.456
15.269 51.455
15.275 51.45
15.268 51.443
15.266 51.43
15.262 51.421
15.258 51.42
15.252 51.422
15.251 51.422
15.255 51.411
15.255 51.406
15.253 51.402
15.242 51.372
15.237 51.369
15.232 51.369
15.23 51.366
15.231 51.356
15.23 51.351
15.234 51.343
15.233 51.339
15.229 51.332
15.225 51.312
15.217 51.288
15.215 51.284
15.201 51.253
15.198 51.239
15.189 51.224
15.189 51.216
15.19 51.212
15.183 51.19
15.174 51.17
15.166 51.137
15.167 51.134
15.164 51.132
15.163 51.128
15.162 51.11
15.149 51.058
15.144 51.032
15.141 51.016
15.137 51.003
15.136 50.987
15.114 50.919
15.114 50.907
15.112 50.893
15.085 50.814
15.087 50.799
15.083 50.786
15.07 50.734
15.065 50.72
15.067 50.712
15.068 50.703
15.058 50.667
15.057 50.661
15.056 50.647
15.054 50.637
15.055 50.618
15.05 50.603
15.049 50.588
15.042 50.566
15.04 50.547
15.033 50.52
15.031 50.511
15.025 50.49
15.019 50.47
15.015 50.464
15.004 50.452
15.002 50.446
15.001 50.435
15 50.433
14.998 50.43
14.98 50.405
14.966 50.379
14.965 50.378
14.955 50.371
14.951 50.361
14.951 50.357
14.94 50.348
14.937 50.344
14.931 50.342
14.924 50.333
14.916 50.329
14.916 50.324
14.92 50.319
14.921 50.314
14.922 50.301
14.919 50.291
14.916 50.285
14.905 50.263
14.892 50.242
14.882 50.224
14.862 50.188
14.858 50.184
14.847 50.181
14.841 50.176
14.842 50.17
14.839 50.159
14.841 50.148
14.845 50.14
14.845 50.134
14.843 50.108
14.825 50.059
14.824 50.057
14.818 50.032
14.814 50.026
14.816 50.024
14.827 50.024
14.836 50.021
14.841 50.016
14.847 50.005
14.846 50
14.846 49.982
14.843 49.968
14.843 49.954
14.847 49.941
14.846 49.935
14.84 49.923
14.835 49.908
14.828 49.898
14.81 49.853
14.806 49.84
14.803 49.837
14.803 49.835
14.801 49.816
14.795 49.8
14.786 49.783
14.777 49.747
14.773 49.711
14.773 49.71
14.77 49.7
14.756 49.644
14.755 49.634
14.733 49.572
14.721 49.553
14.713 49.535
14.703 49.521
14.7 49.512
14.694 49.503
14.689 49.498
14.687 49.492
14.684 49.479
14.678 49.467
14.674 49.452
14.668 49.443
14.663 49.425
14.66 49.421
14.661 49.417
14.657 49.416
14.655 49.41
14.648 49.381
14.631 49.345
14.621 49.323
14.618 49.31
14.604 49.294
14.599 49.284
14.595 49.272
14.588 49.266
14.587 49.257
14.572 49.233
14.557 49.212
14.548 49.191
14.541 49.181
14.536 49.175
14.523 49.171
14.516 49.172
14.51 49.173
14.504 49.173
14.502 49.17
14.502 49.165
14.51 49.157
14.512 49.151
14.518 49.149
14.516 49.142
14.518 49.137
14.523 49.129
14.525 49.115
14.52 49.102
14.512 49.092
14.505 49.082
14.47 49.05
14.464 49.045
14.435 49.025
14.414 49.016
14.406 49.008
14.398 49.004
14.384 49.004
14.378 48.997
14.372 48.996
14.366 48.997
14.354 48.992
14.351 48.993
14.341 49.003
14.336 49.005
14.326 49.002
14.318 48.998
14.313 48.992
14.308 48.981
14.309 48.965
14.306 48.957
14.303 48.953
14.296 48.946
14.295 48.941
14.292 48.94
14.287 48.942
14.283 48.937
14.268 48.933
14.266 48.934
14.258 48.922
14.249 48.917
14.254 48.913
14.254 48.91
14.248 48.902
14.243 48.886
14.24 48.883
14.24 48.879
14.237 48.877
14.231 48.875
14.213 48.878
14.2 48.865
14.192 48.86
14.183 48.855
14.16 48.836
14.149 48.817
14.135 48.808
14.129 48.8
14.121 48.779
14.115 48.775
14.112 48.768
14.103 48.76
14.092 48.752
14.085 48.749
14.076 48.742
14.046 48.702
14.039 48.686
14.039 48.678
14.044 48.642
14.043 48.61
14.04 48.594
14.038 48.555
14.036 48.549
14.03 48.528
14.023 48.516
14.001 48.496
14.004 48.481
14.003 48.476
13.999 48.47
13.988 48.463
13.988 48.458
13.995 48.454
14.004 48.454
14.01 48.454
14.013 48.451
14.018 48.446
14.02 48.44
14.019 48.436
14.012 48.435
14.01 48.433
14.013 48.421
14.017 48.414
14.011 48.393
14.011 48.387
14.015 48.375
14.013 48.363
14.018 48.348
14.018 48.338
14.017 48.336
14.016 48.331
14.013 48.329
14.005 48.334
14 48.333
14.002 48.325
14.001 48.316
13.994 48.302
13.984 48.298
13.983 48.295
13.991 48.289
13.993 48.284
13.993 48.28
13.985 48.275
13.988 48.263
13.987 48.261
13.982 48.259
13.976 48.262
13.974 48.26
13.974 48.258
13.974 48.254
13.982 48.249
13.984 48.237
13.989 48.231
13.99 48.229
13.985 48.225
13.974 48.221
13.972 48.213
13.975 48.193
13.981 48.186
13.989 48.184
14.006 48.165
14.008 48.162
14.02 48.142
14.026 48.122
14.033 48.106
14.048 48.067
14.051 48.041
14.052 48.035
14.05 47.998
14.044 47.968
14.034 47.952
14.029 47.94
14.016 47.921
14.006 47.907
13.996 47.898
13.958 47.858
13.935 47.823
13.922 47.803
13.917 47.78
13.915 47.74
13.906 47.71
13.901 47.701
13.886 47.674
13.872 47.66
13.867 47.65
13.866 47.643
13.863 47.638
13.843 47.622
13.838 47.614
