segment Mongolia
44.284 111.451
44.28 111.458
44.269 111.466
44.245 111.481
44.227 111.489
44.202 111.5
44.199 111.503
44.194 111.503
44.189 111.506
44.178 111.517
44.156 111.535
44.117 111.57
44.103 111.583
44.063 111.632
44.058 111.641
44.035 111.67
44.032 111.684
44.032 111.692
44.027 111.745
44.016 111.806
43.994 111.851
43.992 111.853
43.987 111.858
43.981 111.859
43.963 111.881
43.931 111.911
43.887 111.946
43.872 111.958
43.86 111.97
43.854 111.973
43.829 111.996
43.823 111.998
43.82 112.003
43.806 112.012
43.791 112.016
43.776 112.008
43.771 112.005
43.765 111.998
43.753 111.989
43.739 111.971
43.731 111.954
43.73 111.948
43.72 111.916
43.711 111.869
43.702 111.827
43.701 111.811
43.699 111.804
43.7 111.788
43.702 111.781
43.7 111.773
43.695 111.761
43.691 111.754
43.68 111.746
43.656 111.735
43.649 111.732
43.618 111.712
43.605 111.693
43.58 111.665
43.552 111.644
43.551 111.644
43.542 111.638
43.525 111.625
43.512 111.612
43.489 111.574
43.484 111.557
43.478 111.528
43.478 111.516
43.476 111.472
43.473 111.438
43.471 111.424
43.467 111.412
43.441 111.371
43.436 111.36
43.434 111.353
43.426 111.329
43.423 111.314
43.42 111.311
43.407 111.239
43.398 111.202
43.396 111.197
43.358 111.081
43.343 111.047
43.34 111.043
43.321 111.016
43.289 110.977
43.269 110.959
43.244 110.933
43.205 110.893
43.196 110.887
43.167 110.853
43.144 110.829
43.13 110.814
43.108 110.785
43.094 110.758
43.087 110.75
43.058 110.705
43.056 110.702
43.052 110.699
43.023 110.698
42.986 110.664
42.959 110.648
42.946 110.637
42.941 110.633
42.93 110.622
42.92 110.602
42.877 110.496
42.866 110.466
42.859 110.452
42.814 110.45
42.802 110.451
42.797 110.449
42.781 110.433
42.776 110.426
42.769 110.417
42.74 110.36
42.736 110.349
42.726 110.334
42.704 110.287
42.659 110.192
42.641 110.156
