segment Iraq
30.725 42.977
30.769 42.876
30.825 42.745
30.881 42.614
30.937 42.483
30.993 42.352
31.048 42.221
31.082 42.139
31.619 41
32 40.11
32.043 40.03
32.045 40.025
32.051 40
32.08 39.889
32.116 39.747
32.149 39.604
32.181 39.461
32.184 39.448
32.217 39.319
32.335 39.266
32.452 39.214
32.57 39.161
32.58 39.156
32.688 39.11
32.806 39.058
32.881 39.026
32.925 39.006
33.042 38.953
33.16 38.9
33.278 38.847
33.372 38.804
33.399 38.858
33.463 38.987
33.527 39.117
33.59 39.247
33.654 39.377
33.7 39.472
33.717 39.508
33.78 39.638
33.843 39.769
33.906 39.901
33.953 40
33.968 40.032
34.03 40.164
34.093 40.296
34.155 40.428
34.216 40.56
34.237 40.604
34.277 40.693
34.32 40.792
34.336 40.827
34.397 40.961
34.42 41.012
34.44 41.017
34.443 41.019
34.447 41.027
34.452 41.033
34.488 41.051
34.604 41.109
34.664 41.139
34.715 41.182
34.777 41.234
34.785 41.238
34.827 41.233
34.86 41.23
34.938 41.23
34.952 41.229
35 41.226
35.078 41.221
35.132 41.218
35.204 41.225
35.248 41.233
35.285 41.242
35.328 41.256
35.385 41.275
35.452 41.28
35.486 41.283
35.563 41.342
35.63 41.394
35.677 41.391
35.803 41.383
35.835 41.381
35.921 41.333
36.035 41.269
36.055 41.258
36.092 41.267
36.159 41.277
36.264 41.292
36.284 41.292
36.356 41.295
36.403 41.327
36.513 41.404
36.523 41.411
36.544 41.551
36.567 41.704
36.567 41.707
36.593 41.828
36.608 41.85
36.67 41.938
36.695 41.963
36.723 41.991
36.764 42.034
36.79 42.065
36.814 42.092
36.861 42.137
36.884 42.169
36.89 42.177
36.958 42.249
36.978 42.274
37.067 42.385
37.074 42.385
37.082 42.381
37.087 42.374
37.089 42.366
37.091 42.365
37.095 42.362
37.109 42.364
37.118 42.375
37.118 42.384
37.112 42.396
37.112 42.404
37.116 42.412
37.12 42.427
37.124 42.435
37.127 42.445
37.128 42.451
37.133 42.46
37.137 42.471
37.136 42.484
37.134 42.494
37.133 42.508
37.134 42.512
37.145 42.527
37.149 42.536
37.148 42.564
37.145 42.581
37.147 42.592
37.17 42.596
37.179 42.602
37.191 42.616
37.197 42.622
37.208 42.624
37.214 42.627
37.223 42.642
37.232 42.653
37.241 42.658
37.255 42.662
37.262 42.665
37.27 42.674
37.271 42.686
37.281 42.693
37.285 42.701
37.291 42.703
37.302 42.699
37.305 42.699
37.308 42.705
37.31 42.727
37.313 42.735
segment Iraq
30.011 47.97
30.015 47.966
30.023 47.961
30.027 47.961
30.029 47.959
30.04 47.96
30.04 47.965
30.032 47.969
30.021 47.969
30.014 47.972
30.011 47.97
