"Fault Model FM3.2",,,,,,,,,,,,,,,,,,,,
FID,Minisection,Name,ELon1,NLat1,ELon2,NLat2,CREEPS?,"ABM slip rate","ABM rake","NeoKinema slip rate","Neokinema rake","NeoKinema dip","Zeng slip rate","Zeng rake","Geologic rate (mm/yr)","Geologic lower bound (mm/yr)","Geologic upper bound (mm/yr)","Geo rake","Geo dip","Geo dip dir"
44,44.15,"White Mountains",-118.41131,37.78391,-118.429054,37.831493,F,0.64468,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.16,"White Mountains",-118.429054,37.831493,-118.413475,37.869923,F,0.60946,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.17,"White Mountains",-118.413475,37.869923,-118.3857,37.900913,F,0.58562,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.18,"White Mountains",-118.3857,37.900913,-118.34589,37.942974,F,0.57754,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.19,"White Mountains",-118.34589,37.942974,-118.337555,37.96437,F,0.60409,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
45,45.01,"Death Valley (Fish Lake Valley",-117.66754,37.301937,-117.69734,37.32084,F,1.9286,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.02,"Death Valley (Fish Lake Valley",-117.69734,37.32084,-117.76252,37.347458,F,1.5486,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.03,"Death Valley (Fish Lake Valley",-117.76252,37.347458,-117.80731,37.367435,F,1.6294,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.04,"Death Valley (Fish Lake Valley",-117.80731,37.367435,-117.96381,37.52333,F,2.2496,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.05,"Death Valley (Fish Lake Valley",-117.96381,37.52333,-118.03401,37.589016,F,6.1215,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.06,"Death Valley (Fish Lake Valley",-118.03401,37.589016,-118.05708,37.60012,F,5.2446,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.07,"Death Valley (Fish Lake Valley",-118.05708,37.60012,-118.07466,37.61347,F,5.9183,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.08,"Death Valley (Fish Lake Valley",-118.07466,37.61347,-118.09322,37.661434,F,6.3196,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.09,"Death Valley (Fish Lake Valley",-118.09322,37.661434,-118.12399,37.71606,F,6.3677,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.1,"Death Valley (Fish Lake Valley",-118.12399,37.71606,-118.15497,37.75171,F,6.258,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
45,45.11,"Death Valley (Fish Lake Valley",-118.15497,37.75171,-118.19231,37.82865,F,6.3626,180,2.38,-174.2,55,2.9727,-160.9555,3,2,4,-150,90,51.86
46,46.01,"Death Valley (No)",-116.88108,36.53986,-117.08961,36.69773,F,2.0825,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
46,46.02,"Death Valley (No)",-117.08961,36.69773,-117.16017,36.75781,F,2.2427,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
46,46.03,"Death Valley (No)",-117.16017,36.75781,-117.2979,36.92502,F,2.3451,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
46,46.04,"Death Valley (No)",-117.2979,36.92502,-117.32351,36.9574,F,2.3466,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
46,46.05,"Death Valley (No)",-117.32351,36.9574,-117.39842,37.03182,F,2.2528,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
46,46.06,"Death Valley (No)",-117.39842,37.03182,-117.50039,37.12219,F,2.1709,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
46,46.07,"Death Valley (No)",-117.50039,37.12219,-117.53905,37.17632,F,2.4102,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
46,46.08,"Death Valley (No)",-117.53905,37.17632,-117.653,37.2941,F,2.2689,180,3.089,180,90,5.0369,174.0744,4.5,3,6,180,90,50.94
47,47.01,"Owl Lake",-116.87723,35.60639,-116.64142,35.72774,F,2.135,0,1.979,0,90,2.2357,-18.516,2,1,3,0,90,147.58
48,48.01,"Garlock (East)",-116.878944,35.598328,-116.81796,35.59671,F,0.68053,0,1.169,0,90,5.25,0,3,1,5,0,90,180.97
48,48.02,"Garlock (East)",-116.81796,35.59671,-116.59081,35.59358,F,0.68235,0,1.169,0,90,5.25,0,3,1,5,0,90,180.97
48,48.03,"Garlock (East)",-116.59081,35.59358,-116.46697,35.586403,F,0.67302,0,1.169,0,90,5.25,0,3,1,5,0,90,180.97
48,48.04,"Garlock (East)",-116.46697,35.586403,-116.37972,35.5904,F,0.67199,0,1.169,0,90,5.25,0,3,1,5,0,90,180.97
49,49.01,"Garlock (West)",-118.918335,34.823616,-118.87123,34.82844,F,6.0645,0,5.677,0,90,1.62,0,6,5,11,0,90,148.68
49,49.02,"Garlock (West)",-118.87123,34.82844,-118.82281,34.849236,F,4.1889,0,5.677,0,90,1.62,0,6,5,11,0,90,148.68
49,49.03,"Garlock (West)",-118.82281,34.849236,-118.770805,34.88225,F,4.2705,0,5.677,0,90,1.62,0,6,5,11,0,90,148.68
49,49.04,"Garlock (West)",-118.770805,34.88225,-118.66699,34.931374,F,4.2064,0,5.677,0,90,1.62,0,6,5,11,0,90,148.68
49,49.05,"Garlock (West)",-118.66699,34.931374,-118.474655,34.99577,F,4.0364,0,5.677,0,90,1.62,0,6,5,11,0,90,148.68
49,49.06,"Garlock (West)",-118.474655,34.99577,-118.3754,35.0477,F,4.344,0,5.677,0,90,1.62,0,6,5,11,0,90,148.68
49,49.07,"Garlock (West)",-118.3754,35.0477,-118.332596,35.078808,F,4.5338,0,5.677,0,90,1.62,0,7.6,5,11,0,90,148.68
49,49.08,"Garlock (West)",-118.332596,35.078808,-118.119125,35.186466,F,4.314,0,5.677,0,90,1.62,0,7.6,5,11,0,90,148.68
49,49.09,"Garlock (West)",-118.119125,35.186466,-118.06134,35.22325,F,4.5428,0,5.677,0,90,1.62,0,7.6,5,11,0,90,148.68
49,49.1,"Garlock (West)",-118.06134,35.22325,-118.010315,35.271294,F,4.9166,0,5.677,0,90,1.62,0,7.6,5,11,0,90,148.68
50,50.01,"Hunter Mountain-Saline Valley",-117.3955,36.4467,-117.43249,36.475266,F,3.887,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
50,50.02,"Hunter Mountain-Saline Valley",-117.43249,36.475266,-117.54011,36.523262,F,3.7022,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
50,50.03,"Hunter Mountain-Saline Valley",-117.54011,36.523262,-117.62083,36.56991,F,3.8557,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
50,50.04,"Hunter Mountain-Saline Valley",-117.62083,36.56991,-117.68136,36.617233,F,3.9787,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
50,50.05,"Hunter Mountain-Saline Valley",-117.68136,36.617233,-117.82178,36.6605,F,3.4468,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
50,50.06,"Hunter Mountain-Saline Valley",-117.82178,36.6605,-117.84952,36.705116,F,3.951,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
50,50.07,"Hunter Mountain-Saline Valley",-117.84952,36.705116,-117.87559,36.754467,F,3.8938,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
50,50.08,"Hunter Mountain-Saline Valley",-117.87559,36.754467,-117.952095,36.924156,F,3.8311,180,1.942,-169.2,55,2.5523,-164.548,3.5,1,5,-150,90,47.09
