segment Madagascar
-12.372 49.444
-12.376 49.446
-12.373 49.453
-12.367 49.454
-12.363 49.457
-12.36 49.459
-12.345 49.48
-12.347 49.483
-12.349 49.488
-12.348 49.491
-12.349 49.497
-12.352 49.499
-12.351 49.504
-12.35 49.508
-12.35 49.514
-12.354 49.519
-12.359 49.52
-12.37 49.53
-12.378 49.535
-12.384 49.541
-12.393 49.539
-12.404 49.534
-12.407 49.535
-12.409 49.541
-12.412 49.543
-12.421 49.539
-12.424 49.535
-12.423 49.532
-12.418 49.528
-12.41 49.518
-12.397 49.513
-12.394 49.51
-12.394 49.506
-12.402 49.495
-12.41 49.492
-12.414 49.488
-12.417 49.481
-12.421 49.482
-12.425 49.494
-12.426 49.498
-12.422 49.502
-12.419 49.512
-12.421 49.519
-12.426 49.523
-12.43 49.524
-12.444 49.521
-12.449 49.52
-12.458 49.52
-12.463 49.524
-12.464 49.53
-12.464 49.534
-12.462 49.545
-12.458 49.544
-12.458 49.537
-12.453 49.533
-12.451 49.534
-12.446 49.532
-12.443 49.534
-12.441 49.541
-12.447 49.547
-12.442 49.549
-12.444 49.552
-12.457 49.558
-12.462 49.562
-12.461 49.564
-12.45 49.562
-12.444 49.561
-12.438 49.555
-12.43 49.552
-12.423 49.554
-12.421 49.557
-12.422 49.561
-12.426 49.564
-12.437 49.568
-12.447 49.569
-12.453 49.569
-12.46 49.571
-12.474 49.579
-12.496 49.583
-12.504 49.587
-12.505 49.587
-12.521 49.591
-12.531 49.594
-12.536 49.592
-12.539 49.595
-12.541 49.593
-12.542 49.585
-12.54 49.579
-12.541 49.568
-12.541 49.565
-12.538 49.563
-12.53 49.566
-12.527 49.565
-12.522 49.566
-12.497 49.557
-12.488 49.559
-12.485 49.557
-12.484 49.557
-12.483 49.555
-12.483 49.55
-12.486 49.549
-12.491 49.548
-12.493 49.55
-12.509 49.553
-12.521 49.552
-12.535 49.553
-12.542 49.551
-12.543 49.548
-12.545 49.549
-12.553 49.559
-12.556 49.563
-12.561 49.566
-12.562 49.563
-12.568 49.561
-12.576 49.565
-12.588 49.566
-12.597 49.567
-12.601 49.566
-12.606 49.566
-12.623 49.552
-12.642 49.548
-12.651 49.549
-12.654 49.551
-12.654 49.555
-12.649 49.56
-12.649 49.563
-12.655 49.567
-12.655 49.569
-12.659 49.571
-12.664 49.569
-12.667 49.57
-12.668 49.572
-12.667 49.573
-12.666 49.576
-12.661 49.577
-12.662 49.58
-12.661 49.582
-12.657 49.581
-12.653 49.582
