segment Namibia
-18.189 23.961
-18.189 23.959
-18.197 23.958
-18.2 23.949
-18.204 23.946
-18.202 23.94
-18.206 23.935
-18.227 23.922
-18.229 23.924
-18.232 23.931
-18.234 23.932
-18.249 23.925
-18.253 23.921
-18.264 23.909
-18.266 23.896
-18.276 23.876
-18.289 23.87
-18.289 23.869
-18.292 23.866
-18.304 23.865
-18.302 23.853
-18.319 23.85
-18.324 23.845
-18.331 23.826
-18.332 23.821
-18.338 23.811
-18.343 23.808
-18.352 23.811
-18.357 23.81
-18.364 23.8
-18.382 23.792
-18.4 23.77
-18.406 23.765
-18.405 23.759
-18.411 23.755
-18.412 23.75
-18.416 23.746
-18.422 23.745
-18.429 23.725
-18.434 23.724
-18.437 23.72
-18.436 23.714
-18.431 23.706
-18.432 23.699
-18.436 23.695
-18.436 23.688
-18.438 23.684
-18.45 23.68
-18.46 23.672
-18.471 23.666
-18.475 23.662
-18.477 23.654
-18.493 23.627
-18.503 23.618
-18.504 23.613
-18.499 23.604
-18.495 23.601
-18.495 23.592
-18.485 23.58
-18.485 23.571
-18.48 23.569
-18.478 23.569
-18.477 23.569
-18.473 23.573
-18.469 23.574
-18.461 23.573
-18.456 23.572
-18.45 23.571
-18.445 23.562
-18.437 23.562
-18.422 23.566
-18.409 23.565
-18.391 23.554
-18.384 23.552
-18.378 23.555
-18.372 23.562
-18.366 23.562
-18.351 23.555
-18.341 23.556
-18.33 23.539
-18.317 23.53
-18.308 23.532
-18.301 23.534
-18.294 23.532
-18.289 23.526
-18.285 23.525
-18.274 23.527
-18.274 23.525
-18.269 23.519
-18.267 23.507
-18.263 23.503
-18.253 23.501
-18.245 23.501
-18.243 23.5
-18.241 23.496
-18.242 23.477
-18.245 23.472
-18.244 23.468
-18.237 23.462
-18.235 23.457
-18.23 23.452
-18.22 23.449
-18.213 23.457
-18.208 23.459
-18.202 23.455
-18.203 23.452
-18.212 23.444
-18.214 23.44
-18.213 23.436
-18.206 23.429
-18.206 23.426
-18.211 23.421
-18.21 23.418
-18.204 23.413
-18.205 23.409
-18.208 23.404
-18.209 23.402
-18.205 23.399
-18.202 23.401
-18.2 23.404
-18.184 23.406
-18.179 23.405
-18.167 23.393
-18.163 23.387
-18.152 23.382
-18.135 23.378
-18.131 23.371
-18.127 23.367
-18.118 23.365
-18.107 23.355
-18.105 23.352
-18.099 23.349
-18.092 23.348
-18.085 23.339
-18.08 23.334
-18.08 23.328
-18.076 23.326
-18.072 23.326
-18.068 23.323
-18.056 23.323
-18.054 23.325
-18.053 23.328
-18.055 23.332
-18.052 23.336
-18.047 23.332
-18.046 23.329
-18.038 23.32
-18.036 23.313
-18.027 23.312
-18.019 23.316
-18.014 23.32
-18.006 23.312
-18.002 23.303
-17.998 23.297
-17.996 23.266
-17.998 23.261
-17.997 23.236
-17.996 23.23
-17.998 23.222
-17.998 23.156
-17.998 23.146
-17.997 23.136
-17.999 23.132
-17.999 23.104
-18.002 23.082
-18.011 23.04
-18.018 22.988
-18.318 21.469
-18.318 20.999
