segment Botswana
-24.773 25.862
-24.785 25.864
-24.806 25.866
-24.817 25.869
-24.823 25.872
-24.842 25.884
-24.843 25.888
-24.856 25.891
-24.888 25.89
-24.915 25.885
-24.922 25.879
-24.93 25.866
-24.934 25.863
-24.954 25.86
-25 25.841
-25.053 25.819
-25.083 25.807
-25.117 25.795
-25.152 25.778
-25.171 25.771
-25.224 25.751
-25.247 25.74
-25.257 25.733
-25.281 25.708
-25.364 25.696
-25.387 25.682
-25.398 25.682
-25.404 25.68
-25.423 25.675
-25.456 25.655
-25.471 25.65
-25.505 25.651
-25.522 25.643
-25.623 25.592
-25.633 25.584
-25.635 25.581
-25.644 25.566
-25.669 25.525
-25.67 25.522
-25.702 25.466
-25.715 25.452
-25.717 25.45
-25.727 25.436
-25.728 25.433
-25.737 25.421
-25.74 25.412
-25.739 25.396
-25.768 25.345
-25.771 25.331
-25.768 25.326
-25.762 25.304
-25.765 25.286
-25.762 25.237
-25.763 25.226
-25.762 25.203
-25.764 25.185
-25.764 25.177
-25.763 25.173
-25.757 25.157
-25.759 25.133
-25.758 25.125
-25.745 25.111
-25.736 25.088
-25.734 25.086
-25.73 25.086
-25.732 25.073
-25.723 25.056
-25.722 25.05
-25.724 25.042
-25.726 25.031
-25.726 25.014
-25.728 25.011
-25.733 25.009
-25.735 25.008
-25.738 25.007
-25.742 25.009
-25.75 25
-25.75 24.996
-25.756 24.991
-25.761 24.978
-25.767 24.975
-25.768 24.974
-25.77 24.97
-25.764 24.961
-25.766 24.954
-25.77 24.953
-25.795 24.928
-25.791 24.919
-25.791 24.916
-25.8 24.913
-25.804 24.908
-25.813 24.905
-25.811 24.879
-25.81 24.873
-25.81 24.867
-25.81 24.858
-25.818 24.834
-25.817 24.827
-25.818 24.819
-25.823 24.812
-25.826 24.806
-25.826 24.799
-25.818 24.771
-25.818 24.756
-25.814 24.746
-25.811 24.741
-25.808 24.735
-25.812 24.711
-25.816 24.699
-25.824 24.689
-25.824 24.684
-25.82 24.674
-25.82 24.654
-25.812 24.632
-25.804 24.611
-25.804 24.608
-25.779 24.576
-25.776 24.565
-25.775 24.545
-25.753 24.487
-25.75 24.477
-25.744 24.468
-25.743 24.456
-25.74 24.452
-25.736 24.449
-25.735 24.446
-25.744 24.445
-25.744 24.44
-25.737 24.433
-25.747 24.431
-25.751 24.426
-25.751 24.416
-25.749 24.411
-25.75 24.406
-25.753 24.404
-25.76 24.403
-25.762 24.401
-25.762 24.396
-25.758 24.39
-25.757 24.387
-25.763 24.382
-25.764 24.376
-25.758 24.357
-25.734 24.324
-25.729 24.32
-25.721 24.327
-25.714 24.323
-25.713 24.32
-25.714 24.312
-25.714 24.307
-25.715 24.303
-25.724 24.294
-25.725 24.292
-25.725 24.291
-25.724 24.284
-25.721 24.279
-25.72 24.278
-25.716 24.281
-25.713 24.287
-25.706 24.29
-25.702 24.289
-25.699 24.286
-25.699 24.281
-25.706 24.273
-25.706 24.269
-25.701 24.263
-25.691 24.26
-25.685 24.251
-25.679 24.251
-25.675 24.241
-25.669 24.234
-25.662 24.23
-25.656 24.23
-25.646 24.23
-25.645 24.228
-25.646 24.22
-25.639 24.212
-25.635 24.203
-25.621 24.193
-25.62 24.189
-25.631 24.176
-25.63 24.159
-25.627 24.157
-25.617 24.162
-25.614 24.161
-25.611 24.157
-25.616 24.143
-25.622 24.138
-25.628 24.142
-25.631 24.135
-25.631 24.124
-25.637 24.095
-25.642 24.087
-25.643 24.083
