segment Libya
22.494 18.037
22.518 17.99
22.552 17.917
22.609 17.796
22.636 17.739
22.639 17.736
22.668 17.675
22.723 17.557
22.724 17.554
22.782 17.433
22.798 17.4
22.811 17.37
22.814 17.366
22.839 17.312
22.859 17.269
22.875 17.237
22.88 17.228
22.897 17.191
22.941 17.095
22.953 17.07
22.971 17.033
22.98 17.01
22.997 16.982
23 16.971
23.011 16.949
23.016 16.938
23.042 16.883
23.059 16.847
23.068 16.83
23.068 16.828
23.068 16.827
23.075 16.816
23.109 16.739
23.118 16.722
23.119 16.717
23.125 16.706
23.173 16.603
23.18 16.584
23.181 16.58
23.184 16.579
23.19 16.567
23.191 16.56
23.199 16.547
23.237 16.463
23.24 16.457
23.245 16.449
23.269 16.394
23.278 16.378
23.294 16.342
23.306 16.314
23.314 16.299
23.328 16.263
23.345 16.233
23.346 16.226
23.349 16.22
23.37 16.172
23.405 16.097
23.45 15.998
23.445 15.986
23.444 15.981
23.44 15.975
23.437 15.971
23.437 15.967
23.43 15.95
23.399 15.881
23.393 15.861
23.388 15.857
23.386 15.853
23.331 15.73
23.33 15.728
23.317 15.696
23.315 15.689
23.303 15.665
23.301 15.654
23.296 15.645
23.279 15.607
23.251 15.543
23.233 15.506
23.23 15.495
23.225 15.484
23.206 15.441
23.203 15.438
23.187 15.401
23.174 15.373
23.169 15.362
23.169 15.361
23.118 15.252
23.116 15.244
23.114 15.239
23.073 15.151
23.07 15.142
23.06 15.12
23.058 15.117
23.056 15.116
23.046 15.09
23.043 15.087
23.008 15.009
23.006 15.001
23.005 15
23.002 14.996
22.993 14.972
22.987 14.961
22.961 14.903
22.961 14.902
22.956 14.898
22.95 14.883
22.95 14.878
22.944 14.866
22.944 14.861
22.921 14.812
22.907 14.781
22.874 14.703
22.871 14.699
22.866 14.686
22.853 14.658
22.833 14.612
22.828 14.606
22.822 14.589
22.802 14.543
22.799 14.536
22.793 14.521
22.79 14.517
22.76 14.451
22.747 14.415
22.745 14.413
22.743 14.411
22.731 14.382
22.727 14.377
22.689 14.291
22.644 14.189
22.655 14.176
22.659 14.172
22.671 14.161
22.676 14.152
22.682 14.146
22.693 14.133
22.696 14.127
22.743 14.072
22.752 14.061
22.782 14.026
22.801 14.002
22.827 13.971
22.854 13.94
22.867 13.922
22.873 13.917
22.905 13.88
22.912 13.871
22.992 13.776
22.997 13.77
23.013 13.749
23.019 13.743
23.06 13.694
23.072 13.68
23.081 13.668
23.105 13.632
23.151 13.555
23.157 13.545
23.158 13.54
23.167 13.524
23.186 13.481
23.203 13.431
23.21 13.412
23.213 13.408
23.218 13.398
23.218 13.383
23.222 13.375
23.234 13.31
23.237 13.301
23.252 13.241
23.254 13.223
23.26 13.199
23.261 13.188
23.265 13.169
23.292 13.049
23.294 13.036
23.295 13.029
23.299 13.019
23.3 13.007
23.323 12.903
23.347 12.79
23.348 12.77
23.352 12.766
23.354 12.756
23.358 12.745
23.36 12.729
23.378 12.646
23.379 12.639
23.382 12.623
23.385 12.614
23.39 12.584
23.394 12.576
23.394 12.568
23.407 12.506
23.422 12.435
23.435 12.385
23.435 12.377
23.436 12.373
23.465 12.24
23.467 12.231
23.481 12.158
23.481 12.153
23.489 12.122
23.49 12.11
23.491 12.107
23.499 12.079
23.515 12.001
23.515 12
23.522 11.983
23.525 11.98
23.532 11.976
23.55 11.965
23.582 11.948
23.606 11.934
23.63 11.92
23.654 11.906
23.678 11.893
23.685 11.889
23.711 11.874
23.743 11.855
23.781 11.833
23.802 11.821
23.812 11.816
23.828 11.806
23.86 11.788
23.88 11.776
23.91 11.76
23.924 11.751
23.934 11.746
23.945 11.74
23.968 11.726
23.986 11.716
24 11.708
24.018 11.708
24.027 11.705
24.03 11.702
24.055 11.692
24.06 11.689
24.134 11.656
24.249 11.606
24.248 11.604
24.242 11.589
24.243 11.566
24.242 11.554
24.237 11.543
24.222 11.529
24.212 11.505
24.208 11.48
24.207 11.471
24.202 11.456
24.2 11.448
24.19 11.435
24.238 11.365
24.278 11.305
24.312 11.254
24.334 11.221
24.337 11.218
24.345 11.206
24.35 11.204
24.359 11.186
24.387 11.145
24.401 11.125
24.404 11.118
24.408 11.099
24.408 11.086
24.411 11.079
24.419 11.072
24.424 11.066
24.425 11.058
24.424 11.055
24.424 11.052
24.431 11.043
24.446 11.033
24.454 11.024
24.457 11.017
24.46 11.013
24.48 10.948
24.492 10.907
24.53 10.801
24.537 10.778
24.541 10.767
24.544 10.763
24.559 10.72
24.562 10.716
24.568 10.694
24.553 10.65
24.544 10.623
24.539 10.616
24.527 10.58
24.507 10.54
24.501 10.525
24.489 10.493
24.493 10.457
24.492 10.448
24.494 10.435
24.499 10.419
24.511 10.397
24.512 10.395
24.561 10.32
24.581 10.285
24.584 10.282
24.592 10.273
24.612 10.239
24.638 10.226
24.665 10.217
24.685 10.213
24.686 10.213
24.765 10.206
24.778 10.2
24.794 10.185
24.801 10.175
24.808 10.164
24.829 10.118
24.837 10.107
24.847 10.091
24.851 10.078
24.86 10.064
24.865 10.057
24.877 10.041
24.984 10.041
25 10.041
25.07 10.042
25.075 10.04
25.087 10.04
25.092 10.042
25.11 10.042
25.221 10.042
25.226 10.04
25.236 10.041
25.267 10.044
25.293 10.042
25.297 10.044
25.316 10.043
25.319 10.044
25.328 10.042
25.356 10.023
25.364 10.017
25.37 10.014
25.387 10
25.41 9.981
25.427 9.971
25.43 9.966
25.46 9.945
25.495 9.92
25.564 9.866
25.574 9.858
25.578 9.858
25.645 9.805
25.645 9.807
25.655 9.797
25.666 9.789
25.685 9.776
25.689 9.774
25.768 9.711
25.77 9.71
25.778 9.706
25.874 9.631
25.889 9.619
25.893 9.618
25.909 9.605
25.977 9.552
26.023 9.516
26.046 9.496
26.06 9.486
26.062 9.482
26.079 9.47
26.135 9.427
26.155 9.41
26.16 9.408
26.182 9.389
26.184 9.388
26.188 9.387
26.195 9.399
26.206 9.41
26.241 9.438
26.259 9.456
26.271 9.462
26.276 9.463
26.282 9.467
26.289 9.472
26.308 9.481
26.32 9.485
26.333 9.494
26.365 9.51
26.375 9.521
26.384 9.541
26.406 9.593
26.412 9.606
26.415 9.609
26.422 9.626
26.436 9.663
26.437 9.667
26.447 9.7
26.447 9.704
26.453 9.719
26.471 9.756
26.472 9.76
26.489 9.794
26.491 9.798
26.504 9.831
26.512 9.864
26.516 9.872
26.52 9.876
26.547 9.892
26.559 9.896
26.561 9.898
26.582 9.911
26.613 9.923
26.643 9.928
26.665 9.927
26.669 9.925
26.675 9.925
26.681 9.923
26.688 9.921
26.71 9.908
26.727 9.908
26.803 9.923
26.804 9.923
26.843 9.934
26.852 9.931
26.868 9.919
26.874 9.911
26.89 9.897
26.914 9.882
26.927 9.877
26.985 9.841
27.006 9.833
27.03 9.832
27.052 9.841
27.067 9.842
27.072 9.838
27.101 9.826
27.111 9.824
27.143 9.83
27.151 9.828
27.157 9.827
27.184 9.816
27.205 9.81
27.216 9.805
27.238 9.784
27.243 9.784
27.264 9.774
27.265 9.774
27.272 9.774
27.277 9.775
27.285 9.773
27.307 9.777
27.317 9.775
27.347 9.774
27.381 9.783
27.389 9.787
27.401 9.794
27.433 9.798
27.442 9.798
27.455 9.801
27.458 9.8
27.47 9.806
27.475 9.813
27.487 9.839
27.493 9.845
27.499 9.851
27.517 9.859
27.533 9.863
27.55 9.87
27.561 9.87
27.564 9.862
27.559 9.843
27.561 9.831
27.564 9.821
27.57 9.818
27.572 9.819
27.577 9.822
27.584 9.836
27.584 9.841
27.597 9.872
27.607 9.887
27.62 9.896
27.633 9.903
27.644 9.906
27.648 9.909
27.656 9.911
27.676 9.916
27.701 9.924
27.708 9.924
27.732 9.929
27.737 9.927
27.78 9.934
27.786 9.935
27.828 9.935
27.864 9.959
27.878 9.962
27.888 9.961
27.899 9.956
27.918 9.948
27.949 9.936
27.994 9.923
28.011 9.915
28.019 9.912
28.058 9.899
28.092 9.891
28.14 9.872
28.145 9.87
28.25 9.843
28.263 9.84
28.29 9.836
28.354 9.834
28.367 9.836
28.388 9.844
28.403 9.85
28.484 9.855
28.492 9.859
28.512 9.864
28.513 9.864
28.517 9.863
28.521 9.865
28.596 9.872
28.632 9.87
28.637 9.87
28.647 9.871
28.681 9.88
28.724 9.882
28.758 9.888
28.762 9.888
28.784 9.887
28.789 9.89
28.805 9.889
28.823 9.886
28.84 9.887
28.868 9.881
28.873 9.878
28.887 9.878
28.898 9.878
28.923 9.879
29.013 9.878
29.044 9.877
29.137 9.856
29.139 9.855
29.172 9.848
29.177 9.849
29.261 9.83
29.385 9.803
29.431 9.793
29.504 9.756
29.532 9.741
29.543 9.737
29.551 9.732
29.554 9.729
29.616 9.697
29.618 9.696
29.635 9.689
29.724 9.644
29.734 9.639
29.765 9.624
29.836 9.587
29.843 9.585
29.85 9.581
29.852 9.58
29.856 9.579
29.887 9.562
29.891 9.559
29.915 9.549
29.957 9.508
29.971 9.495
29.975 9.493
30 9.47
30.055 9.419
