segment Switzerland
46.159 6.087
46.159 6.069
46.163 6.05
46.157 6.042
46.147 6.032
46.147 6.022
46.151 6.004
46.152 5.968
46.154 5.962
46.182 5.979
46.195 5.981
46.196 5.966
46.199 5.96
46.204 5.957
46.215 5.969
46.22 5.972
46.223 5.986
46.233 5.994
46.241 6.018
46.237 6.035
46.246 6.05
46.25 6.075
46.249 6.078
46.255 6.103
46.259 6.109
46.265 6.108
46.281 6.096
46.292 6.097
46.295 6.102
46.304 6.112
46.319 6.115
46.334 6.13
46.351 6.147
46.361 6.152
46.369 6.146
46.381 6.135
46.394 6.119
46.402 6.102
46.416 6.067
46.423 6.063
46.432 6.067
46.443 6.077
46.459 6.075
46.465 6.069
46.473 6.073
46.516 6.115
46.535 6.141
46.541 6.141
46.559 6.126
46.574 6.104
46.58 6.103
46.586 6.109
46.608 6.142
46.621 6.165
46.636 6.19
46.655 6.216
46.676 6.252
46.69 6.265
46.696 6.272
46.708 6.31
46.72 6.333
46.727 6.351
46.734 6.363
46.736 6.365
46.738 6.369
46.756 6.387
46.76 6.415
46.77 6.434
46.786 6.449
46.792 6.448
46.804 6.428
46.811 6.423
46.815 6.423
46.824 6.433
46.836 6.433
46.843 6.437
46.853 6.452
46.861 6.457
46.894 6.46
46.901 6.452
46.916 6.434
46.925 6.428
46.929 6.429
46.952 6.455
46.973 6.479
46.978 6.489
46.974 6.495
46.974 6.5
46.979 6.51
46.98 6.524
46.989 6.554
46.991 6.566
46.999 6.587
47 6.614
47.002 6.623
47.013 6.634
47.031 6.648
47.041 6.663
47.046 6.691
47.051 6.688
47.054 6.677
47.062 6.677
47.069 6.679
47.073 6.693
47.076 6.699
47.09 6.705
47.094 6.714
47.096 6.739
47.097 6.741
47.101 6.743
47.11 6.738
47.115 6.74
47.116 6.747
47.124 6.758
47.127 6.765
47.127 6.773
47.13 6.781
47.133 6.795
47.141 6.807
47.144 6.815
47.159 6.836
47.168 6.855
47.17 6.857
47.172 6.854
47.174 6.842
47.177 6.84
47.178 6.84
47.182 6.844
47.185 6.86
47.187 6.864
47.194 6.869
47.196 6.874
47.204 6.877
47.218 6.896
47.221 6.904
47.226 6.911
47.229 6.92
47.234 6.925
47.237 6.933
47.243 6.937
47.245 6.943
47.251 6.953
47.253 6.947
47.257 6.946
47.268 6.949
47.277 6.949
47.284 6.943
47.292 6.941
47.296 6.944
47.297 6.948
47.296 6.955
47.295 6.962
47.297 6.968
47.3 6.978
47.3 6.99
47.302 6.995
47.304 6.999
