segment Austria
49.017 15.027
49.012 15.037
49.011 15.046
49.013 15.062
49.01 15.068
49.002 15.067
48.996 15.069
48.997 15.077
48.995 15.094
49 15.105
49.001 15.112
48.998 15.118
48.998 15.122
48.998 15.14
48.994 15.155
48.989 15.157
48.984 15.156
48.98 15.148
48.977 15.161
48.969 15.163
48.964 15.168
48.953 15.167
48.945 15.181
48.943 15.189
48.946 15.194
48.951 15.199
48.956 15.21
48.959 15.224
48.957 15.233
48.954 15.257
48.958 15.267
48.963 15.266
48.966 15.268
48.967 15.272
48.979 15.281
48.989 15.275
48.995 15.278
48.989 15.289
48.978 15.296
48.977 15.301
48.979 15.311
48.976 15.322
48.982 15.328
48.982 15.349
48.98 15.368
48.965 15.389
48.963 15.401
48.955 15.412
48.951 15.425
48.95 15.445
48.946 15.452
48.946 15.456
48.951 15.466
48.944 15.47
48.938 15.495
48.933 15.499
48.931 15.5
48.92 15.503
48.915 15.509
48.904 15.557
48.896 15.575
48.897 15.597
48.896 15.615
48.887 15.626
48.885 15.645
48.879 15.655
48.866 15.672
48.863 15.678
48.857 15.684
48.86 15.705
48.857 15.716
48.853 15.752
48.862 15.766
48.874 15.777
48.872 15.81
48.873 15.812
48.873 15.817
48.871 15.827
48.873 15.839
48.869 15.847
48.865 15.849
48.86 15.84
48.858 15.841
48.855 15.846
48.851 15.862
48.851 15.869
48.844 15.879
48.84 15.895
48.833 15.898
48.836 15.91
48.837 15.916
48.834 15.92
48.833 15.925
48.822 15.922
48.817 15.935
48.827 15.94
48.824 15.951
48.819 15.957
48.812 15.949
48.806 15.949
48.789 15.982
48.779 15.995
48.778 16
