segment Svalbard
77.73 13.933
77.739 13.917
77.745 13.888
77.746 13.863
77.744 13.851
77.739 13.837
77.736 13.819
77.732 13.819
77.73 13.808
77.731 13.791
77.733 13.78
77.752 13.751
77.757 13.747
77.761 13.756
77.772 13.738
77.773 13.757
77.771 13.771
77.776 13.798
77.783 13.813
77.79 13.838
77.811 13.844
77.828 13.783
77.833 13.753
77.834 13.686
77.835 13.68
77.844 13.673
77.854 13.696
77.851 13.703
77.845 13.705
77.844 13.717
77.845 13.73
77.846 13.73
77.862 13.731
77.864 13.724
77.866 13.71
77.858 13.693
77.861 13.683
77.867 13.683
77.871 13.694
77.872 13.705
77.871 13.758
77.881 13.745
77.88 13.713
77.888 13.705
77.902 13.675
77.909 13.675
77.936 13.645
77.96 13.637
77.992 13.664
78.007 13.645
78.025 13.648
78.033 13.644
78.052 13.608
78.056 13.61
78.065 13.634
78.067 13.654
78.061 13.678
78.061 13.684
78.07 13.709
78.074 13.714
78.079 13.719
78.081 13.751
78.086 13.783
78.086 13.785
78.087 13.832
78.093 13.837
78.096 13.913
78.094 13.993
78.091 14.021
78.081 14.057
78.054 14.128
78.047 14.14
78.04 14.134
78.029 14.154
78.019 14.179
78.01 14.223
77.996 14.226
77.989 14.231
77.979 14.252
77.969 14.286
77.965 14.321
77.968 14.355
77.975 14.36
77.975 14.355
77.991 14.33
78.005 14.321
78.016 14.339
78.03 14.33
78.035 14.288
78.036 14.285
78.044 14.267
78.043 14.241
78.095 14.199
78.103 14.212
78.104 14.235
78.101 14.285
78.104 14.374
78.097 14.441
78.096 14.45
78.097 14.506
78.103 14.535
78.105 14.568
78.104 14.589
78.106 14.623
78.112 14.655
78.115 14.7
78.113 14.746
78.114 14.773
78.118 14.795
78.119 14.821
78.114 14.866
78.102 14.936
78.104 14.98
78.105 15
78.105 15.024
78.111 15.049
78.122 15.035
78.127 15.006
78.133 15
78.138 14.996
78.141 15
78.15 15.011
78.184 15.149
78.202 15.214
78.221 15.296
78.232 15.323
78.247 15.391
78.25 15.431
78.25 15.507
78.243 15.548
78.232 15.609
78.231 15.639
78.223 15.7
78.23 15.713
