segment Yugoslavia
segment Yugoslavia
43.353 16.467
43.355 16.465
43.358 16.452
43.359 16.451
43.365 16.449
43.369 16.453
43.371 16.447
43.377 16.439
43.383 16.436
43.389 16.436
43.392 16.439
43.394 16.448
43.393 16.458
43.391 16.463
43.39 16.478
43.387 16.484
43.385 16.522
43.386 16.536
43.389 16.544
43.389 16.55
43.388 16.552
43.385 16.555
43.386 16.568
43.38 16.592
43.381 16.602
43.378 16.604
43.377 16.607
43.38 16.613
43.38 16.621
43.375 16.631
43.376 16.648
43.374 16.655
43.375 16.663
43.372 16.668
43.372 16.682
43.368 16.684
43.366 16.687
43.366 16.711
43.366 16.719
43.363 16.725
43.362 16.733
43.361 16.736
43.349 16.739
43.348 16.743
43.361 16.745
43.358 16.781
43.355 16.784
43.353 16.815
43.347 16.82
43.345 16.817
43.343 16.806
43.34 16.801
43.338 16.802
43.34 16.816
43.338 16.82
43.338 16.827
43.334 16.832
43.335 16.836
43.34 16.839
43.341 16.845
43.338 16.85
43.336 16.857
43.331 16.865
43.33 16.872
43.325 16.875
43.325 16.879
43.315 16.897
43.313 16.898
43.306 16.894
43.302 16.897
43.292 16.882
43.284 16.883
43.281 16.881
43.28 16.88
43.28 16.877
43.287 16.873
43.284 16.866
43.277 16.864
43.271 16.858
43.268 16.843
43.269 16.832
43.266 16.808
43.262 16.788
43.263 16.776
43.262 16.757
43.263 16.751
43.262 16.731
43.261 16.729
43.258 16.711
43.256 16.684
43.26 16.659
43.257 16.645
43.259 16.621
43.264 16.593
43.266 16.562
43.266 16.551
43.269 16.533
43.275 16.514
43.279 16.507
43.276 16.503
43.29 16.499
43.291 16.496
43.287 16.492
43.293 16.486
43.296 16.476
43.305 16.472
43.306 16.468
43.304 16.465
43.3 16.467
43.299 16.464
43.299 16.46
43.301 16.458
43.305 16.46
43.309 16.456
43.311 16.45
43.311 16.449
43.304 16.445
43.306 16.44
43.312 16.438
43.312 16.429
43.315 16.424
43.316 16.416
43.318 16.413
43.324 16.414
43.334 16.41
43.336 16.413
43.336 16.419
43.326 16.432
43.329 16.442
43.33 16.443
43.333 16.439
43.338 16.437
43.345 16.439
43.348 16.442
43.351 16.449
43.351 16.461
43.353 16.467
segment Yugoslavia
43.121 16.687
43.129 16.616
43.135 16.604
43.137 16.587
43.14 16.577
43.143 16.571
43.144 16.562
43.14 16.545
43.142 16.539
43.148 16.53
43.152 16.514
43.156 16.511
43.158 16.503
43.163 16.492
43.165 16.485
43.163 16.482
43.161 16.483
43.159 16.48
43.16 16.467
43.163 16.464
43.163 16.451
43.17 16.446
43.174 16.434
43.175 16.433
43.179 16.427
43.18 16.419
43.185 16.41
43.19 16.381
43.194 16.379
43.195 16.373
43.197 16.375
43.196 16.381
43.2 16.39
43.198 16.392
43.199 16.398
43.195 16.404
43.195 16.409
43.193 16.418
43.197 16.416
43.199 16.417
43.199 16.421
43.197 16.423
43.197 16.427
43.2 16.428
43.199 16.433
43.197 16.436
43.201 16.437
43.2 16.444
43.203 16.447
43.203 16.448
43.202 16.451
43.206 16.455
43.205 16.462
43.208 16.461
43.21 16.464
43.208 16.47
43.21 16.478
43.211 16.499
43.207 16.513
43.207 16.523
43.204 16.528
43.2 16.529
43.2 16.535
43.189 16.549
43.188 16.557
43.182 16.565
43.184 16.586
43.186 16.592
43.19 16.584
43.191 16.576
43.195 16.573
43.202 16.575
43.202 16.566
43.206 16.562
43.218 16.559
43.218 16.554
43.214 16.551
43.214 16.543
43.212 16.54
43.212 16.537
43.218 16.534
43.224 16.522
43.23 16.528
43.231 16.532
43.227 16.534
43.228 16.543
43.226 16.548
43.228 16.55
43.232 16.548
