        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  2.865E+01  2.908E+01  1.252E+00  6.274E-01  2.498E+00  1.465E+01  7.341E+00  2.923E+01
  2.952E+01  2.994E+01  1.198E+00  6.003E-01  2.390E+00  1.417E+01  7.100E+00  2.827E+01
  3.042E+01  3.083E+01  1.146E+00  5.743E-01  2.286E+00  1.370E+01  6.866E+00  2.733E+01
  3.135E+01  3.174E+01  1.096E+00  5.494E-01  2.187E+00  1.325E+01  6.639E+00  2.643E+01
  3.230E+01  3.268E+01  1.049E+00  5.255E-01  2.092E+00  1.281E+01  6.419E+00  2.556E+01
  3.328E+01  3.366E+01  1.003E+00  5.027E-01  2.001E+00  1.238E+01  6.206E+00  2.471E+01
  3.429E+01  3.466E+01  9.592E-01  4.807E-01  1.914E+00  1.197E+01  6.000E+00  2.389E+01
  3.534E+01  3.569E+01  9.173E-01  4.597E-01  1.830E+00  1.157E+01  5.800E+00  2.309E+01
  3.641E+01  3.675E+01  8.771E-01  4.396E-01  1.750E+00  1.119E+01  5.606E+00  2.232E+01
  3.752E+01  3.785E+01  8.386E-01  4.203E-01  1.673E+00  1.081E+01  5.419E+00  2.157E+01
  3.866E+01  3.898E+01  8.018E-01  4.018E-01  1.600E+00  1.045E+01  5.237E+00  2.085E+01
  3.984E+01  4.015E+01  7.665E-01  3.842E-01  1.529E+00  1.010E+01  5.061E+00  2.015E+01
  4.105E+01  4.135E+01  7.327E-01  3.672E-01  1.462E+00  9.759E+00  4.891E+00  1.947E+01
  4.229E+01  4.259E+01  7.003E-01  3.510E-01  1.397E+00  9.430E+00  4.726E+00  1.881E+01
  4.358E+01  4.387E+01  6.694E-01  3.355E-01  1.336E+00  9.111E+00  4.566E+00  1.818E+01
  4.491E+01  4.518E+01  6.397E-01  3.206E-01  1.276E+00  8.803E+00  4.412E+00  1.756E+01
  4.627E+01  4.654E+01  6.113E-01  3.064E-01  1.220E+00  8.504E+00  4.262E+00  1.697E+01
  4.768E+01  4.794E+01  5.842E-01  2.928E-01  1.166E+00  8.216E+00  4.118E+00  1.639E+01
  4.913E+01  4.938E+01  5.582E-01  2.798E-01  1.114E+00  7.936E+00  3.977E+00  1.583E+01
  5.062E+01  5.087E+01  5.333E-01  2.673E-01  1.064E+00  7.666E+00  3.842E+00  1.529E+01
  5.216E+01  5.240E+01  5.095E-01  2.554E-01  1.017E+00  7.404E+00  3.711E+00  1.477E+01
  5.375E+01  5.398E+01  4.867E-01  2.439E-01  9.711E-01  7.151E+00  3.584E+00  1.427E+01
  5.538E+01  5.561E+01  4.649E-01  2.330E-01  9.276E-01  6.905E+00  3.461E+00  1.378E+01
  5.707E+01  5.729E+01  4.441E-01  2.226E-01  8.861E-01  6.668E+00  3.342E+00  1.331E+01
  5.880E+01  5.902E+01  4.241E-01  2.126E-01  8.463E-01  6.439E+00  3.227E+00  1.285E+01
  6.059E+01  6.080E+01  4.051E-01  2.030E-01  8.082E-01  6.217E+00  3.116E+00  1.240E+01
  6.243E+01  6.263E+01  3.868E-01  1.939E-01  7.718E-01  6.002E+00  3.008E+00  1.198E+01
  6.433E+01  6.453E+01  3.694E-01  1.851E-01  7.370E-01  5.795E+00  2.904E+00  1.156E+01
